"Name","Joint","Position"
"head","neck","17,28"
"body","neck","10,4"
"body","r_shoulder","0,3"
"body","l_shoulder","20,3"
"body","r_hip","4,25"
"body","l_hip","16,25"
"r_arm_up","r_shoulder","5,0"
"r_arm_up","r_elbow","2.5,13"
"r_arm_low","r_elbow","2.5,1"
"r_arm_low","r_wrist","2.5,11"
"r_hand","r_wrist","2.5,0"
"l_arm_up","l_shoulder","0,0"
"l_arm_up","l_elbow","2.5,13"
"l_arm_low","l_elbow","2.5,1"
"l_arm_low","l_wrist","2.5,11"
"l_hand","l_wrist","2.5,0"
"r_leg","r_hip","4,0"
"r_leg","r_knee","4,12"
"r_foot","r_knee","4,0"
"l_leg","l_hip","4,0"
"l_leg","l_knee","4,12"
"l_foot","l_knee","4,0"
