"ID","Name","Troop Type","Type","Area of Effect","Duration","Cooldown","Restriction","Condition","Mana Cost","Discipline Requirement","Stamina Cost","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Range Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Effect","Physical Damage Effect","Fire Damage Extra","Water Damage Extra","Air Damage Extra","Earth Damage Extra","Poison Damage Extra","Magic Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Status","Enemy Status","Action","Ruleset"
1,"Fearless Charge",0,2,1,10,5,"4,10","4,10",0,10,10,105,90,90,120,,,,,0,0,-2,0,0,,,,,,,,,,0,0,0,1,0,"Charge,movable",0
2,"Glorious Charge",0,2,1,10,5,"4,10","4,10",0,30,10,,,,,,,,,0,0,-2,10,0,,,,,,,,,,0,0,4,0,0,"Charge,movable",0
3,"Steady Charge",0,2,1,10,5,"4,10","4,10",0,40,10,,115,115,80,,,,,10,0,-1.5,10,0,,,,,,,,,,0,0,0,0,0,"Charge,movable",0
4,"Frenzied Charge",0,2,1,10,5,"4,10","4,10",0,10,10,160,50,50,130,,,,,-50,0,-4,0,0,115,,,,,,,,,0,0,0,1,0,"Charge,movable",0
5,"Devastating Charge",0,2,1,10,5,"4,10","4,10",0,10,10,110,,,105,,,,120,0,0,-3,0,0,120,,,,,,,,,0,0,2,0,0,"Charge,movable",0
6,"Stampede",0,2,1,10,5,"4,10","4,10",0,10,10,,,,,,,,110,0,0,-2.5,0,0,,,,,,,,,,0,0,1,0,4,"Charge,movable",0
7,"Breach",0,2,1,10,5,"4,10","4,10",0,10,10,110,,,,,,,110,0,0,-3,0,0,,,,,,,,,,0,0,2,76,0,"Charge,movable",0
8,"Cover Charge",0,2,1,10,5,"4,10","4,10",0,10,10,,130,130,85,,,,,20,0,-2,0,0,,,,,,,,,,0,0,0,0,0,"Charge,movable",0
9,"Agile Charge",0,2,1,10,5,"4,10","4,10",0,25,10,,120,120,120,,,,110,0,0,-2.5,0,0,,,,,,,,,,0,0,0,0,0,"Charge,movable",0
10,"Highland Charge",1,2,1,10,5,"4,10","4,10",0,30,20,,,,,110,,110,120,,,,,,,,,,,,,,,0,0,0,0,0,"Charge,movable",1
11,"Dread Charge",0,2,1,10,5,"4,10","4,10",0,10,10,110,,,,,,,,0,0,-2.5,0,0,,,,,,,,,,0,0,10,0,2,"Charge,movable",0
12,"Leaping Charge",0,2,1,10,5,"4,10","4,10",0,10,10,,,,,,,,140,0,0,-3.5,0,0,110,,,,,,,,,0,0,0,0,0,"Charge,movable",2
13,"Banzai Charge",0,2,1,,,"4,10","4,10",0,15,15,,,,,,,,,,,,,,,,,,,,,,,-20,0,0,0,0,"Charge,movable",1
14,"Reckless Charge",0,2,1,10,5,"4,10","4,10",0,0,10,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"Charge,movable",0
15,"Historic Moment",0,2,2,10,5,"4,10","4,10",0,10,10,120,,,115,,,,,0,0,-2.5,50,0,,,,,,,,,,0,0,0,0,0,"Charge,movable",0
16,"Hidden Charge",0,2,1,10,5,"4,10","4,10",0,10,10,,,,90,,,,,0,0,-2,0,0,,,,,,,,,,0,0,0,6,0,"Charge,movable",0
17,"Clumsy Charge",0,2,1,10,5,"4,10","4,10",0,10,10,,,,,,,,30,0,0,-2,0,0,,,,,,,,,,0,0,0,0,0,"Charge,movable",0
18,"Heroic Charge",0,2,2,10,5,"4,10","4,10",0,10,10,110,,,110,,,,,0,0,-2.5,20,0,,,,,,,,,,0,0,1,0,0,"Charge,movable",0
19,"Weak Charge",0,2,1,10,5,"4,10","4,10",0,10,10,,,,,,,,40,0,0,-2,0,0,,,,,,,,,,0,0,0,0,0,"Charge,movable",0
20,"Slow Charge",0,2,1,10,5,"4,10","4,10",0,10,10,,,,,,,,50,0,0,-2,0,0,,,,,,,,,,0,0,0,0,0,"Charge,movable",0
21,"Charge",0,2,1,10,5,"4,10","4,10",0,10,10,,,,110,,,,,0,0,-2,0,0,,,,,,,,,,0,0,0,0,0,"Charge,movable",0
22,"Chanting Charge",0,2,3,10,5,"4,10","4,10",0,10,15,,,,,,,,,,,,,,,,,,,,,,,-40,0,0,0,2,"Charge,movable",0
23,"Break Charge",1,2,1,10,100,"4,10","4,10",0,45,10,,,,,,,,,0,0,-2,0,0,,,,,,,,,,0,0,0,0,0,"Charge,movable",2
24,"Counter Charge",1,2,1,10,60,"4,10","4,10",0,55,10,,,,,,,,,30,0,-2,0,0,,,,,,,,,,0,0,1,0,0,"Charge,movable",2
25,"Leading Charge",0,2,1,10,15,"4,10","4,10",0,30,10,120,,,125,,,,120,0,0,-1,10,0,,,,,,,,,,0,0,0,0,0,"Charge,movable",0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Reconnaissance",0,0,,100,,,,,50,20,,,,,,,,,20,0,,,,,,,,,,,,125,,0,0,,,"BuffSelf",0
29,"Berserk",0,0,1,1,300,,,,30,20,,,,,,,,,0,0,0,,,,,,,,,,,,,0,0,12,,"Shout",0
30,"Keen Strike",0,0,1,3,55,10,10,0,75,90,250,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,"Action",2
31,"Graceful Evasion",1,0,1,30,300,10,10,0,80,10,,150,150,170,,,,,20,0,0,0,0,,,,,,,,,,0,0,0,0,0,"BuffSelf",2
32,"Spear Schiltron",1,0,,,,,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,0,0,,,"Action,hold,repeat,outward",0
33,"Spearwall",1,0,1,300,0,"0,10","0,1,3",0,35,0,120,110,90,50,,,,,100,0,-0.1,0,0,,,,,,,,,,0,0,0,0,0,"Action,hold,repeat",0
34,"Spearguard",1,0,1,90,0,"0,10","0,1,3",0,50,0,110,115,,60,,,,,40,0,-0.1,0,0,,,,,,,,,,0,0,0,0,0,"Action,hold,repeat",0
35,"Angel Guardian",0,0,3,20,200,,,0,80,25,,,,,,,,,20,0,-1,0,0,,,,,,,,,,0,0,0,88,0,,2
36,"Shieldwall",1,0,1,300,0,"0,10","0,1,3",0,40,0,60,150,160,40,,,,,70,0,-0.1,0,0,,,,,,,,,,0,0,0,0,0,"Action,hold,repeat",0
37,"Shield Turtle",1,0,1,300,0,"0,10","0,1,3",0,50,0,30,170,180,20,,,,,60,0,-1,0,0,,,,,,,,,,0,0,0,0,0,"Action,hold,repeat,outward",0
38,"Shield Dome",1,0,1,300,60,"0,10",0,,60,20,40,200,200,0,,,,,90,0,-1,15,0,,,,,,,,,,0,0,0,0,0,"Action,hold,repeat,outward",0
39,"Shield Barrier",1,0,1,300,60,"0,10",0,,64,30,50,165,250,0,,,,,70,0,-1,25,0,,,,,,,,,,0,0,0,0,0,"Action,hold",0
40,"Shield Fortress",1,0,1,300,90,"0,10",0,,72,40,30,250,200,0,,,,,100,0,-1,0,0,,,,,,,,,,0,0,0,0,0,"Action,hold,repeat,outward",0
41,"Rapid Shots",0,0,1,120,300,11,11,,35,10,,,,,,,120,,0,0,-2,0,0,,,,,,,,,,0,0,0,0,0,"BuffSelf",0
42,"Rapid Defense",0,0,1,120,300,"1,2,3,4,10",10,,45,10,,110,,110,,,,,0,0,-1,0,0,,,,,,,,,,0,0,0,0,0,"BuffSelf",0
43,"Rapid Attack",0,0,1,120,300,"1,2,3,4,10","2,4,10",,50,10,110,,,110,,,,,0,0,-1.5,0,0,,,,,,,,,,0,0,0,0,0,"BuffSelf",0
44,"Rapid Advance",0,0,1,120,300,"1,2,3,4","2,4,6,13",,41,10,,,,125,,,,,0,0,-1,0,0,,,,,,,,,,0,0,0,0,0,"BuffSelf",0
45,"Steady Aims",1,0,1,60,300,11,11,,44,10,,,,,120,,,,0,0,-1,0,0,,,,,,,,,,0,0,0,0,0,"BuffSelf",0
46,"Steady Shield",1,0,1,60,0,"0,10","0,10",,48,10,,120,120,,,,,,30,0,-1,0,0,,,,,,,,,,0,0,0,0,0,"BuffSelf",0
47,"Victory Or Death",0,0,1,1200,10000,10,10,,51,0,,,,,,,,,0,0,0,50,50,,,,,,,,,,0,0,0,0,0,"BuffSelf",2
48,"Chain Attack",1,0,2,3,60,10,10,,49,50,,,,,,,,,0,0,0,0,0,,50,,,,,,,,0,0,0,0,0,"Action,repeat,random,speed4",2
49,"Sweep Asunder",0,0,2,1,30,10,10,,55,70,,,,,,,,,0,0,0,0,0,,120,,,,,,,,0,0,0,0,0,,2
50,"Pledge Of Honour",0,0,3,300,600,10,10,,68,0,,,,,,,,,0,0,0,20,0,,,,,,,,,,0,0,0,0,0,"BuffSelf",2
51,"Ruthless Pursuit",0,0,1,120,60,"2,4","2,4",,30,15,,,,150,,,,130,,,,,,,,,,,,,,,,,,,,,
52,"Cantabrian Circle",3,0,1,60,0,11,11,,50,25,,,135,,,,,,0,0,-1,0,0,,,,,,,,,,0,0,0,0,0,,0
53,"Hold Ground",0,0,1,30,300,1,10,,58,10,,125,125,,,,,,40,0,0,0,0,,,,,,,,,,0,0,0,0,0,,0
54,"Pikewall",1,0,1,30,0,"0,10","0,1,3",,45,20,,,,,,,,,200,0,-0.5,0,0,,,,,,,,,,0,0,0,0,0,"Action,hold,repeat",0
55,"Hidden Pike",1,0,1,30,5,"0,10",0,,60,10,,,,,,,,,150,0,-0.7,0,0,,,,,,,,,,40,0,0,0,0,"Sneak,hold,repeat",0
56,"Overdrive",0,0,1,60,900,10,10,,40,0,120,120,120,120,120,,120,120,20,0,0.5,0,20,,,,,,,,,,0,0,0,0,0,"BuffSelf",2
57,"Death Volunteer",0,0,1,300,600,10,10,,70,0,150,150,,,,,,150,0,-100,2,0,0,,150,,,,,,,,0,0,0,0,0,,2
58,"Warcry",0,0,3,1,60,10,10,,38,30,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,6,0,0,"Shout",0
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Second Wind",0,0,1,30,120,"0,1,2,3,4,5,6,7,8,9,10,11","0,1,2,3,4,5,6,7,8,9,10,11",,60,0,,,,,,,,,0,0,1,10,0,,,,,,,,,,0,0,0,0,0,"BuffSelf",0
62,"Bloodlust",0,0,1,30,0,,,,50,2,,,,,,,,,0,0,-1,0,0,,,,,,,,,,0,0,0,0,0,,2
63,"Critical Measure",0,0,1,10,100,10,10,,60,,125,125,125,125,125,,125,125,25,0,-5,0,40,,,,,,,,,,0,0,0,2,0,"BuffSelf",2
64,"Camaraderie",0,0,1,30,0,,,,70,1,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,2
65,"Cripple Strike",0,0,1,1,15,10,10,,40,15,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,10,3,0,34,"Action",2
66,"Random Throwing",0,1,1,30,10,11,11,,20,5,,,,,,,,,0,0,-0.5,0,0,,30,,,,,,,,0,0,0,0,0,"BuffGear",0
67,"Joy Of The Barbarian",0,0,2,1,30,10,10,,10,90,,,,,,,,,0,0,,0,0,,,,,,,,,,0,0,4,0,0,"SandPocket",2
68,"Sand Pocket",1,0,1,1,20,10,10,,30,20,,,,,,,,,0,0,0,0,0,,10,,,,,,,,0,1,1,0,7,,0
69,"Terror Strike",0,0,1,1,30,10,10,,50,70,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,7,0,8,,2
70,"Martrydom ",0,0,1,120,1000,10,10,,64,,125,10,10,130,0,,0,200,-100,0,0,200,50,,,,,,,,,,0,0,0,0,0,,0
71,"Proud Force",0,0,1,,,10,10,,80,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,2,0,,"BuffSelf",2
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Soothing Ritual",0,0,3,1000,6000,"0,1,2,3,4,5,6,7,8,9,10,11",0,,55,0,,,,,,,,,0,0,0,15,0,,,,,,,,,,0,0,0,0,0,"BuffAlly,repeat",0
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Whirlwind Strike",1,0,3,1,240,10,10,,60,100,,,,,,,,,0,0,-20,0,0,,70,,,,,,,,0,0,0,0,0,,2
78,"Arrow Shower",0,1,1,30,60,11,11,,55,60,,,,,70,,200,,0,0,-4,0,0,,,,,,,,,,0,0,0,0,0,"BuffGear",0
79,"Poison Arrow",0,1,1,40,100,11,11,,40,0,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,1,0,0,"BuffGear",0
80,"Heavy Arrow",0,1,1,40,60,11,11,,40,0,,,,,80,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,"BuffGear",0
81,"Inferno Trail Arrow",0,1,3,20,100,11,11,,50,0,,,,,,,,,0,0,0,0,0,,45,170,,,,,,,0,0,3,0,0,"BuffGear",2
82,"Fire Arrow",0,1,1,30,60,11,11,,40,0,,,,,,,,,0,0,0,0,0,,60,150,,,,,,,0,0,1,0,0,"BuffGear",0
83,"Whistle Arrow",0,1,3,10,100,11,11,,40,0,,,,,,,,,0,0,0,0,0,,10,,,,,,,,0,0,2,0,32,"BuffGear",0
84,"Curse Arrow",0,1,1,20,100,11,11,,40,0,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,5,0,19,"BuffGear",2
85,"Smoke Arrow",0,1,3,10,100,11,11,,40,0,,,,,,,,,0,0,0,0,0,,10,,,,,,,,0,0,0,0,62,"BuffGear",2
86,"Magic Arrow",0,1,1,30,100,11,11,,60,0,,,,,,,,,0,0,0,0,0,,150,,,,,,170,,0,0,0,0,0,"BuffGear",2
87,"Fireblast Arrow",0,1,3,30,100,11,11,,50,0,,,,,,,,,0,0,0,0,0,,50,250,,,,,,,0,0,2,0,0,"BuffGear",2
88,"Unwavering Resolve",0,0,1,30,120,10,10,,55,0,,,,,,,,,0,0,0,80,0,,,,,,,,,,0,0,0,0,0,,0
89,"Heroic Resolve",0,0,1,45,120,10,10,,75,0,,,,,,,,,0,0,0,150,0,,,,,,,,,,0,0,0,0,0,,0
90,"Sacrifical Strike",0,0,1,5,60,10,10,,61,50,130,0,0,,,,,,0,0,,0,0,,150,,,,,,,,0,0,0,0,0,,2
91,"Stalwart Defense",0,0,1,60,90,10,10,,60,20,,130,130,,,,,,20,0,-1,0,0,,,,,,,,,,0,0,0,0,0,,0
92,"Sudden Fortitude",0,0,1,1,180,10,10,,70,0,,,,,,,,,0,0,50,0,0,,0,,,,,,,,0,0,0,0,0,,0
93,"Indestructible",0,0,1,50,100,10,10,,40,30,,170,170,,,,,,50,0,0,200,0,,,,,,,,,,0,0,0,0,0,,2
94,"Iron Wall",1,0,1,100,130,10,10,,50,30,,150,150,,,,,,80,0,-1,0,0,,,,,,,,,,0,0,0,0,0,"BuffSelf",0
95,"Focus Strike",0,0,1,1,30,10,10,,75,10,200,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,0
96,"Absolute Devotion",0,0,1,150,600,,,,70,0,,,,,,,,,0,0,0,100,20,,,,,,,,,,0,0,0,0,0,,0
97,"Provoke",0,0,2,30,30,10,10,,50,10,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,89,,0
98,"Double Slash",0,0,1,1,60,10,10,,50,50,,,,,,,,,0,0,0,0,0,,200,,,,,,,,0,0,0,0,0,"Action,2times",2
99,"Triple Slash",0,0,1,1,60,10,10,,60,70,,,,,,,,,0,0,0,0,0,,300,,,,,,,,0,0,0,0,0,"Action,3times",2
100,"Great Sweep",0,0,3,1,60,10,10,,60,95,,,,,,,,,0,0,0,0,0,,115,,,,,,,,0,0,0,0,0,,2
101,"Pinpoint Shot",0,1,1,30,60,11,11,,70,45,,,,,200,,,,0,0,-1,0,0,,,,,,,,,,0,0,0,0,0,"Action",0
102,"Swift Thrusts",0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"Combine Determination",0,0,3,1,100,,,,80,30,130,130,130,130,130,,130,130,30,0,,130,50,,200,,,,,,,,0,0,0,0,,,2
105,"Clear Mind",0,0,1,10,60,,,,70,10,110,110,110,110,110,,110,110,10,0,0,110,0,,,,,,,,,,0,0,0,50,0,"BuffSelf",2
106,"The Great Banner",0,0,4,1200,1200,,,,40,15,105,105,105,105,105,,105,105,5,0,0,110,5,,,,,,,,,,0,0,0,0,,,2
107,"Hammer Of Faith",0,0,1,1,60,10,10,,60,40,,,,,,,,,0,0,0,0,0,,200,,,,,,,,0,0,6,3,,,2
108,"Blade Dance",1,0,2,10,60,10,10,,75,88,,,,,,,,,0,0,,0,0,,40,,,,,,,,0,0,0,0,,"Action,repeat",2
109,"Desperate Struggle",0,0,1,,,10,10,,20,0,130,130,130,130,130,,130,130,30,0,-1,-30,-10,,,,,,,,,,0,0,0,0,,,2
110,"Payday Imminent",0,0,1,90,300,,,,50,15,125,,,150,,,,,0,0,,15,0,,,,,,,,,,0,0,0,0,,,2
111,"Finest Hour",0,0,1,60,6000,,3,,70,30,150,150,150,150,150,,150,150,60,0,,150,100,,,,,,,,,,0,0,0,0,,,2
112,"Final Strike",0,0,1,5,6000,10,10,,65,100,,,,,,,,,0,0,,0,0,,200,,,,,,,,0,0,0,0,,,2
113,"All Out Assault",0,0,1,20,300,10,10,,60,35,130,80,80,140,,,,130,-70,0,,0,0,,,,,,,,,,0,0,0,0,,,2
114,"Poison Attack",0,0,2,1,60,10,10,,50,20,,,,,,,,,0,0,,0,0,,,,,,,160,,,0,1,2,0,26,,0
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Suppressing Fire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
