"ID","Name","Text","Animation State","Free"
0,"Idle",,,FALSE
1,"Walk","Walk","Walk",FALSE
2,"Run","Run","Run",FALSE
3,"Walk Melee","Walk (M)","Walk",FALSE
4,"Run Melee","Run (M)","Run",FALSE
5,,,,FALSE
6,,,,FALSE
7,"Walk","Walk (F)",,FALSE
8,"Run","Run (F)",,FALSE
9,,,,FALSE
10,"Melee",,,FALSE
11,"Shoot","Shoot",,FALSE
12,"Walk Shoot","Walk (S)","Walk",FALSE
13,"Run Shoot","Run (S)","Run",FALSE
14,,,,FALSE
15,,,,FALSE
16,,,,FALSE
17,,,,FALSE
18,,,,FALSE
19,,,,FALSE
20,,,,FALSE
21,,,,FALSE
22,,,,FALSE
23,,,,FALSE
24,,,,FALSE
25,,,,FALSE
26,,,,FALSE
27,,,,FALSE
28,,,,FALSE
29,,,,FALSE
30,,,,FALSE
31,,,,FALSE
32,,,,FALSE
33,,,,FALSE
34,,,,FALSE
35,,,,FALSE
36,,,,FALSE
37,,,,FALSE
38,,,,FALSE
39,,,,FALSE
40,,,,FALSE
41,,,,FALSE
42,,,,FALSE
43,,,,FALSE
44,,,,FALSE
45,,,,FALSE
46,,,,FALSE
47,,,,FALSE
48,,,,FALSE
49,,,,FALSE
50,,,,FALSE
51,,,,FALSE
52,,,,FALSE
53,,,,FALSE
54,,,,FALSE
55,,,,FALSE
56,,,,FALSE
57,,,,FALSE
58,,,,FALSE
59,,,,FALSE
60,,,,FALSE
61,,,,FALSE
62,,,,FALSE
63,,,,FALSE
64,,,,FALSE
65,"Sleep",,,FALSE
66,"Camp",,,FALSE
67,"Rest",,,FALSE
68,"Dance",,,FALSE
69,"Party",,,FALSE
70,,,,FALSE
71,,,,FALSE
72,,,,FALSE
73,,,,FALSE
74,,,,FALSE
75,,,,FALSE
76,,,,FALSE
77,,,,FALSE
78,,,,FALSE
79,,,,FALSE
80,,,,FALSE
81,,,,FALSE
82,,,,FALSE
83,,,,FALSE
84,,,,FALSE
85,,,,FALSE
86,,,,FALSE
87,,,,FALSE
88,,,,FALSE
89,,,,FALSE
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,"Disobey",,,TRUE
96,"Retreat Order","Flee",,FALSE
97,"Collapse","Collapse","Collapse",FALSE
98,"Retreat","Flee",,TRUE
99,"Broken",,,TRUE
100,"Dead","Destroyed",,TRUE
