"ID","Name","Armour","Weight","Cost","Trait","Ruleset","Description"
1,"None",0,0,0,"199,200",0,
2,"Padded Armour",30,20,1000,"0",0,
3,"Leather Armour",25,14,900,"0",0,
4,"Fur Armour",35,26,1500,"81,200",0,
5,"Chainmail Armour",50,32,1700,"0",0,
6,"Scale Armour",60,40,2500,"0",0,
7,"Lamellar Armour",55,36,1900,"0",0,
8,"Medieval Plate Armour",75,60,4000,"199,200",0,
9,"Splint Armour",65,35,3000,"0",0,
10,"Brigandine Armour",40,25,2600,"0",0,
11,"Laminar Armour",60,30,3500,"82",0,
12,"Cuirass Armour",50,35,3000,"0",0,
13,"Shell Armour",,,,"0",0,
14,"Slave Cloth",3,1,50,"0",0,
15,"Cloth",5,4,100,"0",0,
16,"Cultist Robe",6,4,120,"0",0,
17,"Monk Robe",6,4,80,"0",0,
18,"Lorica Armour",40,22,2500,"0",0,
19,"Desert Cloth",4,2,90,"82,199",0,
20,"Fur Cloth",13,10,350,"81,200",0,
21,"Leather Cloth",15,10,500,"0",0,
22,"Mirror Armour",70,55,4000,"0",0,
23,"Ring Mail",55,40,1500,"0",0,
24,"Half Plate Armour",60,33,1700,"0",0,
25,"Golden Armour",85,60,5000,"67,199,200",2,
26,"Dendra Armour",70,58,2000,"0",0,
27,"Desert Armour",20,7,1000,"82,199",0,
28,"Gladiator Armor",27,7,1250,"0",0,
29,"Holy Robe",25,3,10000,,2,
30,"Plank Armour",25,40,300,,0,
31,"Desert mail hauberk",50,35,2200,82,0,
32,"Gothic Plate Armour",90,60,5000,"199,200",0,
33,"Brunia Armour",,,,,0,
34,"Bronze Plate Armour",60,50,4000,0,0,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
