"ID","Name","Type","Size","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Physical Resistance","Fire Resistance","Water Resistance","Air Resistance","Earth Resistance","Poison Resistance","Magic Resistance","Trait","Acronym","Mount Armour","Ruleset"
0,"None","None",1,0,0,0,0,0,0,0,0,0,0,0,0,0,,"NULL","FALSE",0
1,"Human","Civilise",10,50,50,50,50,50,50,0,0,0,0,0,0,0,,"H","FALSE",0
2,"Horse","Beast",14,75,30,80,60,20,24,0,0,0,0,0,0,0,,"HS","TRUE",0
3,"Camel","Beast",14,80,30,65,65,15,17,0,0,0,0,0,0,0,,"CM","TRUE",0
4,"Elephant","Beast",25,150,32,35,110,22,30,10,0,0,0,0,0,0,,"EP","TRUE",0
5,"Horse Chariot","Beast",18,120,30,70,65,18,24,20,-5,0,0,0,0,0,,"CH","TRUE",0
6,"Lion","Beast",12,90,40,75,65,17,26,5,0,0,0,0,0,0,,"LO","TRUE",0
7,"Tiger","Beast",12,88,42,75,65,19,28,5,0,0,0,0,0,0,,"TG","TRUE",0
8,"Bear","Beast",16,95,33,65,80,15,25,20,,,,,,,,"BE","TRUE",0
9,"Boar","Beast",7,70,28,60,70,13,18,10,,,,,,,,"BO","TRUE",0
10,"Dog","Beast",5,40,32,65,40,20,29,0,,,,,,,,"DOG","TRUE",0
11,"Cat","Beast",3,18,47,70,21,20,27,0,,,,,,,,"CAT","TRUE",0
12,"Snake","Beast",2,21,32,40,29,10,5,3,,,,,,,,"SNK","TRUE",0
13,"Bird","Beast",3,12,45,70,13,17,26,0,,,,,,,,"BD","TRUE",0
14,"Duck","Beast",3,10,26,40,18,20,15,0,,,,,,,,"DK","TRUE",0
15,"Llama","Beast",8,,,40,,,,0,,,,,,,,"LLM","TRUE",0
16,"Scorpion","Beast",2,8,,20,,,,5,,,,,,,,"SCP","TRUE",0
17,"Spider","Beast",1,6,,30,,,,0,,,,,,,,"SPD","TRUE",0
18,"Pig","Beast",7,38,21,40,60,26,30,5,,,,,,,,"PIG","TRUE",0
