1,"6,6,6,6,6,0,0,0","6,6,6,6,6,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","829,585","35,10002,10002,10002","2,3,1,7",0,0,100,100,3
2,"6,6,12,6,6,0,0,0","6,6,6,6,6,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","859,584","10002,10002,10002,10002","2,3,1,7",0,0,100,100,3
3,"5,5,5,5,5,5,5,5","4,4,1,6,6,1,4,4","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","889,575","10002,10002,10002,10002","11,12,10,13",0,0,100,100,3
4,"12,12,12,12,12,0,0,0","12,12,12,12,12,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","850,630","10002,10002,10002,10002","2,3,1,7",0,0,100,100,3
5,"9,9,9,9,9,9,9,9","8,8,7,12,12,7,8,8","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","979,604","10002,10002,10002,10002","11,12,10,13",0,0,100,100,3
6,"9,9,9,9,9,9,9,9","8,8,7,12,12,7,8,8","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","979,654","10002,10002,10002,10002","11,12,10,13",0,0,100,100,3
7,"11,11,11,11,11,11,11,11","10,10,10,12,12,10,10,10","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","943,579","10002,10002,10002,10002","11,12,10,13",0,0,100,100,3
8,"26,26,26,26,26,26,26,26","26,26,27,28,27,26,26,26","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","550,300","25,10001,10001,10000","11,21,20,12",1,180,100,90,4
9,"26,26,26,26,26,26,26,26","19,19,19,28,19,19,19,19","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","510,300","26,30,10001,10001","11,12,13,14",1,180,100,90,4
10,"26,26,26,26,26,26,26,26","19,19,19,28,19,19,19,19","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","590,300","27,28,10001,10001","11,12,13,14",1,180,100,90,4
11,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","630,300","10000,31,10001,32","5,12,11,13",1,180,100,90,4
12,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","470,300","10000,33,10001,10001","5,12,13,11",1,180,100,90,4
13,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","470,300","10000,33,10001,10001","5,12,13,11",1,180,100,90,4
