"id","name","armour","weight","cost","properties"
0,"None",0,0,0,"0"
1,"Padded Armour",30,20,1000,"0"
2,"Leather Armour",25,14,900,"0"
3,"Fur Armour",35,26,1500,"81,200"
4,"Chainmail Armour",50,32,1700,"0"
5,"Scale Armour",60,40,2500,"0"
6,"Lamellar Armour",55,36,1900,"0"
7,"Plate Armour",80,60,4000,"199,200"
8,"Splint Armour",65,35,3000,"0"
9,"Brigandine Armour",40,25,2600,"0"
10,"Laminar Armour",45,30,3500,"82"
11,"Cuirass Armour",50,35,3000,"0"
12,"Shell Armour",,,,"0"
13,"Slave Cloth",3,1,50,"0"
14,"Plain Cloth",5,4,100,"0"
15,"Cultist Robe",6,4,120,"0"
16,"Monk Robe",6,4,80,"0"
17,"Lorica Armour",40,22,2500,"0"
18,"Desert Cloth",4,2,90,"82,199"
19,"Fur Cloth",13,8,350,"81,200"
20,"Leather Cloth",18,10,500,"0"
21,"Mirror Armour",70,55,4000,"0"
22,"Ring Mail",55,40,1500,"0"
23,"Half Plate Armour",60,33,1700,"0"
24,"Golden Armour",80,60,5000,"67,199,200"
25,"Dendra Armour",70,58,2000,"0"
26,"Desert Armour",20,7,1000,"82,199"
27,"Gladiator Armor",27,7,1250,"0"
28,"Holy Robe",25,3,10000,
29,"Plank Armour",25,40,300,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
