"SKILLID","Name","done?",,"TraitID","Name","Notimplementyet","done?"
1,"Fearless Charge","y",,1,"Bonus Morale",,"y"
2,"Glorious Charge","y",,2,"Heroic",,"y"
3,"Steady Charge","y",,3,"Varied Training",,"y"
4,"Frenzied Charge","y",,4,"Zealous",,"y"
5,"Devastating Charge","y",,5,"Poor Morale",,"y"
6,"Stampede","y",,6,"Black Boar's Guidance",,
7,"Breach","y",,7,"Great Wings' Protection",,
8,"Shield Charge","y",,8,"Tough Painting",,"y"
9,"Agile Charge","y",,9,"Impregnable Shield",,
10,"Charge Of Regret","y",,10,"Protective Fur",,
11,"Dread Charge","y",,11,"Charge Expert",,"y"
12,"Leaping Charge","y",,12,"Charge Defense Expert",,"y"
13,"For Ancestor!","y",,13,"Weapon Expert",,
14,"Malabel Igiela","y",,14,"Evasive",,
15,"Historic Moment","y",,15,"Divine Connection",,
16,"Hidden Charge","y",,16,"Arc Shot",,"y"
17,"Clumsy Charge","y",,17,"Agile Aims",,"y"
18,"Heroic Charge","y",,18,"Can Shoot While Moving",,"y"
19,"Weak Charge","y",,19,"Concentrated Aims",,
20,"Slow Charge","y",,20,"Concentrated Chant",,
21,"Charge","y",,21,"Anti-Infantry",,"y"
22,"Giant Rush",,,22,"Anti-Flyer",,
23,"Break Charge",,,23,"Anti-Cavalry",,"y"
24,"Counter Charge",,,24,"Anti-Mage",,
25,"Carbidarleht Piper",,,25,"Anti-Machine",,
26,"Spider Web Shot",,,26,"Anti-Large",,
27,"Aging Touch",,,27,"Anti-All",,
28,"Ashen Rising",,,28,"Anti-Structure",,
29,"Chain Lightning Strike",,,29,"Ignore Charge Defense",,"y"
30,"Keen Strike",,,30,"Ignore Defense",,"y"
31,"Graceful Evasion",,,31,"Cannibal",,
32,"Corpse Burst",,,32,"Defiant Defense",,"y"
33,"Spearwall",,,33,"Backstaber",,"y"
34,"Spearguard",,,34,"Battle Master",,"y"
35,"Angel Guardian",,,35,"Absolute Defense",,"y"
36,"Shieldwall","y",,36,"Great Saint",,
37,"Shield Turtle",,,37,"Battle Saint",,
38,"Shield Dome",,,38,"No Hunger",,
39,"Shield Barrier",,,39,"Patriotic",,
40,"Shield Fortress",,,40,"Siege Expert",,
41,"Rapid Shots",,,41,"Unadvancable",,
42,"Rapid Defense",,,42,"Hunger Instinct",,
43,"Rapid Attack",,,43,"Famed",,
44,"Rapid Advance",,,44,"Armistice Bringer",,
45,"Steady Aims",,,45,"Shield Expert",,"rework"
46,"Steady Shield",,,46,"Crumble",,
47,"Victory Or Death",,,47,"Superb Flanker",,"y"
48,"Chain Attack",,,48,"Bandit Honour",,
49,"Sweep Asunder",,,49,"Indomitable",,
50,"Pledge Of Honour",,,50,"Endearing Performance",,
51,"Silencing Glare",,,51,"True Hero","Ally friendly squads nearby receive Strong Will, and can not be broken, morale +10% for entire battalion",
52,"Cantabrian Circle",,,52,"Legendary Might",,
53,"Hold Ground",,,53,"Innocence Grace",,
54,"Pikewall",,,54,"Magical Weapon","All attack deals additonal 50% magic damage of total damage",
55,"Hidden Pike",,,55,"Oblivious To Unexpected",,"y"
56,"Overdrive",,,56,"Causes Fear",,"y"
57,"Death Volunteer",,,57,"Causes Terror",,"y"
58,"Warcry",,,58,"Inspires Hope",,"y"
59,"Deathshriek",,,59,"Inspires Bravery",,"y"
60,"Abyssal Hatred",,,60,"Heart Of Steel",,
61,"Second Wind",,,61,"Hope And Despair",,"y"
62,"Bloodlust",,,62,"Healing Mucus",,
63,"Critical Measure",,,63,"Ancestral Bond",,
64,"Camaraderie",,,64,"True Chosen",,
65,"Cripple Strike",,,65,"The War Of Love",,
66,"Random Throwing",,,66,"Final Flame",,
67,"Joy Of The Barbarian",,,67,"Glorious Appearance",,
68,"Sand Pocket",,,68,"Holy Defense",,
69,"Terror Strike",,,69,"Vile Veil",,
70,"Martrydom ",,,70,"Xenophobic Bunch","Discipline minus 70%, Morale minus 50% when being near friendly squads from other race",
71,"Proud Force",,,71,"Eyes Of Satiens",,
72,"Petrifying gaze",,,72,"Farsight",,
73,"Hide In The Shell",,,73,"No Range Penalty",,"y"
74,"Baledarnnian",,,74,"Long Range Accuracy",,"y"
75,"Soothing Ritual",,,75,"Entertainer",,
76,"Sunstrike",,,76,"Virtue Of Honour",,
77,"Whirlwind Strike",,,77,"Kings Banner",,
78,"Arrow Shower",,,78,"Missile Resistance",,
79,"Poison Arrow",,,79,"Pain Resistance",,
80,"Heavy Arrow",,,80,"Poison Resistance",,
81,"Inferno Trail Arrow",,,81,"Cold Resistance",,
82,"Fire Arrow",,,82,"Heat Resistance",,
83,"Whistle Arrow",,,83,"Fire Resistance",,
84,"Curse Arrow",,,84,"Water Resistance",,
85,"Smoke Arrow",,,85,"Air Resistance",,
86,"Magic Arrow",,,86,"Earth Resistance",,
87,"Fireblast Arrow",,,87,"Fatigue Resistance",,
88,"Unwavering Resolve",,,88,"Magic Resistance",,
89,"Heroic Resolve",,,89,"Swamp Dweller",,
90,"Sacrifical Strike",,,90,"Sylvan",,
91,"Stalwart Defense",,,91,"Blight Habitat",,
92,"Sudden Fortitude",,,92,"Aquatic",,
93,"Indestructible",,,93,"Urban Guerrilla",,
94,"Iron Wall",,,94,"Sand Scavenger",,
95,"Focus Strike",,,95,"First Blood","Melee damage +60%",
96,"Absolute Devotion",,,96,"Fervent Devotion","All stat +15% when near commander squad",
97,"Provoke",,,97,"Horror Of War","Every nearby squad's morale -50%",
98,"Double Slash",,,98,"No Morale","Morale always at 50% and cannot be changed.",
99,"Triple Slash",,,99,"Unholy Valour","Nearby enemy morale -30%",
100,"Great Sweep",,,100,"Knightly Valour","Nearby friendly squads morale +20%, enemy morale -15%",
101,"Pinpoint Shot",,,101,"Thorny Armour",,
102,"Flying",,,102,"Unstoppable",,
103,"Floating",,,103,"Battle Preparation",,
104,"Combine Determination",,,104,"Blessed",,"y"
105,"Clear Mind",,,105,"Cursed",,"y"
106,"The Great Banner",,,106,"Lucky",,
107,"Hammer Of Faith",,,107,"Unlucky",,
108,"Blade Dance",,,108,"Inner Demon",,
109,"Desperate Struggle",,,109,"Fanatical Backstabbing","Flank attack bonus +50%",
110,"Payday Imminent",,,110,"Tireless",,
111,"Finest Hour",,,111,"Unbreakable",,
112,"Final Strike",,,112,"Savage Looter",,
113,"All Out Assault",,,113,"Catcher Expert",,
114,"Poison Attack",,,114,"Marvelous Athletic",,
115,"Delrmerh Festival",,,115,"Iron Discipline",,
116,"Fullmoon Strike",,,116,"Sticky Attack",,
117,"Halfmoon Slit",,,117,"Curse Strike",,
118,"Crescentmoon Pierce",,,118,"Infective Touch",,
119,"Darkmoon Ritual",,,119,"Stunning Blast",,
120,"Crushing Leap",,,120,"Mana Stealer",,
121,"Final Showdown",,,121,"Maiden Of Meldolea","All stat -10%, nearby enemy squads stat -10%",
122,"Unto Demise",,,122,"Perverted Agony",,
123,"Stun Strike",,,123,"Battlelust",,
124,"Purge The Infidels",,,124,"Justice Order",,
125,"Corrupted Mist",,,125,"Unbreakable Bond",,
126,"Grasp The Opportunity",,,126,"Dread Challenger","Morale +50%, morale -25% to every nearby squad ",
127,"Blood Demand",,,127,"Headtaker",,
128,"Valiant Struggle",,,128,"Nasty Smell",,
129,"Ground Shake",,,129,"Scourge Of The Land","Attack +20%, speed +80%, morale -30% to nearby enemy squad, cannot be slowed, supply consumption rate -50%",
130,"Spike Burst",,,130,"Poison Blood","Immune to poison damage, poison damage heal 50% of the damage to this squad",
131,"Deathblow",,,131,"Mirage Trickery",,
132,"Berserk",,,132,"Martial Perfection ",,
133,"Eight Gates Of Heaven",,,133,"Unparalleled Mind",,
134,"Requiem",,,134,"Forgetful",,
135,"Nature Awakening",,,135,"Joyful Departure",,
136,"Faithful Fury",,,136,"High Jumper",,
137,"Armour Shatters",,,137,"Unkillable",,
138,"Cheer To Death",,,138,"Panic Rampage",,
139,"Battle Rhythm",,,139,"Life Steal","Heal 50% of damage deals",
