,"Not yet implement",,,,,,
"ID","Name","Health","Weight","Cost","Properties","Ruleset","Description"
1,"None",0,0,0,"199,200",0,
2,"Padded Armour",,20,1000,"0",0,
3,"Leather Armour",,14,900,"0",0,
4,"Fur Armour",,26,1500,"81,200",0,
5,"Chainmail Armour",,32,1700,"0",0,
6,"Scale Armour",,40,2500,"0",0,
7,"Lamellar Armour",,36,1900,"0",0,
8,"Plate Armour",,60,4000,"199,200",0,
9,"Splint Armour",,35,3000,"0",0,
10,"Brigandine Armour",,25,2600,"0",0,
11,"Laminar Armour",,30,3500,"82",0,
12,"Cuirass Armour",,35,3000,"0",0,
13,"Half Plate Armour",,33,1700,"0",0,
14,"Golden Armour",,60,5000,"67,199,200",2,
15,"Holy Robe",,3,10000,,2,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
