"abilityid","name","type","aoe_range","duration","cooldown","restriction","condition","mana_cost","discipline_need ","stamina_cost","atk_effect","def_melee_effect","def_range_effect","speed_effect","accuracy_effect","range_effect","reload_effect","charge_effect","charge_def_bonus","health_regen_bonus","stamina_regen_bonus","morale_bonus","discipline_bonus","critical_effect","damage_effect","sight_effect","hide_bonus","status","stamina_damage","morale_damage","enemy_status","elem","description","done?"
1,"Fearless Charge",0,1,10,60,"3,4,10","3,4",0,10,10,105,90,90,120,,,,,0,0,-2,0,0,,,0,0,1,,,0,0,"Fear only bring the weakest of men. To be fearless is to charge on even against the face of death itself.","y"
2,"Glorious Charge",0,1,10,60,"3,4,10","3,4",0,10,10,,,,,,,,,0,0,-2,10,0,,,0,0,0,,4,0,0,"Glory to those who brave the fear of death and charge onward to the unknown.","y"
3,"Steady Charge",0,1,10,60,"3,4,10","3,4",0,10,10,,115,115,80,,,,,10,0,-1.5,10,0,,,0,0,0,,,0,0,"Steady but not too slow will win even more races and battles.","y"
4,"Frenzied Charge",0,1,10,60,"3,4,10","3,4",0,10,10,160,50,50,130,,,,,-50,0,-4,0,0,115,,0,0,1,,,0,0,"Mindless and aggressive make the most powerful charge.","y"
5,"Devastating Charge",0,1,10,60,"3,4,10","3,4",0,10,10,110,,,105,,,,120,0,0,-3,0,0,120,,0,0,0,,,4,0,"What is better objective of a charge aside to devastate the enemies utterly.","y"
6,"Stampede",0,1,15,60,"3,4,10","3,4",0,10,10,,,,,,,,110,0,0,-2.5,0,0,,,0,0,0,,,0,0,"Under the iron hooves and beneath the blazing sun, only the strongest can rise up again.","y"
7,"Breach",0,1,10,60,"3,4,10","3,4",0,10,10,110,,,,,,,110,0,0,-3,0,0,,,0,0,76,,,0,0,"Breaching through the enemy's formation to crush whoever hiding behind is the greatest achievement every shock cavalry units should dream of.","y"
8,"Shield Charge",0,1,10,60,"3,4,10","3,4",0,10,10,,130,130,85,,,,,20,0,-2,0,0,,,0,0,0,,,0,0,"Risky yet safe, shield at the front and no archer or spearman can halt your advance.","y"
9,"Agile Charge",0,1,10,60,"3,4,10","3,4",0,10,10,,120,120,120,,,,110,0,0,-2.5,0,0,,,0,0,0,,,0,0,"Agility is the most important aspect of a charge. You don't really charging by standing still, do you?","y"
10,"Charge Of Regret",0,1,10,60,"3,4,10","3,4",0,10,10,,,,,,,,130,0,0,-2,30,0,,,0,0,2,,,2,0,"The only word to describe this momentous moment is regret. The regret to not be able to relive this same exact moment ever again no matter how many times it get replicated.","y"
11,"Dread Charge",0,1,10,60,"3,4,10","3,4",0,10,10,110,,,,,,,,0,0,-2.5,0,0,,,0,0,0,,10,0,0,"Oh great horror, what sin did we do to bring you into us.","y"
12,"Leaping Charge",0,1,10,60,"3,4,10","3,4",0,10,10,,,,,,,,140,0,0,-3.5,0,0,110,,0,0,0,,,0,0,"Momentum gain from leaping can make any following blow a massive crushing power.","y"
13,"For Ancestor!",0,2,10,60,"3,4,10","3,4",0,10,10,,,,115,,,,,-10,0,-3,20,0,110,,0,0,0,,,0,0,"The ancestors guide us not only in the past. For now we devote our life to our beloved forebears.","y"
14,"Malabel Igiela",0,1,10,60,"3,4,10","3,4",0,10,10,130,120,120,120,,,,150,20,0,-3,10,0,,,0,0,1,,,0,0,"The great charge of Malabel cavalry may one day rest in a page of legend or history book, but today, let us offer condolences to the unfortunate victims of this charge.","y"
15,"Historic Moment",0,2,10,60,"3,4,10","3,4",0,10,10,120,,,115,,,,,0,0,-2.5,50,0,,,0,0,0,,,0,0,"There are not many event in the world that would be worthwhile recorded into a history book. The same cannot be said for this moment.","y"
16,"Hidden Charge",0,1,10,60,"3,4,10","3,4",0,10,10,,,,90,,,,,0,0,-2,0,0,,,0,0,6,,,0,0,"It should be practically impossible to charge while remain hidden. And how can someone defend against such impossible feat?","y"
