"Type","ID","POS","Angle","Animation","Frame","Other Data"
"unit","NOR-1","520,500",0,"Human&Horse_1hand_Preview_3/0",0,"Team:1"
"unit","NOR-4","555,500",0,"Human&Horse_1pole_RunMove/0",2,"Team:1"
"effect","Sound Burst Medium (team)","585,500",0,"Burst",2,"Team:1"
"unit","NOR-16","535,500",0,"Human&Horse_1pole_RunMove/0",1,"Team:1"
"unit","NOR-15","565,500",0,"Human&Horse_Skill_Bless/0",3,"Team:1"
"unit","NOR-18","585,500",0,"Human&Horse_Skill_WarHorn/0",4,"Team:1"
"unit","NOR-2","605,500",0,"Human&Horse_Main_1hand_Charge/0",1,"Team:1"
"unit",6,"525,490",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,480",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"525,470",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,460",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"525,450",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"525,440",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,430",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,420",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,410",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"525,400",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"525,390",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,380",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,370",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"525,360",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,350",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,340",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,510",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"525,520",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,530",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,540",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"525,550",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,560",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"525,570",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,580",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,590",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"525,600",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,610",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,620",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"525,630",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"545,490",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,480",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,470",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"545,460",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,450",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"545,440",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,430",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"545,420",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,410",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,400",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"545,390",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,380",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"545,370",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"545,360",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,350",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"545,340",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,510",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"545,520",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,530",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"545,540",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,550",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"545,560",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,570",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,580",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"545,590",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,600",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"545,610",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,620",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"545,630",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,490",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"565,480",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,470",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"565,460",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"565,450",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,440",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,430",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,420",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"565,410",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"565,400",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"565,390",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,380",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,370",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"565,360",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,350",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"565,340",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"565,510",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,520",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"565,530",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"565,540",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,550",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"565,560",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,570",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,580",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"565,590",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,600",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"565,610",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,620",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"565,630",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"585,490",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"585,480",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"585,470",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"585,460",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"585,450",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"585,440",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"585,430",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"585,420",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"585,410",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"585,400",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"585,390",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"585,380",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"585,370",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"585,360",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"585,350",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"585,340",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"585,510",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"585,520",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"585,530",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"585,540",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"585,550",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"585,560",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"585,570",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"585,580",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"585,590",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"585,600",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"585,610",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"585,620",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"585,630",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"605,490",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"605,480",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,470",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"605,460",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"605,450",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,440",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,430",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"605,420",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"605,410",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"605,400",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,390",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,380",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,370",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"605,360",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"605,350",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"605,340",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,510",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"605,520",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,530",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",6,"605,540",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"605,550",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"605,560",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,570",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"605,580",0,"Human&Horse_Main_1pole_Charge/1",0,"Team:1"
"unit",6,"605,590",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,600",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,610",0,"Human&Horse_Main_1pole_Charge/1",2,"Team:1"
"unit",6,"605,620",0,"Human&Horse_Main_1pole_Charge/1",1,"Team:1"
"unit",6,"605,630",0,"Human&Horse_Main_1pole_Charge/1",3,"Team:1"
"unit",3,"630,520",0,"Human_Main_1pole_Charge/0",0,"Team:1"
"unit",3,"630,510",0,"Human_Main_1pole_Charge/0",0,"Team:1"
"unit",3,"630,500",0,"Human_Main_1pole_Charge/0",1,"Team:1"
"unit",3,"630,490",0,"Human_Main_1pole_Charge/0",3,"Team:1"
"unit",3,"630,480",0,"Human_Main_1pole_Charge/0",2,"Team:1"
"unit",3,"630,470",0,"Human_Main_1pole_Charge/0",2,"Team:1"
"unit",3,"630,460",0,"Human_Main_1pole_Charge/0",3,"Team:1"
"unit",3,"630,450",0,"Human_Main_1pole_Charge/0",1,"Team:1"
"unit",3,"630,440",0,"Human_Main_1pole_Charge/0",1,"Team:1"
"unit",3,"630,430",0,"Human_Main_1pole_Charge/0",2,"Team:1"
"unit",3,"630,420",0,"Human_Main_1pole_Charge/0",0,"Team:1"
"unit",3,"630,410",0,"Human_Main_1pole_Charge/0",0,"Team:1"
"unit",3,"630,400",0,"Human_Main_1pole_Charge/0",2,"Team:1"
"unit",3,"630,390",0,"Human_Main_1pole_Charge/0",0,"Team:1"
"unit",3,"630,380",0,"Human_Main_1pole_Charge/0",3,"Team:1"
"unit",3,"630,370",0,"Human_Main_1pole_Charge/0",1,"Team:1"
"unit",3,"630,360",0,"Human_Main_1pole_Charge/0",2,"Team:1"
"unit",3,"630,350",0,"Human_Main_1pole_Charge/0",0,"Team:1"
"unit",3,"630,530",0,"Human_Main_1pole_Charge/0",1,"Team:1"
"unit",3,"630,540",0,"Human_Main_1pole_Charge/0",0,"Team:1"
