"ID","Name","Troop Type","Range","Area Of Effect","Receiver","Duration","Cooldown","Discipline Requirement","Stamina Cost","Melee Attack Bonus","Melee Defence Bonus","Ranged Defence Bonus","Speed Bonus","Accuracy Bonus","Range Bonus","Melee Speed Bonus","Reload Bonus","Charge Bonus","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Bonus","Damage Modifier","Fire Damage Extra","Poison Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Weapon Impact Modifier","Status","Enemy Status","Action","Additional Damage Sprite","Special Effect","Effect Sprite","Sound Effect","Sound Distance","Status Sprite","AI Use Condition","AI Use Restriction","AI Use Restriction","Action Type","Tag"
1,"Fearless Charge",0,,1,0,10,0,10,0,5,-5,-10,,,,,,50,,,-2,,,,,,,,,,,,1,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
2,"Glorious Charge",0,,1,0,10,0,30,0,,,,,,,,,50,,,-2,10,,,,,,,-50,,4,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
3,"Steady Charge",0,,1,0,10,0,40,0,,15,15,-5,,,,,35,10,,-2,10,,,,,,,,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
4,"Frenzied Charge",0,,1,0,10,0,10,0,50,-40,-40,5,,,,,75,-50,,-4,,,15,,,,,-40,,,,1,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
5,"Devastating Charge",0,,1,0,10,0,10,0,10,,,,,,,,100,,,-3,,,20,,,,,-30,,2,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
6,"Stampede",0,,1,0,10,0,10,0,,,,,,,,,150,,,-3,,,,,,,,-40,,1,,,4,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
7,"Valiant Charge",2,,1,0,10,0,30,0,15,,,,,,,,80,,,,5,5,,,,,,-10,,5,,1,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
8,"Cover Charge",0,,1,0,10,0,10,0,,25,25,-5,,,,,20,20,,-2,,,,,,,,10,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
9,"Agile Charge",0,,1,0,10,0,25,0,,20,20,10,,,,,60,,,-3,,,,,,,,,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
10,"Highland Charge",1,,1,0,10,0,30,0,5,5,,2,10,,,10,70,10,,,,,,,,,,,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
11,"Dread Charge",0,,1,0,10,0,10,0,10,,,,,,,,65,,,-3,,,,,,,,,,10,,,2,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
12,"Banzai Charge",0,,1,0,10,0,15,0,,,,,,,,,70,,,,,,,,,,,-20,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
13,"Reckless Charge",0,,1,0,10,0,0,0,,,,,,,,,80,-10,,,,-5,,,,,,-20,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
14,"Hidden Charge",0,,1,0,10,0,10,0,,,,-10,,,,,25,,,-2,,,,,,,,30,,,,6,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
15,"Clumsy Charge",0,,1,0,10,0,10,0,,,,-5,,,,,10,,,-2,,,,,,,,,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
16,"Heroic Charge",0,,50,0,10,0,10,0,10,,,,,,,,90,,,-3,20,,,,,,,,,1,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
17,"Weak Charge",0,,1,0,10,0,10,0,,,,,,,,,10,,,-2,,,,,,,,,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
18,"Slow Charge",0,,1,0,10,0,10,0,,5,5,-7,,,,,25,110,,-2,,5,,,,,10,,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
19,"Charge",0,,1,0,10,0,10,0,,,,,,,,,50,,,-2,,,,,,,,,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
20,"Chanting Charge",0,,80,0,10,0,10,0,,,,,,,,,50,,,,,,,,,,,-40,,,,,2,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
21,"Leading Charge",0,,1,0,10,0,30,0,20,10,,,,,,,50,,,-1,10,,,,,,,,,,,,,"Charge,movable",,,,,,"Charge",,,,"Skill","Charge"
22,"Reconnaissance",0,,1,0,100,200,50,15,,,,,,,,,,20,,,,,,,,,30,,,,,,,"BuffSelf",,,,,,"Buff","move",,,"Skill","Buff"
23,"Berserk",0,,1,0,2,240,30,15,,,,,,,,,,,,,,,,,,,,,,,,11,,"Shout",,,,,,"Buff","melee",,,"Skill","Buff"
24,"Powerful Cleave",1,,1,0,2,30,40,20,15,,,,,,-1,,20,,,,,,25,0.25,,,,,,,0.2,,,"BuffSelf",,,,,,"Melee","melee",,,"Melee Action","Attack"
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
29,"Shield Protection",1,,1,0,60,80,55,10,-20,20,40,,,,,,,30,,-1,5,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","enemy_near",,,"Skill","Buff"
30,"Shield Barrier",1,,1,0,60,80,64,15,-50,50,80,,,,,,,70,,-1,25,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","enemy_near",,,"Skill","Buff"
31,"Shield Fortress",1,,1,0,60,80,72,25,-50,80,50,,,,,,,100,,-1,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","enemy_near",,,"Skill","Buff"
