"ID","Name","Status Conflict","Max Stack","Duration","Melee Attack Bonus","Melee Defence Bonus","Ranged Defence Bonus","Speed Bonus","Accuracy Bonus","Reload Bonus","Charge Bonus","Charge Defence Bonus","Melee Speed Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Sight Bonus","Hidden Bonus","Temperature Change","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Poison Resistance Bonus","Special Effect","Status Sprite","Tag"
1,"Fearless",,1,10,,,,,,,,0,,0,0,100,0,0,,0,,,,,,,,,"Buff","Buff"
2,"Fear","1,3",1,10,,,,,,,,0,,0,0,-30,0,0,,0,,,,,,,,,"Debuff","Debuff"
3,"Hope",2,1,10,,,,,,,,0,,0,0,30,0,0,,0,,,,,,,,,"Buff","Buff"
4,"Stampede",,1,10,,-20,-10,,,,,-10,,0,0,0,0,0,,0,,,,,,,,,"Debuff","Debuff"
5,"Disrupt",,1,10,-10,-10,-10,-5,-10,-10,-10,-20,-3,0,0,-20,-10,0,,0,,,,,,,,,"Debuff","Debuff"
6,"Hidden",,1,30,,,,,,,,0,,0,0,0,0,,,0,,,,,,,,,"Buff","Buff"
7,"Blind",,1,60,-50,-30,-60,-20,-90,-70,-60,-35,,0,0,0,0,-500,,0,,,,,,,,,"Debuff","Debuff"
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Sleep",,1,60,-100,-100,-50,,,,,-100,,1,1,0,0,,,0,,,,,,,,14,"Debuff","Debuff"
10,"Panic",,1,30,-40,-25,-40,-40,-50,-50,-40,-50,-1,0,0,-50,-50,,,0,,,,,,,,1,"Debuff","Debuff"
11,"Berserk",,1,120,50,-50,,40,,,50,-40,2,0,0,50,-70,,,10,,,,,,,,1,"Buff","Buff"
12,"Confuse",,1,30,-40,-40,-50,-20,-60,-60,-70,-30,-2,0,0,0,-100,,,0,,,,,,,,1,"Debuff","Debuff"
13,"Run Amok",,1,60,20,,,30,,,15,-20,1,0,0,-30,-200,,,20,,,,,,,,1,"Debuff","Debuff"
14,"Unconscious",,1,30,,,-50,,,,,-100,,0,0,0,0,,,0,,,,,,,,14,"Debuff","Debuff"
15,"Oiled",,1,60,-5,,,-20,-10,-25,-20,-10,-2,0,0,0,0,,,0,,-50,,,,,,,"Debuff","Debuff"
16,"Plague",,3,300,-8,-8,-8,-2,-4,-7,-6,-2,-1,-1,-5,-20,-10,,,0,,,,,,,,,"Debuff","Debuff"
17,"Stun",,1,5,-25,-25,-25,-25,-25,-25,-25,-25,-2,0,0,0,-30,,,0,,,,,,,,,"Debuff","Debuff"
18,"Poison",19,5,60,-2,-2,-2,-1,-2,-2,-2,0,,-2,-1,-5,0,,,0,,,,,,,,,"Dot","DOT"
19,"Deadly Poison",,5,60,-5,-5,-5,-3,-5,-5,-5,0,,-5,-4,-10,-5,,,0,,,,,,,,,"Debuff","Debuff"
20,"Burn","21,23,38,46,47,49",1,10,,,,,,,,0,,-3,0,-10,0,0,0,50,,,,,,,,,"Dot","Fire"
21,"Freeze","20,37",1,30,-15,-15,-15,-40,-15,-15,-40,-30,-3,-2,-10,-20,-20,,,0,,,,,,,,14,"Freeze","Debuff"
22,"Shock",39,1,30,-25,-22,-22,-25,,-20,-25,-35,-2,0,0,0,0,,,0,,,,,,,,,"Debuff","Debuff"
23,"Wet",38,1,30,,,,-1,,,-5,0,,0,0,0,0,,,-25,,,-25,-50,20,-20,,,"Debuff","Debuff"
