"ID","Name","Training Score","Speed Bonus","Health Modifier","Stamina Modifier","Morale Bonus","Discipline Bonus","Trait"
0,"Novice",70,-5,0,0,-10,-10,"3,5"
1,"Militant",100,0,0.05,0.05,-5,-5,"3"
2,"Professional",125,2,0.1,0.1,5,0,
3,"Veteran",150,5,0.15,0.2,15,10,"1"
4,"Elite",200,10,0.3,0.3,20,15,"1"
5,"Champion",300,15,0.5,0.5,30,25,"1"
6,"Hero",400,15,1,1,50,40,"2"
7,"Religious Militant",110,0,0.05,0.05,20,10,"1"
8,"Religious Warrior",120,5,0.1,0.1,30,25,"4"
9,"Religious Elite Warrior",180,10,0.25,0.15,50,35,"4"
10,"Mercenary",135,3,0.05,0.05,10,5,"3"
11,"Noble",175,0,0.1,0.1,30,-10,"1,149"
12,"Leader",400,5,2,1,50,20,
