"ID","Name","Area Of Effect","Buff Modifier","Melee Attack Bonus","Melee Defence Bonus","Ranged Defence Bonus","Speed Bonus","Accuracy Bonus","Reload Bonus","Charge Bonus","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Bonus","Siege Bonus","Sight Bonus","Hidden Bonus","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Poison Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Status","Enemy Status","Special Effect","Cost","Tag"
1,"Bonus Morale",1,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,"Buff"
2,"Heroic",1,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,"Buff"
3,"Varied Training",1,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,"Buff"
4,"Zealous",1,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,"Buff"
5,"Poor Morale",1,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,,"Debuff"
6,"Charge Expert",1,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,"Buff"
7,"Charge Defence Expert",1,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,"Buff"
8,"Weapon Expert",1,,20,20,,,20,20,,,,,,,,,,,,,,,,,,,,,,"Buff"
9,"Arc Shot",1,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,"Buff"
10,"Agile Aims",1,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,"Buff"
11,"Can Shoot While Moving",1,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,"Buff"
12,"Concentrated Aims",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
13,"Anti-Infantry",1,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,"Buff"
14,"Anti-Cavalry",1,,,,,,,,,20,,,,,,,,,,,,,,,,,,27,,"Buff"
15,"Anti-Structure",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
16,"Defiant Defence",1,,10,25,25,,,,,,,,25,10,,,,,,,,,,,,,,,,"Buff"
17,"Battle Master",1,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,"Buff"
18,"Absolute Defence",1,,,50,50,,,,,50,,,,,,,,,,,,,,,,,,,,"Buff"
19,"Patriotic",1,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,"Buff"
20,"Siege Expert",1,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,"Buff"
21,"Famed",60,,,,,,,,,,,,10,10,,,,,,,,,,,,3,,,,"Area Buff"
22,"Shield Expert",1,,,20,20,,,,,15,,,,,,,,,,,,,,,,,,,,"Buff"
23,"Superb Flanker",1,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,"Buff"
24,"Causes Fear",20,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"Buff"
25,"Causes Terror",50,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"Area Buff"
26,"Inspires Hope",20,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,"Area Buff"
27,"Inspires Bravery",50,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,"Area Buff"
28,"Glorious Appearance",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Long Range Accuracy",1,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,"Buff"
30,"Royal Banner",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Cold Resistance",1,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,"Buff"
32,"Heat Resistance",1,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,"Buff"
33,"Battle Preparation",1,,10,10,10,10,,10,10,10,,,20,10,,0.15,,,,,,,,,,,,,,
34,"Unbreakable",1,,,15,15,,,,,,,,100,20,,,,,,,,,,,,,,38,,"Buff"
35,"Savage Looter",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
36,"Catcher Expert",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
37,"Marvellous Athletic",1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"Buff"
38,"Iron Discipline",1,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,"Buff"
39,"Impetuous",1,,,,,,,,,,,,,-20,,,,,,,,,,,,,,41,,"Debuff"
40,"Fragile Will",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Debuff"
41,"Personal Escort",1,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,"Buff"
42,"Gallant Example",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
43,"Field Medic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Forestry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
45,"Seamate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
46,"Mountaineer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
47,"Cave Crawling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
48,"Pathfinder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
49,"Cold Exposure",1,,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,"Debuff"
50,"Heat Exposure",1,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,"Debuff"
51,"Cowardice",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Debuff"
52,"Treachery",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Debuff"
53,"Stationary Placement",1,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,"Debuff"
54,"Mountain Hiding",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
55,"Hill Hiding",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
56,"Forest Hiding",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
57,"Desert Hiding",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
58,"Snow Hiding",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
59,"Plain Hiding",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
60,"Swamp Hiding",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
61,"Urban Hiding",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
62,"Night Stalking",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
63,"Ambush Expert",1,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,"Buff"
64,"Scare Horse",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
