"ID","Name","Speed Bonus","Health Bonus","Charge Bonus","Stamina Bonus","Cost","Trait","Race","Move Sound Include Rider","Tag"
1,"Arabian Horse",17,30,50,35,0,,2,"FALSE","Early Mount"
2,"Friesian Horse",10,40,65,50,0,,2,"FALSE","Early Mount"
3,"Mongolian Horse",6,20,40,100,0,,2,"FALSE","Early Mount"
4,"Andalusian Horse",,,,,0,,2,"FALSE","Early Mount"
5,"Shire Horse",,,,,0,,2,"FALSE","Early Mount"
6,"Ferghana Horse",,,,,0,,2,"FALSE","Early Mount"
7,"Marwari Horse",,,,,0,,2,"FALSE","Early Mount"
8,"Percheron Horse",,,,,0,,2,"FALSE","Early Mount"
9,"Thessalian Horse",,,,,0,,2,"FALSE","Early Mount"
10,"Turkoman Horse",,,,,0,,2,"FALSE","Early Mount"
11,"Fergahana Horse",,,,,0,,2,"FALSE","Early Mount"
12,"Caspian Horse",,,,,0,,2,"FALSE","Early Mount"
13,"Ardennes Horse",,,,,0,,2,"FALSE","Early Mount"
14,"Holsteiner Horse",,,,,0,,2,"FALSE","Early Mount"
15,"Akhal-Teke Horse",,,,,0,,2,"FALSE","Early Mount"
16,"Nisean Horse",,,,,0,,2,"FALSE","Early Mount"
17,"Zemaitukas Horse",,,,,0,,2,"FALSE","Early Mount"
18,"Menorquin Horse",,,,,0,,2,"FALSE","Early Mount"
19,"Don Horse",,,,,0,,2,"FALSE","Early Mount"
20,"Lipizzan Horse",,,,,0,,2,"FALSE","Early Mount"
21,"Barber Horse",,,,,0,,2,"FALSE","Early Mount"
22,"Lusitano Horse",,,,,0,,2,"FALSE","Early Mount"
23,"Murgese Horse",,,,,0,,2,"FALSE","Early Mount"
24,"Clydesdale Horse",8,30,30,100,0,,2,"FALSE","Early Mount"
25,"Kladruber Horse",,,,,0,,2,"FALSE","Early Mount"
26,"Fell Pony Horse",,,,,0,,2,"FALSE","Early Mount"
27,"Suffolk Horse",,,,,0,,2,"FALSE","Early Mount"
28,"Belgian Horse",,,,,0,,2,"FALSE","Early Mount"
29,"Jennet Horse",,,,,0,,2,"FALSE","Early Mount"
30,"Tibetan Pony",,,,,0,,2,"FALSE","Early Mount"
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,"Bactrian Camel",6,40,45,,,,3,"FALSE","Early Mount"
47,"Arabian Camel",,,,,,,3,"FALSE","Early Mount"
48,,,,,,,,,,
49,"African Elephant",4,300,200,,,,4,"FALSE","Early Mount"
50,"Asian Elephant",,,,,,,4,"FALSE","Early Mount"
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,"Light Artillery",-30,,-70,,,,48,"TRUE","Combat Equipment"
81,"Medium Artillery",-50,,-90,,,,49,"TRUE","Combat Equipment"
82,"Large Artillery",-70,,-100,,,,50,"TRUE","Combat Equipment"
83,"Giant Artillery",-90,,-200,,,,51,"TRUE","Combat Equipment"
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,"Light Chariot",10,100,125,100,,77,5,"FALSE","Early Mount"
98,"Heavy Chariot",4,200,130,100,,77,5,"FALSE","Early Mount"
99,"War Chariot",6,150,120,100,,77,5,"FALSE","Early Mount"
100,"Egyptian War Chariot",8,150,115,100,,77,5,"FALSE","Early Mount"
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
