"ID","Name","Health","Weight","Cost","Type"
1,"None",0,0,0,"Light Mount Armour"
2,"Padded Armour",12,10,,"Light Mount Armour"
3,"Leather Armour",9,8,,"Light Mount Armour"
4,"Chainmail Armour",20,15,,"Light Mount Armour"
5,"Scale Armour",30,25,,"Medium Mount Armour"
6,"Lamellar Armour",25,20,,"Medium Mount Armour"
7,"Plate Armour",60,50,,"Heavy Mount Armour"
8,"Splint Armour",40,25,,"Medium Mount Armour"
9,"Brigandine Armour",14,10,,"Light Mount Armour"
10,"Laminar Armour",30,20,,"Medium Mount Armour"
11,,,,,
12,,,,,
13,"Wood Chariot",50,15,,"Medium Mount Armour"
14,"Saddle",5,2,,"Light Mount Armour"
15,"Reinforced Saddle",10,4,,"Light Mount Armour"
16,,,,,
17,,,,,
18,,,,,
19,"Light Cannon",20,0,,"Artillery Type"
20,"Heavy Cannon",40,0,,"Artillery Type"
21,"Giant Cannon",100,0,,"Artillery Type"
22,,,,,
