"ID","Leader ID","POS","Leader","Faction","Troop","Angle","Start Health","Start Stamina","Team"
1,"L36","570,885",,3,"34:5/200,37:10/100",0,100,100,1
2,"C6","550,905","1",3,"32:10/300,33:10/250",0,100,100,1
3,"C6","590,905","1",3,"31:10/300,30:10/250",0,100,100,1
4,"C6","330,905",,3,"34:20/100",0,100,100,1
5,"C6","250,905",,3,"34:20/100",0,100,100,1
6,"C7","570,930","2",3,"35:10/300,33:10/250",0,100,100,1
7,"C7","530,930","2",3,"38:10/100,33:10/250",0,100,100,1
8,"C7","620,930","3",3,"36:10/200",0,100,100,1
9,"C7","550,950","3",3,"32:10/300,33:10/250",0,100,100,1
10,"C7","300,935","4",3,"31:10/300,30:10/250",0,100,100,1
11,"C7","330,935","4",3,"35:10/300,33:10/250",0,100,100,1
12,"C7","300,905","5",3,"31:10/300,30:10/250",0,100,100,1
13,"C7","300,905","5",3,"32:10/300,33:10/250",0,100,100,1
14,"L37","600,200",,4,"45:5/50,47:5/30,48:2/10",180,100,100,2
15,"L38","300,200",,4,"45:7/50,47:3/30,48:2/10",180,100,100,2
16,"C9","400,150","14",,"45:5/40,47:5/40",180,100,100,2
17,"C8","500,150","14",4,"43:10/50",180,100,100,2
18,"C8","450,150","14",4,"43:10/50",180,100,100,2
19,"C10","600,150","14",4,"41:5/100,42:5/100",180,100,100,2
20,"C10","650,150","14",4,"44:5/200",180,100,100,2
21,"C10","450,100","14",4,"39:5/300",180,100,100,2
22,"C10","650,100","14",4,"40:5/300",180,100,100,2
23,"C10","350,200","15",4,"43:5/50",180,100,100,2
24,"C10","250,200","15",4,"43:5/50",180,100,100,2
25,"C10","200,200","15",4,"41:5/100,42:5/100",180,100,100,2
26,"C10","400,150","15",4,"44:5/200",180,100,100,2
27,"C10","150,150","15",4,"39:5/300",180,100,100,2
28,"C10","300,150","15",4,"40:5/300",180,100,100,2
