"Name","Leader ID","Troop"
"Harold’s Huscarls","SAX-1","SAX+9:5/10,SAX+8:10/50,SAX+10:2/5"
"Gyrth’s Huscarls","SAX-2","SAX+9:5/5,SAX+8:5/50,SAX+10:1/1"
"Leofwine’s Huscarls","SAX-3","SAX+9:5/5,SAX+8:5/50,SAX+10:1/1"
"Godric’s Saxon Archers","SAX-4","SAX+1:10/100,SAX+4:10/50"
"Thurkill’s Saxon Spearmen","SAX-5","SAX+1:10/100,SAX+3:10/50"
"Edric’s Saxon Slingers","SAX-6","SAX+1:10/100,SAX+5:10/50"
"Son of Helloc’s Saxon Skirmishers","SAX-10","SAX+1:10/100,SAX+6:10/50"
"Breme’s Saxon Infantries","SAX-7","SAX+1:10/100,SAX+2:10/50"
"Aelfwig’s Brethrens","SAX-8","CHR+1:5/20"
"Aelfric’s Saxon Spearmen","SAX-9","SAX+1:5/50,SAX+3:10/100"
"Huscarl Captain’s Saxon Fryds","CSAX-1","SAX+8:5/20,SAX+1:10/50"
"Huscarl Captain’s Unit","CSAX-1","SAX+8:10/50"
"Huscarl Captain’s Saxon Spearmen","CSAX-1","SAX+8:5/20,SAX+3:10/50"
"Thane’s Saxon Skirmishers","CSAX-2","SAX+1:15/100,SAX+6:5/50"
"Thane’s Saxon Slingers","CSAX-2","SAX+1:15/100,SAX+5:5/50"
"Thane’s Saxon Archers","CSAX-2","SAX+1:15/100,SAX+4:5/50"
"Thane’s Saxon Axemen","CSAX-2","SAX+1:15/100,SAX+2:5/50"
"Thane’s Saxon Spearmen","CSAX-2","SAX+1:15/100,SAX+3:5/50"
