"Name","p1_head","p1_eye","p1_mouth","p1_neck","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg_up","p1_r_leg_low","p1_r_foot","p1_l_leg_up","p1_l_leg_low","p1_l_foot","p1_main_weapon","p1_sub_weapon","p1_special_1","p1_special_2","p1_special_3","p1_special_4","p1_special_5","p2_head","p2_eye","p2_mouth","p2_neck","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg_up","p2_r_leg_low","p2_r_foot","p2_l_leg_up","p2_l_leg_low","p2_l_foot","p2_main_weapon","p2_sub_weapon","p2_special_1","p2_special_2","p2_special_3","p2_special_4","p2_special_5","p3_head","p3_eye","p3_mouth","p3_neck","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg_up","p3_r_leg_low","p3_r_foot","p3_l_leg_up","p3_l_leg_low","p3_l_foot","p3_main_weapon","p3_sub_weapon","p3_special_1","p3_special_2","p3_special_3","p3_special_4","p3_special_5","p4_head","p4_eye","p4_mouth","p4_neck","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg_up","p4_r_leg_low","p4_r_foot","p4_l_leg_up","p4_l_leg_low","p4_l_foot","p4_main_weapon","p4_sub_weapon","p4_special_1","p4_special_2","p4_special_3","p4_special_4","p4_special_5","effect_1","effect_2","effect_3","effect_4","dmg_effect_1","dmg_effect_2","dmg_effect_3","dmg_effect_4","size","frame_property","animation_property"
"Dog_Default/0","Dog,Head,137.5,114,-2,0,3,1","","","","Dog,Body,102,120,0.5,0,9,1","Dog,R Arm Up,115,136,0.5,0,9,1","Dog,R Arm Low,115.5,149.5,0.5,0,8,1","","Dog,L Arm Up,123.5,128,-2,0,10,1","Dog,L Arm Low,123.5,139.5,-6.5,0,15,1","","Dog,R Leg,81,127,-3,0,0,1","","Dog,R Foot,78,144,-2,0,0,1","Dog,L Leg,94,122,-1,0,11,1","","Dog,L Foot,90.5,138,0,0,12,1","","","","Dog,Tail Small Middle,73,120,0,0,12,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"Dog_Idle/0","Dog,Head,137.5,114,-2,0,3,1","","","","Dog,Body,102,120,0.5,0,9,1","Dog,R Arm Up,115,136,0.5,0,9,1","Dog,R Arm Low,115.5,149.5,0.5,0,8,1","","Dog,L Arm Up,123.5,128,-2,0,10,1","Dog,L Arm Low,123.5,139.5,-6.5,0,15,1","","Dog,R Leg,81,127,-3,0,0,1","","Dog,R Foot,78,144,-2,0,0,1","Dog,L Leg,94,122,-1,0,11,1","","Dog,L Foot,90.5,138,0,0,12,1","","","","Dog,Tail Small Middle,73,120,0,0,12,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.5"
"Dog_Idle/1","Dog,Head,137,116,-6.5,0,3,1","","","","Dog,Body,102,120,-1.5,0,9,1","Dog,R Arm Up,115,136,5,0,9,1","Dog,R Arm Low,115,150.5,0.5,0,8,1","","Dog,L Arm Up,123.5,128,-2,0,10,1","Dog,L Arm Low,122,139.5,-6.5,0,15,1","","Dog,R Leg,81,127,-3,0,0,1","","Dog,R Foot,78,144,-3.5,0,0,1","Dog,L Leg,94,122,-1,0,11,1","","Dog,L Foot,90.5,137.5,0,0,12,1","","","","Dog,Tail Small Middle,73,118,0,0,12,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.5"
"Dog_Idle/2","Dog,Head,136,117,-9,0,3,1","","","","Dog,Body,102,120,-2.5,0,9,1","Dog,R Arm Up,115,136.5,8.5,0,9,1","Dog,R Arm Low,115,150.5,-4,0,8,1","","Dog,L Arm Up,123.5,128,-2,0,10,1","Dog,L Arm Low,122,139.5,-9.5,0,15,1","","Dog,R Leg,81,127,-6,0,0,1","","Dog,R Foot,76.5,145.5,-3.5,0,0,1","Dog,L Leg,94,122,-1,0,11,1","","Dog,L Foot,90.5,136.5,-4,0,12,1","","","","Dog,Tail Small Middle,73,116,-5,0,12,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.5"
"Dog_Idle/3","Dog,Head,137,116,-6.5,0,3,1","","","","Dog,Body,102,120,-1.5,0,9,1","Dog,R Arm Up,115,136,5,0,9,1","Dog,R Arm Low,115,150.5,0.5,0,8,1","","Dog,L Arm Up,123.5,128,-2,0,10,1","Dog,L Arm Low,122,139.5,-6.5,0,15,1","","Dog,R Leg,81,127,-3,0,0,1","","Dog,R Foot,78,144,-3.5,0,0,1","Dog,L Leg,94,122,-1,0,11,1","","Dog,L Foot,90.5,137.5,0,0,12,1","","","","Dog,Tail Small Middle,73,118,0,0,12,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.5"
"Dog_WalkMove/0","Dog,Head,137.5,116,-5.5,0,3,1","","","","Dog,Body,102,120,1.7,0,9,1","Dog,R Arm Up,115,136,13,0,9,1","Dog,R Arm Low,118,149.5,9.5,0,8,1","","Dog,L Arm Up,123.5,128,-2,0,10,1","Dog,L Arm Low,122,139.5,-15.5,0,15,1","","Dog,R Leg,81,128.5,-9.5,0,0,1","","Dog,R Foot,76,144,-14,0,0,1","Dog,L Leg,95,123.5,1,0,11,1","","Dog,L Foot,94.5,137,-6.5,0,12,1","","","","Dog,Tail Small Middle,73,120,0,0,12,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4"
"Dog_WalkMove/1","Dog,Head,136,118,-12.5,0,3,1","","","","Dog,Body,102,120,-2.5,0,9,1","Dog,R Arm Up,119,136,26,0,9,1","Dog,R Arm Low,123.5,150.5,8,0,8,1","","Dog,L Arm Up,119,132,-21.5,0,10,1","Dog,L Arm Low,115,139,-22.5,0,15,1","","Dog,R Leg,78.5,127,-19,0,0,1","","Dog,R Foot,71.5,141.5,-19,0,0,1","Dog,L Leg,93,122,32.5,0,11,1","","Dog,L Foot,97,139,-4.5,0,12,1","","","","Dog,Tail Small Middle,73,116.5,-11,0,12,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4"
"Dog_WalkMove/2","Dog,Head,137,118,-10.5,0,3,1","","","","Dog,Body,102,120,-2.5,0,9,1","Dog,R Arm Up,118,136,16.5,0,9,1","Dog,R Arm Low,119.5,150.5,-8.5,0,8,1","","Dog,L Arm Up,120.5,132,-21.5,0,10,1","Dog,L Arm Low,119,139,-22.5,0,15,1","","Dog,R Leg,80.5,127,-10,0,0,1","","Dog,R Foot,75,143.5,-12.5,0,0,1","Dog,L Leg,91.5,122,32.5,0,11,1","","Dog,L Foot,95.5,139,-4.5,0,12,1","","","","Dog,Tail Small Middle,73,116.5,-11,0,12,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4"
"Dog_WalkMove/3","Dog,Head,137,117.5,-7.5,0,3,1","","","","Dog,Body,102,120,-3,0,9,1","Dog,R Arm Up,115,136.5,2.5,0,9,1","Dog,R Arm Low,114,149.5,-9.5,0,8,1","","Dog,L Arm Up,123.5,128,-2,0,10,1","Dog,L Arm Low,125.5,137.5,-6,0,15,1","","Dog,R Leg,84,126,9,0,0,1","","Dog,R Foot,82.5,145.5,-3.5,0,0,1","Dog,L Leg,94,122,-1,0,11,1","","Dog,L Foot,90.5,136.5,-14.5,0,12,1","","","","Dog,Tail Small Middle,74.5,117.5,-1,0,12,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4"
"Dog_WalkMove/4","Dog,Head,137,116.5,-10.5,0,3,1","","","","Dog,Body,102,119,0.5,0,9,1","Dog,R Arm Up,114.5,137.5,-18,0,9,1","Dog,R Arm Low,108.5,148,-27.2,0,8,1","","Dog,L Arm Up,124.5,131.5,29.7,0,10,1","Dog,L Arm Low,130.5,142.5,7.2,0,24,1","","Dog,R Leg,86,127,13.4,0,0,1","","Dog,R Foot,86,145.5,-5.5,0,0,1","Dog,L Leg,86,122,-34.2,0,11,1","","Dog,L Foot,79,132.5,-46.9,0,12,1","","","","Dog,Tail Small Middle,74.5,117,-7,0,12,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4"
