"Name","p1_head","p1_eye","p1_mouth","p1_neck","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg_up","p1_r_leg_low","p1_r_foot","p1_l_leg_up","p1_l_leg_low","p1_l_foot","p1_main_weapon","p1_sub_weapon","p1_special_1","p1_special_2","p1_special_3","p1_special_4","p1_special_5","p2_head","p2_eye","p2_mouth","p2_neck","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg_up","p2_r_leg_low","p2_r_foot","p2_l_leg_up","p2_l_leg_low","p2_l_foot","p2_main_weapon","p2_sub_weapon","p2_special_1","p2_special_2","p2_special_3","p2_special_4","p2_special_5","p3_head","p3_eye","p3_mouth","p3_neck","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg_up","p3_r_leg_low","p3_r_foot","p3_l_leg_up","p3_l_leg_low","p3_l_foot","p3_main_weapon","p3_sub_weapon","p3_special_1","p3_special_2","p3_special_3","p3_special_4","p3_special_5","p4_head","p4_eye","p4_mouth","p4_neck","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg_up","p4_r_leg_low","p4_r_foot","p4_l_leg_up","p4_l_leg_low","p4_l_foot","p4_main_weapon","p4_sub_weapon","p4_special_1","p4_special_2","p4_special_3","p4_special_4","p4_special_5","effect_1","effect_2","effect_3","effect_4","dmg_effect_1","dmg_effect_2","dmg_effect_3","dmg_effect_4","size","frame_property","animation_property"
"Taillefer&Horse_1hand_Idle/0","Human,Head,276.6,171.2,0.5,0,4,1","","Open","Human,Neck,272,191.1,0,0,5,1","Human,Body,268,256.5,0,0,6,1","Human,Arm Up,246.8,236.6,18,0,4,1","Human,Arm Low,276.8,241.4,120.9,0,3,1","Human,Open,302.4,214.6,136.4,0,1,1","Human,Arm Up,298.9,244.3,11,1,21,1","Human,Arm Low,305,277.2,6.5,0,20,1","Human,Fist Back,311.8,307.5,5.5,0,20,1","Human,Leg Up,265.9,326.6,17.1,0,7,1","Human,Leg Low,270.4,375.7,-12,0,8,1","Human,Foot,269.3,421.7,-12.5,0,9,1","Human,Leg Up,288.7,325.1,40,0,17,1","","","Base Main,318,111,175.8,0,2,1","Base Sub,365,312.3,97.5,0,23,1","","","","","","Horse,Head,425.1,269,6.7,0,7,1","","","Horse,Neck,382.4,295,24.5,0,10,1","Horse,Body,270.8,372.9,1,0,13,1","Horse,R Arm Up,348.9,418,10.5,0,13,1","Horse,R Arm Low,344.7,477.1,-20.3,0,14,1","Horse,R Hand,348.5,523.6,-0.5,0,4,1","Horse,L Arm Up,382.5,397,8.6,0,15,1","Horse,L Arm Low,380.8,455.9,-15.5,0,16,1","Horse,L Hand,384.5,505.4,-1,0,17,1","Horse,R Leg Up,169.6,416.6,-8.5,0,4,1","Horse,R Leg Low,152.4,479,13.5,0,5,1","Horse,R Foot,168.5,522,-2,0,4,1","Horse,L Leg Up,218.8,397.7,-0.5,0,15,1","Horse,L Leg Low,206.3,459.1,22,0,17,1","Horse,L Foot,226.9,503.7,-0.5,0,16,1","","","Horse,Tail Small Middle,124.8,389.7,-11.4,0,16,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.5,p1_fix_main_weapon"
"Taillefer&Horse_1hand_Idle/1","Human,Head,278.1,172.2,1,0,4,1","","Open","Human,Neck,274,192.6,-2.5,0,5,1","Human,Body,268,257.5,-2.5,0,6,1","Human,Arm Up,244.8,236.6,7,0,4,1","Human,Arm Low,274.8,255.4,93.5,0,3,1","Human,Open,303.6,242.6,108.4,0,1,1","Human,Arm Up,300.9,243.8,11,1,21,1","Human,Arm Low,307,276.7,6.5,0,20,1","Human,Fist Back,313.8,307,5.5,0,20,1","Human,Leg Up,265.9,326.6,19.1,0,7,1","Human,Leg Low,270.4,375.7,-13.5,0,8,1","Human,Foot,267.3,421.7,-14,0,9,1","Human,Leg Up,288.7,325.1,40,0,17,1","","","Base Main,309,102,-68.8,0,2,1","Base Sub,367,311.8,97.5,0,23,1","","","","","","Horse,Head,425.1,273,4.2,0,7,1","","","Horse,Neck,382.4,297,23.5,0,10,1","Horse,Body,270.8,374.9,-0.5,0,13,1","Horse,R Arm Up,348.9,419.5,9,0,13,1","Horse,R Arm Low,344.7,477.6,-21.8,0,14,1","Horse,R Hand,347.5,523.6,-2,0,4,1","Horse,L Arm Up,382.5,398,8.6,0,15,1","Horse,L Arm Low,380.8,456.9,-14,0,16,1","Horse,L Hand,384.5,505.4,-1,0,17,1","Horse,R Leg Up,168.6,418.1,-10,0,4,1","Horse,R Leg Low,152.4,479,15,0,5,1","Horse,R Foot,169.5,522,-0.5,0,4,1","Horse,L Leg Up,218.8,397.7,-2,0,15,1","Horse,L Leg Low,206.3,460.1,21,0,17,1","Horse,L Foot,226.9,504.7,1,0,16,1","","","Horse,Tail Small Middle,122.8,388.7,-13.4,0,16,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.5,p1_fix_main_weapon"
"Taillefer&Horse_1hand_Idle/2","Human,Head,279.6,174.7,5.5,0,4,1","","Open","Human,Neck,277.5,197.1,-4,0,5,1","Human,Body,269,262,-4,0,6,1","Human,Arm Up,246.8,240.6,7,0,4,1","Human,Arm Low,276.8,263.4,85.5,0,3,1","Human,Open,305.6,255.6,100.4,0,1,1","Human,Arm Up,300.9,248.3,9.5,1,21,1","Human,Arm Low,307,281.2,5,0,20,1","Human,Fist Back,313.8,311.5,4,0,20,1","Human,Leg Up,264.9,332.6,18.1,0,7,1","Human,Leg Low,271.4,379.7,-17,0,8,1","Human,Foot,265.3,424.7,-17.5,0,9,1","Human,Leg Up,289.7,328.1,38.5,0,17,1","","","Base Main,340.8,166.8,62.5,0,2,1","Base Sub,367,316.3,96,0,23,1","","","","","","Horse,Head,426.1,281.5,2.2,0,7,1","","","Horse,Neck,383.4,300.5,22,0,10,1","Horse,Body,271.8,376.9,-3,0,13,1","Horse,R Arm Up,348.9,422,8.5,0,13,1","Horse,R Arm Low,345.7,479.1,-21.8,0,14,1","Horse,R Hand,347.5,523.6,-4,0,4,1","Horse,L Arm Up,383.5,398,8.6,0,15,1","Horse,L Arm Low,382.8,456.9,-11.5,0,16,1","Horse,L Hand,387,507.4,-1,0,17,1","Horse,R Leg Up,168.6,420.1,-11.5,0,4,1","Horse,R Leg Low,150.4,480.5,15,0,5,1","Horse,R Foot,167,520.5,-0.5,0,4,1","Horse,L Leg Up,219.8,399.2,-2,0,15,1","Horse,L Leg Low,207.3,461.6,19,0,17,1","Horse,L Foot,227.9,506.7,-2,0,16,1","","","Horse,Tail Small Middle,123.8,387.2,-17.4,0,16,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.5,p1_fix_main_weapon"
"Taillefer&Horse_1hand_Idle/3","Human,Head,278.1,172.2,-2,0,4,1","","Open","Human,Neck,274,192.6,-2.5,0,5,1","Human,Body,268,257.5,-2.5,0,6,1","Human,Arm Up,242.8,234.6,0.5,0,4,1","Human,Arm Low,270.8,261.4,83.5,0,3,1","Human,Open,301.6,254.6,98.9,0,1,1","Human,Arm Up,300.9,243.8,11,1,21,1","Human,Arm Low,307,276.7,6.5,0,20,1","Human,Fist Back,313.8,307,5.5,0,20,1","Human,Leg Up,265.9,326.6,19.1,0,7,1","Human,Leg Low,270.4,375.7,-13.5,0,8,1","Human,Foot,267.3,421.7,-14,0,9,1","Human,Leg Up,288.7,325.1,40,0,17,1","","","Base Main,354,223.2,114.6,0,4,1","Base Sub,367,311.8,97.5,0,23,1","","","","","","Horse,Head,425.1,273,4.2,0,7,1","","","Horse,Neck,382.4,297,23.5,0,10,1","Horse,Body,270.8,374.9,-0.5,0,13,1","Horse,R Arm Up,348.9,419.5,9,0,13,1","Horse,R Arm Low,344.7,477.6,-21.8,0,14,1","Horse,R Hand,347.5,523.6,-2,0,4,1","Horse,L Arm Up,382.5,398,8.6,0,15,1","Horse,L Arm Low,380.8,456.9,-14,0,16,1","Horse,L Hand,384.5,505.4,-1,0,17,1","Horse,R Leg Up,168.6,418.1,-10,0,4,1","Horse,R Leg Low,152.4,479,15,0,5,1","Horse,R Foot,169.5,522,-0.5,0,4,1","Horse,L Leg Up,218.8,397.7,-2,0,15,1","Horse,L Leg Low,206.3,460.1,21,0,17,1","Horse,L Foot,226.9,504.7,1,0,16,1","","","Horse,Tail Small Middle,122.8,388.7,-13.4,0,16,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.5,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/0","Human,Head,273.1,172.2,0.5,0,4,1","","Open","Human,Neck,268.5,192.1,0,0,5,1","Human,Body,264.5,257.5,0,0,6,1","Human,Arm Up,246.8,236.6,18,0,4,1","Human,Arm Low,276.8,241.4,120.9,0,3,1","Human,Open,302.4,214.6,136.4,0,1,1","Human,Arm Up,295.4,245.3,11,1,21,1","Human,Arm Low,301.5,278.2,6.5,0,20,1","Human,Fist Back,308.3,308.5,5.5,0,20,1","Human,Leg Up,260.4,329.6,19.6,0,7,1","Human,Leg Low,266.9,376.7,-12,0,8,1","Human,Foot,265.8,422.7,-12.5,0,9,1","Human,Leg Up,285.2,326.1,40,0,17,1","","","Base Main,318,124,175.8,0,2,1","Base Sub,361.5,313.3,97.5,0,23,1","","","","","","Horse,Head,419.1,269,6.7,0,7,1","","","Horse,Neck,376.4,295,24.5,0,10,1","Horse,Body,264.8,372.9,1,0,13,1","Horse,R Arm Up,342.9,416,33,0,13,1","Horse,R Arm Low,353.2,471.6,-25.3,0,14,1","Horse,R Hand,342,514.6,-37.5,0,4,1","Horse,L Arm Up,376.5,397,8.6,0,15,1","Horse,L Arm Low,374.8,455.9,-15.5,0,16,1","Horse,L Hand,378.5,505.4,-1,0,17,1","Horse,R Leg Up,163.6,414.1,-1,0,4,1","Horse,R Leg Low,159.4,473,36,0,5,1","Horse,R Foot,174,514,-32.3,0,4,1","Horse,L Leg Up,212.8,397.7,-0.5,0,15,1","Horse,L Leg Low,196.3,456.1,15,0,17,1","Horse,L Foot,212.9,503.7,-0.5,0,16,1","","","Horse,Tail Small Middle,118.8,389.7,-11.4,0,16,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/1","Human,Head,274.4,171.6,2,0,4,1","","Open","Human,Neck,270,190.1,-4.5,0,5,1","Human,Body,263,258.5,-3.5,0,6,1","Human,Arm Up,244.8,236.6,7,0,4,1","Human,Arm Low,274.8,255.4,93.5,0,3,1","Human,Open,303.6,242.6,108.4,0,1,1","Human,Arm Up,296.9,244.3,11,1,21,1","Human,Arm Low,303,277.2,6.5,0,20,1","Human,Fist Back,309.8,307.5,5.5,0,20,1","Human,Leg Up,261.4,329.1,23.6,0,7,1","Human,Leg Low,267.9,374.7,-15,0,8,1","Human,Foot,263.3,422.2,-17.5,0,9,1","Human,Leg Up,281.2,326.1,40,0,17,1","","","Base Main,309,102,-68.8,0,2,1","Base Sub,363,312.3,97.5,0,23,1","","","","","","Horse,Head,420.1,279.5,4.2,0,7,1","","","Horse,Neck,374.4,301.5,20.5,0,10,1","Horse,Body,259.8,372.9,-1.5,0,13,1","Horse,R Arm Up,347.4,419,29.5,0,13,1","Horse,R Arm Low,369.8,482,17,0,14,1","Horse,R Hand,385.4,521,-1.8,0,4,1","Horse,L Arm Up,348.1,402,-6.3,0,15,1","Horse,L Arm Low,339.1,453.6,-18.5,0,16,1","Horse,L Hand,341.3,503,-2,0,17,1","Horse,R Leg Up,175.6,412.1,13,0,4,1","Horse,R Leg Low,181.4,475.5,36,0,5,1","Horse,R Foot,205.4,517,-8,0,4,1","Horse,L Leg Up,185.8,393.6,-3.3,0,15,1","Horse,L Leg Low,165.8,459.1,-0.5,0,17,1","Horse,L Foot,171.4,496.8,-4,0,16,1","","","Horse,R Tail Small Swing,81.2,351.5,-8.7,0,16,0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/2","Human,Head,274.4,170.2,5,0,4,1","","Open","Human,Neck,271,191.1,-7,0,5,1","Human,Body,260,258.5,-3,0,6,1","Human,Arm Up,239.8,236.6,7,0,4,1","Human,Arm Low,269.8,259.4,85.5,0,3,1","Human,Open,298.6,251.6,100.4,0,1,1","Human,Arm Up,293.9,244.3,13.5,1,21,1","Human,Arm Low,301.5,277.2,14,0,20,1","Human,Fist Back,308.8,307.5,8,0,20,1","Human,Leg Up,259.4,327.1,30.1,0,7,1","Human,Leg Low,265.4,371.7,-20.5,0,8,1","Human,Foot,256.3,416.7,-21.5,0,9,1","Human,Leg Up,278.2,326.1,42.5,0,17,1","","","Base Main,319.6,98.8,-5.4,0,2,1","Base Sub,362,310.3,104,0,23,1","","","","","","Horse,Head,414.6,274.5,13.7,0,7,1","","","Horse,Neck,368.9,303,25,0,10,1","Horse,Body,256.8,372.9,-0.5,0,13,1","Horse,R Arm Up,344.4,419,23,0,13,1","Horse,R Arm Low,353.3,479.5,-10.9,0,14,1","Horse,R Hand,357.9,521,-1.8,0,4,1","Horse,L Arm Up,344.1,400,9.2,0,15,1","Horse,L Arm Low,349.1,451.1,-18.5,0,16,1","Horse,L Hand,342.8,496.5,-12,0,17,1","Horse,R Leg Up,162.1,412.1,3.5,0,4,1","Horse,R Leg Low,160.4,475.5,31,0,5,1","Horse,R Foot,184.4,517,-0.5,0,4,1","Horse,L Leg Up,184.3,386.6,22.7,0,15,1","Horse,L Leg Low,176.8,449.1,-32.8,0,17,1","Horse,L Foot,181.2,481.7,1,0,16,1","","","Horse,Tail Small Middle,97.9,373.2,-32.6,0,16,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/3","Human,Head,277.9,174.6,-3.5,0,4,1","","Open","Human,Neck,272.5,192.6,-7,0,5,1","Human,Body,262,261,-3,0,6,1","Human,Arm Up,239.8,238.6,1.5,0,4,1","Human,Arm Low,269.8,266.4,83,0,3,1","Human,Open,302.6,259.6,98.4,0,1,1","Human,Arm Up,295.9,246.8,13.5,1,21,1","Human,Arm Low,303.5,279.7,14,0,20,1","Human,Fist Back,310.8,310,8,0,20,1","Human,Leg Up,261.9,329.1,31.1,0,7,1","Human,Leg Low,267.4,373.2,-26.7,0,8,1","Human,Foot,255.4,416.2,-28,0,9,1","Human,Leg Up,280.2,328.6,42.5,0,17,1","","","Base Main,333.8,162.8,62.5,0,2,1","Base Sub,364,312.8,104,0,23,1","","","","","","Horse,Head,419.1,285,4.2,0,7,1","","","Horse,Neck,373.9,306.5,20,0,10,1","Horse,Body,256.8,372.9,-0.5,0,13,1","Horse,R Arm Up,334.4,419,-0.5,0,13,1","Horse,R Arm Low,324.8,477,-19.9,0,14,1","Horse,R Hand,322,524.1,-1.8,0,4,1","Horse,L Arm Up,344.1,400,53.9,0,15,1","Horse,L Arm Low,371.2,454.8,-18.5,0,16,1","Horse,L Hand,359,499.2,-45,0,17,1","Horse,R Leg Up,153.6,412.1,-9,0,4,1","Horse,R Leg Low,140.5,476,20,0,5,1","Horse,R Foot,158.8,519,-0.5,0,4,1","Horse,L Leg Up,185.3,388.1,48.8,0,15,1","Horse,L Leg Low,195.7,446.6,-24.3,0,17,1","Horse,L Foot,199.9,481.1,1,0,16,1","","","Horse,Tail Small Middle,109.6,393.6,-10.2,0,16,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/4","Human,Head,277.4,172.2,-6.5,0,4,1","","Open","Human,Neck,271,191.1,-7,0,5,1","Human,Body,263,258.5,-3,0,6,1","Human,Arm Up,239.8,234.6,-5,0,4,1","Human,Arm Low,268.8,261.4,81.5,0,3,1","Human,Open,301.6,256.6,100.9,0,1,1","Human,Arm Up,296.9,244.3,13.5,1,21,1","Human,Arm Low,304.5,277.2,14,0,20,1","Human,Fist Back,311.8,307.5,8,0,20,1","Human,Leg Up,262.4,327.1,30.1,0,7,1","Human,Leg Low,268.4,371.7,-20.5,0,8,1","Human,Foot,259.3,416.7,-21.5,0,9,1","Human,Leg Up,281.2,326.1,42.5,0,17,1","","","Base Main,354,223.2,114.6,0,4,1","Base Sub,365,310.3,104,0,23,1","","","","","","Horse,Head,423.1,291,2.2,0,7,1","","","Horse,Neck,378.9,308,15,0,10,1","Horse,Body,259.8,372.9,0,0,13,1","Horse,R Arm Up,334.9,420,-5.5,0,13,1","Horse,R Arm Low,318.8,477,-19.9,0,14,1","Horse,R Hand,317.5,524.1,-3.3,0,4,1","Horse,L Arm Up,365.8,413.1,39.6,0,15,1","Horse,L Arm Low,395.7,470.3,12.3,0,16,1","Horse,L Hand,411,517.2,-2.2,0,17,1","Horse,R Leg Up,153.1,412.1,-14,0,4,1","Horse,R Leg Low,131,475,9.3,0,5,1","Horse,R Foot,145.8,519,-0.5,0,4,1","Horse,L Leg Up,214.9,391.2,15.3,0,15,1","Horse,L Leg Low,218.4,464.4,15.3,0,17,1","Horse,L Foot,234,504.9,-1.5,0,16,1","","","Horse,L Tail Small Swing,157.8,387.3,-18.6,0,23,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/5","Human,Head,276.4,173.6,-4.5,0,4,1","","Open","Human,Neck,270,190.1,-4.5,0,5,1","Human,Body,263,258.5,-3.5,0,6,1","Human,Arm Up,236.8,234.6,-11.5,0,4,1","Human,Arm Low,260.8,265.4,74.5,0,3,1","Human,Fist,299.6,268.6,93.9,0,1,1","Human,Arm Up,296.9,244.3,11,1,21,1","Human,Arm Low,303,277.2,6.5,0,20,1","Human,Fist Back,309.8,307.5,5.5,0,20,1","Human,Leg Up,261.4,329.1,23.6,0,7,1","Human,Leg Low,267.9,374.7,-15,0,8,1","Human,Foot,263.3,422.2,-17.5,0,9,1","Human,Leg Up,281.2,326.1,40,0,17,1","","","Base Main,354,247.2,107.1,0,4,1","Base Sub,363,312.3,97.5,0,23,1","","","","","","Horse,Head,422.1,279,9.2,0,7,1","","","Horse,Neck,376.9,304,19,0,10,1","Horse,Body,259.8,372.9,2,0,13,1","Horse,R Arm Up,334.9,420,16,0,13,1","Horse,R Arm Low,335.3,476.5,-22.9,0,14,1","Horse,R Hand,330.4,514.7,-19.8,0,4,1","Horse,L Arm Up,365.8,404.1,28.1,0,15,1","Horse,L Arm Low,378.2,461.3,-5.4,0,16,1","Horse,L Hand,385.3,507,-2.2,0,17,1","Horse,R Leg Up,153.1,412.1,-6.5,0,4,1","Horse,R Leg Low,143,475,29.3,0,5,1","Horse,R Foot,156.9,514,-22.6,0,4,1","Horse,L Leg Up,210.4,392.2,6.3,0,15,1","Horse,L Leg Low,201.9,464.4,4,0,17,1","Horse,L Foot,212.6,505.6,-1.5,0,16,1","","","Horse,L Tail Small Swing,155.3,388.3,-36.6,0,16,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
