"ID","Name","Replace","Type","Range","Area of Effect","Duration","Cooldown","Discipline Requirement","Stamina Cost","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Range Effect","Reload Effect","Charge Effect","Authority Bonus","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Effect","Physical Damage Effect","Fire Damage Extra","Poison Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Status","Enemy Status","Effect Sprite","Sound Effect","Sound Distance"
"C1","Establish Control","L75",0,0,120,,,30,,,,,,,,,,50,,,,-20,70,,,,,,,,,,,,,
"C2","Battle Choir","L2",0,0,200,30,250,10,,120,,,,,,,120,,0,0,0,10,0,,,,,,-20,0,4,,,,,
"C3","Rally Signal","L3",0,0,400,60,300,20,,,,,,,,,,,0,0,0,50,0,,,,,,-30,0,0,,,"Warhorn","warhorn_big",350
"C4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C6","Mass","L6",0,0,250,140,900,44,,,,,,,,,,,0,0,0,40,0,,,,,,,0,0,,,,,
"C7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C15","Priority Restoration","L41,L42",0,25,120,1,200,35,,,,,,,,,,,,25,15,15,,,,,,,,,,,,,,
"C16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C17","Vanquish Terror","L16",0,50,60,60,300,0,,,,,,,,,,,0,0,0,,0,,,,,,,0,0,1,,,,
"C18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C25","Direct Command","L1",0,0,150,120,,25,,110,110,110,110,110,,110,110,-30,15,0,0,10,5,,,,,-40,-30,,,,,,,
"C26","Great Maneuver","L21",0,0,200,,,32,,,,,135,,,,,5,,0,0,,5,,,,,,,,,,,,,
"C27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C34","Commander's Duty",,0,0,5,,,,,110,135,125,120,140,,140,115,30,20,,,20,35,,,,,,,,,,,,,
"C35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C36","Command To Obey",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C38","Bestow Duty",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C40","Warhorn Signal",,0,0,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C41","Absolute Command",,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
