"ID","Name","Race","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Charisma","Melee Speciality","Range Speciality","Cavalry Speciality","Social Class","Primary Main Weapon","Primary Sub Weapon","Secondary Main Weapon","Secondary Sub Weapon","Armour","Mount","Skill","Trait","Formation","Sprite ID","Faction"
10000,"Huscarl Captain",1,80,70,70,80,50,55,30,7,4,3,3,"14,4","41,4","1,3","1,3","5,4,1","1,0,1","L26",,"Line,Square","Early Saxon",2
10001,"Thane",1,65,55,60,60,60,65,40,4,4,2,4,"2,4","1,3","1,3","1,3","5,4,1","1,0,1","L1",,"Line","Early Saxon",2
10002,"High Medieval Minor Noble",1,58,52,50,55,55,60,50,4,3,4,4,"2,4","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line","Early Noble",0
10003,"High Medieval Noble",1,60,53,50,55,60,65,60,5,5,5,4,"2,4","1,3","1,3","1,3","5,4,1","2,3,1","L1",,"Line","Early Noble",0
10004,"Knight",1,70,75,70,75,55,55,30,6,3,6,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L21",,"Line,Wedge",,0
10005,"Warlord",1,75,60,60,70,65,70,70,6,6,6,5,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L75",,"Line,Wedge,Diamond",,0
10006,"Count",1,,,,,,,60,5,5,5,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line",,0
10007,"Duke",1,,,,,,,70,5,5,5,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line",,0
10008,"Baron",1,,,,,,,50,5,5,5,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line",,0
10009,"Bishop",1,47,43,40,45,75,75,65,5,3,3,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L6",,"Line,Square",,0
10010,"Priest",1,40,40,40,40,80,70,60,3,1,1,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L6",,"Line,Square",,0
10011,"Captain",1,60,60,55,50,50,60,25,4,4,4,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L1",,"Line",,0
10012,"General",1,55,55,45,60,60,70,50,6,6,6,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L3",,"Line,Circle",,0
10013,"Lord",1,50,50,40,60,65,65,60,5,5,5,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L50",,"Line,Box",,0
10014,"Royalty",1,,,,,65,65,70,5,5,5,5,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L75",,"Line,Box,Square",,0
10015,"Commander",1,,,,,70,75,60,7,7,7,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L3",,"Line,Box,Square,Diamond",,0
10016,"Hero",1,90,85,85,95,60,80,90,7,6,6,6,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L52",,"Line,Wedge,Champion",,0
10017,"Champion",1,90,80,80,100,,,75,7,4,5,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L18,L19",,"Wedge,Champion,Diamond",,0
10018,"Warrior",1,,,,,,,25,5,3,4,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line,Wedge",,0
10019,"Guard",1,55,60,65,65,40,40,30,4,4,3,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line,Box,Square",,0
10020,"Admiral",1,,,,,,,40,6,7,2,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10021,"Mercenary Captain",1,60,65,60,60,50,70,35,5,6,3,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L21",,"Line,Box,Square,Dots",,0
10022,"Mercenary",1,55,60,65,55,45,60,25,3,3,2,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line",,0
10023,"Citizen",1,30,35,32,38,35,35,20,2,2,1,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10024,"Slave",1,25,30,30,30,30,30,10,2,1,0,0,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L18",,,,0
10025,"Mayor",1,,,,,,,40,3,3,1,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L19",,"Line",,0
10026,"Slave Master",1,,,,,40,45,35,4,2,1,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L21",,"Line",,0
10027,"Logistic Expert",1,,,,,,,30,1,3,3,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L21,L32",,"Line,Bar,Circle,Square",,0
10028,"Combat Expert",1,,,,,,,30,4,1,2,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line,Wedge,Bar",,0
