"ID","Name","Range","Area of Effect","Receiver","Duration","Cooldown","Discipline Requirement","Stamina Cost","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Range Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Effect","Physical Damage Effect","Fire Damage Extra","Poison Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Status","Enemy Status","Action","Effect Sprite","Sound Effect","Sound Distance","AI Use Condition","AI Use Restriction","Type"
"L1","Inspire Loyalty",0,100,0,60,120,25,10,,,,,,,,,0,0,0,30,15,,,,,,-10,0,0,,,"BuffAlly",,,150,"unit_melee",,"Buff"
"L2","Battle Chant",0,80,0,30,50,10,20,120,,,,,,,120,0,0,0,10,0,,,,,,-20,0,4,,,"Shout",,,150,"unit_melee",,"Buff"
"L3","Rally",0,100,0,60,120,20,10,,,,,,,,,0,0,0,50,0,,,,,,-30,0,0,,,"WarHorn","Sound Burst Small (team)","warhorn_small",250,"troop_melee",,"Buff"
"L4","Entrap",100,50,1,20,80,40,5,80,,,30,,,,70,0,0,0,,0,,,,,,,0,20,,,"DebuffEnemy",,,150,"enemy_near",,"Debuff"
"L5","Lure",100,50,1,15,80,30,5,,,,,,,,,0,0,0,,0,,,,,,,0,15,,,"DebuffEnemy",,,,"enemy_near",,"Debuff"
"L6","Prayer",0,100,0,120,240,46,10,,,,,,,,,0,0,0,35,0,,,,,,,0,0,,,"Prayer",,,100,"enemy_near",,"Buff"
"L7","Misinformation",100,50,1,30,120,60,5,,,,,,,,,0,0,0,-30,-20,,,,,,,0,2,,,"DebuffEnemy",,,,"enemy_near",,"Debuff"
"L8","Incite Panic",70,50,1,15,120,55,5,,,,,,,,,0,0,0,-10,0,,,,,,,0,0,,10,"DebuffEnemy",,,,"enemy_near",,"Debuff"
"L9","Order Disruption",60,30,1,25,120,55,5,,,,,,,,,0,0,0,-40,-30,,,,,,,0,0,,,"DebuffEnemy",,,,"enemy_near",,"Debuff"
"L10","Glorious Presence",0,30,0,120,250,20,2,,,,,,,,,0,0,0,,,,,,,,-100,0,0,,,"BuffSelf",,,,"enemy_near","not_hidden","Buff"
"L11","Terrifying Presence",0,30,0,120,250,10,2,,,,,,,,,0,0,0,,,,,,,,-100,0,10,,,"BuffSelf",,,,"enemy_near","not_hidden","Buff"
"L12","Majestic Presence",0,30,0,60,250,30,2,,,,,,,,,0,0,0,,15,,,,,,-100,0,0,,,"BuffSelf",,,,"enemy_near","not_hidden","Buff"
"L13","Godly Presence",0,100,0,60,250,0,2,,,,,,,,,0,0,0,,40,,,,,,-200,0,0,1,,"BuffSelf",,,,"enemy_near","not_hidden","Buff"
"L14","Forced March",0,100,0,30,30,57,0,50,60,70,200,40,,,,-20,0,-1,-20,0,,,,,,-50,0,0,,,"BuffAlly",,,,"move_far",,"Buff"
"L15","Death March",0,100,0,30,30,40,0,50,40,60,300,30,,,,-30,-10,-1,-40,0,,,,,,-70,0,0,,,"BuffAlly",,,,"move_far",,"Buff"
"L16","Suppress Fear",30,50,0,60,100,0,5,,,,,,,,,0,0,0,,0,,,,,,,0,0,1,,"BuffAlly",,,,"troop_melee",,"Buff"
"L17","Steady Advance",0,150,0,100,150,45,0,,,,120,,,,,,,,,,,,,,,,,,,,"BuffAlly",,,,"move",,"Buff"
"L18","Determination",0,10,0,60,120,26,1,,110,,110,,,,,5,0,0,10,10,,,,,,,0,0,,,"BuffSelf",,,,"melee",,"Buff"
"L19","Encourage",30,50,0,60,120,24,10,105,105,105,105,105,105,105,105,0,0,0,15,0,,,,,,,0,0,,,"BuffAlly",,,,"enemy_near",,"Buff"
"L20","Ensnare",45,50,1,15,80,38,5,,,,10,80,,,50,0,0,0,,0,,,,,,,0,0,,,"DebuffEnemy",,,,"enemy_near",,"Debuff"
"L21","Make Haste",0,100,0,80,150,31,5,,,,145,,,,,0,0,0,,0,,,,,,,0,0,,,"BuffAlly",,,,"move_far",,"Buff"
"L22","Demoralise",100,50,1,45,120,34,5,,,,,,,,,,0,0,-60,,,,,,,,0,0,,,"DebuffEnemy",,,,"enemy_near",,"Debuff"
"L23","Defiance",0,1,0,,,15,0,125,140,150,,,,,,50,0,0,,0,,,,,,,0,0,,,"BuffSelf",,,,"melee",,"Buff"
"L24","Show Of Force",0,60,0,,,67,0,,,,,,,,,30,0,0,,0,,,,,,,0,1,,,,,,,"troop_melee",,"Buff"
"L25","Tactical Withdrawal",0,50,0,10,30,58,5,60,120,120,150,,,,,10,0,0,0,10,,,,,,0,0,0,,,"BuffAlly",,,,"retreat",,"Buff"
"L26","Defense Focus",0,40,0,30,60,33,5,60,140,140,60,60,60,60,60,50,0,0,,,,,,,,,,,,,"BuffAlly",,,,"troop_melee",,"Buff"
"L27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L28","Offense Focus",0,20,0,30,60,44,5,140,50,50,120,,,,140,-50,0,0,,,,,,,,,,,,,"BuffAlly",,,,"troop_melee",,"Buff"
"L29","Range Focus",0,20,0,30,60,44,5,50,50,50,60,140,140,140,60,-50,0,0,,,,,,,,,,,,,"BuffAlly",,,,"troop_range",,"Buff"
"L30","Ambush Focus",0,20,0,30,60,66,5,,,,20,,,,,70,0,0,,,120,,,,-30,,,,,,"BuffAlly",,,,"idle",,"Buff"
"L31","Breakout",,,0,,,32,10,,,,,,,,,,0,0,,,,,,,,,,,,,"BuffAlly",,,,,,0
"L32","Swift Retreat",0,30,0,15,45,70,10,20,,,170,,,,10,,0,0,,,,,,,,,,,,,"BuffAlly",,,,"retreat",,"Buff"
