"Name","p1_head","p1_eye","p1_mouth","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg","p1_r_foot","p1_l_leg","p1_l_foot","p1_main_weapon","p1_sub_weapon","p1_special_1","p1_special_2","p1_special_3","p1_special_4","p1_special_5","p2_head","p2_eye","p2_mouth","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg","p2_r_foot","p2_l_leg","p2_l_foot","p2_main_weapon","p2_sub_weapon","p2_special_1","p2_special_2","p2_special_3","p2_special_4","p2_special_5","p3_head","p3_eye","p3_mouth","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg","p3_r_foot","p3_l_leg","p3_l_foot","p3_main_weapon","p3_sub_weapon","p3_special_1","p3_special_2","p3_special_3","p3_special_4","p3_special_5","p4_head","p4_eye","p4_mouth","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg","p4_r_foot","p4_l_leg","p4_l_foot","p4_main_weapon","p4_sub_weapon","p4_special_1","p4_special_2","p4_special_3","p4_special_4","p4_special_5","effect_1","effect_2","effect_3","effect_4","dmg_effect_1","dmg_effect_2","dmg_effect_3","dmg_effect_4","size","frame_property","animation_property"
"Taillefer&Horse_1hand_Idle/0","Human,Head,99.5,54.0,1.0,0.0,5.0,1.0","1.0","Open","Human,Body,101.0,82.5,0.0,0.0,6.0,1.0","Human,Arm Up,96.0,77.5,40.1,0.0,4.0,1.0","Human,Arm Low,102.0,79.0,115.1,0.0,3.0,1.0","Human,Fist,110.0,75.0,116.6,0.0,1.0,1.0","Human,Arm Up,110.5,80.0,4.4,0.0,13.0,1.0","Human,Arm Low,112.5,88.0,21.0,0.0,12.0,1.0","Human,Fist,114.5,93.5,2.9,0.0,11.0,1.0","Human,Leg,98.0,98.0,11.1,0.0,7.0,1.0","Human,Foot,99.0,111.5,-4.3,0.0,8.0,1.0","Human,Leg,110.0,98.5,0.0,0.0,9.0,1.0","Human,Foot,111.0,111.5,0.0,0.0,10.0,1.0","Base Main,113.0,45.5,174.2,0.0,2.0,1.0","Base Sub,130.0,92.5,96.0,0.0,16.0,1.0","0","0","0","0","0","Horse,Head,147.5,78.0,-2.0,0.0,3.0,1.0","1.0","1.0","Horse,Body,101.5,109.5,0.5,0.0,9.0,1.0","Horse,R Arm Up,122.0,132.5,0.5,0.0,9.0,1.0","Horse,R Arm Low,120.0,147.5,6.0,0.0,8.0,1.0","Horse,R Hand,123.0,158.0,-12.0,0.0,0.0,1.0","Horse,L Arm Up,130.5,120.0,-2.0,0.0,10.0,1.0","Horse,L Arm Low,130.0,138.0,-6.5,0.0,10.0,1.0","Horse,L Hand,132.5,150.5,-5.5,0.0,13.0,1.0","Horse,R Leg,71.5,127.0,-3.0,0.0,0.0,1.0","Horse,R Foot,70.5,151.5,-2.0,0.0,0.0,1.0","Horse,L Leg,90.0,119.5,-1.0,0.0,11.0,1.0","Horse,L Foot,89.0,144.5,0.0,0.0,12.0,1.0","0","0","Horse,Neck,134.0,92.0,19.5,0.0,6.0,1.0","Horse,Tail Small Middle,57.5,111.0,0.0,0.0,12.0,1.0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","","play_time_mod_1.5,p1_fix_main_weapon"
"Taillefer&Horse_1hand_Idle/1","Human,Head,101.0,53.5,0.0,0.0,5.0,1.0","1.0","Open","Human,Body,102.5,81.5,0.0,0.0,6.0,1.0","Human,Arm Up,98.5,76.5,57.2,0.0,4.0,1.0","Human,Arm Low,104.5,79.0,98.6,0.0,3.0,1.0","Human,Fist,111.0,77.0,102.9,0.0,1.0,1.0","Human,Arm Up,112.5,80.0,23.3,0.0,13.0,1.0","Human,Arm Low,116.0,87.0,21.0,0.0,12.0,1.0","Human,Fist,119.0,92.5,2.9,0.0,11.0,1.0","Human,Leg,98.5,97.5,12.3,0.0,7.0,1.0","Human,Foot,98.5,109.5,-12.3,0.0,8.0,1.0","Human,Leg,110.5,96.0,9.5,0.0,9.0,1.0","Human,Foot,111.5,109.0,0.0,0.0,10.0,1.0","Base Main,108.5,35.0,-76.1,0.0,2.0,1.0","Base Sub,134.0,87.5,109.6,0.0,16.0,1.0","0","0","0","0","0","Horse,Head,150.5,80.0,-8.0,0.0,3.0,1.0","1.0","1.0","Horse,Body,101.5,109.5,-4.5,0.0,9.0,1.0","Horse,R Arm Up,122.0,132.5,7.5,0.0,9.0,1.0","Horse,R Arm Low,121.5,147.5,-7.5,0.0,8.0,1.0","Horse,R Hand,122.5,157.0,-11.0,0.0,0.0,1.0","Horse,L Arm Up,130.5,120.0,-2.0,0.0,10.0,1.0","Horse,L Arm Low,130.0,138.0,-6.5,0.0,10.0,1.0","Horse,L Hand,132.5,150.5,-5.5,0.0,13.0,1.0","Horse,R Leg,71.5,127.0,-3.0,0.0,0.0,1.0","Horse,R Foot,70.5,151.5,-2.0,0.0,0.0,1.0","Horse,L Leg,92.5,119.5,-5.0,0.0,11.0,1.0","Horse,L Foot,89.0,143.5,-5.5,0.0,12.0,1.0","0","0","Horse,Neck,137.0,93.5,12.0,0.0,6.0,1.0","Horse,Tail Small Middle,58.5,107.5,-6.0,0.0,12.0,1.0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","","play_time_mod_1.5,p1_fix_main_weapon"
"Taillefer&Horse_1hand_Idle/2","Human,Head,102.5,51.0,-2.5,0.0,5.0,1.0","1.0","Open","Human,Body,104.0,81.5,0.0,0.0,6.0,1.0","Human,Arm Up,98.0,76.5,38.4,0.0,4.0,1.0","Human,Arm Low,103.0,80.5,88.8,0.0,3.0,1.0","Human,Fist,110.0,82.0,0.0,0.0,1.0,1.0","Human,Arm Up,114.5,79.0,29.0,0.0,13.0,1.0","Human,Arm Low,118.5,86.0,31.8,0.0,12.0,1.0","Human,Fist,121.5,89.5,27.6,0.0,11.0,1.0","Human,Leg,101.0,97.5,14.2,0.0,7.0,1.0","Human,Foot,101.0,108.0,-12.3,0.0,8.0,1.0","Human,Leg,110.5,96.0,9.5,0.0,9.0,1.0","Human,Foot,111.5,109.0,-5.0,0.0,10.0,1.0","Base Main,116.0,55.0,51.9,0.0,2.0,1.0","Base Sub,135.5,83.0,118.1,0.0,16.0,1.0","0","0","0","0","0","Horse,Head,150.5,81.5,-11.5,0.0,3.0,1.0","1.0","1.0","Horse,Body,101.5,109.5,-6.0,0.0,9.0,1.0","Horse,R Arm Up,122.0,131.0,15.0,0.0,9.0,1.0","Horse,R Arm Low,121.5,147.5,-13.0,0.0,8.0,1.0","Horse,R Hand,121.0,157.0,-15.0,0.0,0.0,1.0","Horse,L Arm Up,129.0,120.0,12.0,0.0,10.0,1.0","Horse,L Arm Low,130.0,138.0,1.0,0.0,10.0,1.0","Horse,L Hand,132.5,150.5,-8.5,0.0,13.0,1.0","Horse,R Leg,71.5,127.0,-5.5,0.0,0.0,1.0","Horse,R Foot,69.0,151.5,-2.0,0.0,0.0,1.0","Horse,L Leg,92.5,119.5,-5.0,0.0,11.0,1.0","Horse,L Foot,89.0,143.5,-5.5,0.0,12.0,1.0","0","0","Horse,Neck,137.5,95.5,8.5,0.0,6.0,1.0","Horse,Tail Small Middle,59.5,105.0,-9.5,0.0,12.0,1.0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","","play_time_mod_1.5,p1_fix_main_weapon"
"Taillefer&Horse_1hand_Idle/3","Human,Head,102.5,54.0,-2.0,0.0,5.0,1.0","1.0","Open","Human,Body,104.0,82.0,0.0,0.0,6.0,1.0","Human,Arm Up,95.5,78.0,23.5,0.0,4.0,1.0","Human,Arm Low,99.5,81.5,102.8,0.0,3.0,1.0","Human,Fist,107.5,79.5,108.0,0.0,1.0,1.0","Human,Arm Up,114.0,80.5,23.3,0.0,13.0,1.0","Human,Arm Low,117.5,87.5,21.0,0.0,12.0,1.0","Human,Fist,120.5,93.0,2.9,0.0,11.0,1.0","Human,Leg,98.5,97.5,12.3,0.0,7.0,1.0","Human,Foot,98.5,109.5,-12.3,0.0,8.0,1.0","Human,Leg,110.5,96.0,9.5,0.0,9.0,1.0","Human,Foot,111.5,109.0,0.0,0.0,10.0,1.0","Base Main,123.0,69.0,116.6,0.0,2.0,1.0","Base Sub,135.5,88.0,109.6,0.0,16.0,1.0","0","0","0","0","0","Horse,Head,150.5,80.0,-8.0,0.0,3.0,1.0","1.0","1.0","Horse,Body,101.5,109.5,-4.5,0.0,9.0,1.0","Horse,R Arm Up,122.0,132.5,7.5,0.0,9.0,1.0","Horse,R Arm Low,121.5,147.5,-7.5,0.0,8.0,1.0","Horse,R Hand,122.5,157.0,-11.0,0.0,0.0,1.0","Horse,L Arm Up,130.5,120.0,-2.0,0.0,10.0,1.0","Horse,L Arm Low,130.0,138.0,-6.5,0.0,10.0,1.0","Horse,L Hand,132.5,150.5,-5.5,0.0,13.0,1.0","Horse,R Leg,71.5,127.0,-3.0,0.0,0.0,1.0","Horse,R Foot,70.5,151.5,-2.0,0.0,0.0,1.0","Horse,L Leg,92.5,119.5,-5.0,0.0,11.0,1.0","Horse,L Foot,89.0,143.5,-5.5,0.0,12.0,1.0","0","0","Horse,Neck,137.0,93.5,12.0,0.0,6.0,1.0","Horse,Tail Small Middle,58.5,107.5,-6.0,0.0,12.0,1.0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","","play_time_mod_1.5,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/0","Human,Head,103.0,55.5,1.0,0.0,5.0,1.0","1.0","Open","Human,Body,104.5,84.0,0.0,0.0,6.0,1.0","Human,Arm Up,99.5,78.0,49.1,0.0,4.0,1.0","Human,Arm Low,105.5,80.5,120.6,0.0,3.0,1.0","Human,Fist,113.5,76.5,116.6,0.0,1.0,1.0","Human,Arm Up,114.0,81.5,4.4,0.0,13.0,1.0","Human,Arm Low,116.0,89.5,21.0,0.0,12.0,1.0","Human,Fist,118.0,95.0,2.9,0.0,11.0,1.0","Human,Leg,99.5,98.0,34.6,0.0,7.0,1.0","Human,Foot,102.5,109.0,-0.8,0.0,8.0,1.0","Human,Leg,110.0,117.5,0.0,0.0,9.0,1.0","Human,Foot,123.5,121.0,0.0,0.0,10.0,1.0","Base Main,107.0,53.5,311.2,0.0,2.0,1.0","Base Sub,133.5,94.0,96.0,0.0,16.0,1.0","0","0","0","0","0","Horse,Head,149.0,77.5,-2.0,0.0,3.0,1.0","1.0","1.0","Horse,Body,100.5,109.0,0.0,0.0,9.0,1.0","Horse,R Arm Up,125.0,132.0,26.6,0.0,5.0,1.0","Horse,R Arm Low,127.5,143.5,-10.7,0.0,8.0,1.0","Horse,R Hand,127.0,155.0,-16.9,0.0,7.0,1.0","Horse,L Arm Up,128.0,125.0,0.0,0.0,10.0,1.0","Horse,L Arm Low,125.0,136.0,-10.3,0.0,10.0,1.0","Horse,L Hand,125.5,147.0,0.0,0.0,11.0,1.0","Horse,R Leg,75.5,126.0,11.9,0.0,6.0,1.0","Horse,R Foot,74.5,149.0,-11.0,0.0,6.0,1.0","Horse,L Leg,88.0,118.5,-18.9,0.0,11.0,1.0","Horse,L Foot,82.5,136.0,-30.3,0.0,15.0,1.0","0","0","Horse,Neck,133.0,93.0,17.5,0.0,6.0,1.0","Horse,Tail Small Middle,57.5,111.0,0.0,0.0,12.0,1.0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/1","Human,Head,102.5,55.0,0.0,0.0,5.0,1.0","1.0","Open","Human,Body,104.0,83.0,0.0,0.0,6.0,1.0","Human,Arm Up,100.0,78.0,57.2,0.0,4.0,1.0","Human,Arm Low,106.0,80.5,98.6,0.0,3.0,1.0","Human,Fist,112.5,78.5,102.9,0.0,1.0,1.0","Human,Arm Up,114.0,81.5,23.3,0.0,13.0,1.0","Human,Arm Low,117.5,88.5,21.0,0.0,12.0,1.0","Human,Fist,120.5,94.0,2.9,0.0,11.0,1.0","Human,Leg,99.5,97.0,26.1,0.0,7.0,1.0","Human,Foot,102.0,109.0,-6.3,0.0,8.0,1.0","Human,Leg,110.0,117.5,0.0,0.0,9.0,1.0","Human,Foot,123.5,121.0,0.0,0.0,10.0,1.0","Base Main,105.0,38.5,271.6,0.0,2.0,1.0","Base Sub,135.5,89.0,109.6,0.0,16.0,1.0","0","0","0","0","0","Horse,Head,150.0,77.5,-5.0,0.0,3.0,1.0","1.0","1.0","Horse,Body,101.5,108.0,-1.5,0.0,9.0,1.0","Horse,R Arm Up,127.5,133.0,26.6,0.0,5.0,1.0","Horse,R Arm Low,133.0,147.0,13.2,0.0,8.0,1.0","Horse,R Hand,136.5,157.0,-10.5,0.0,7.0,1.0","Horse,L Arm Up,126.0,125.0,-15.3,0.0,10.0,1.0","Horse,L Arm Low,120.0,136.5,-34.5,0.0,10.0,1.0","Horse,L Hand,119.5,146.0,-13.2,0.0,11.0,1.0","Horse,R Leg,80.5,125.5,21.5,0.0,9.0,1.0","Horse,R Foot,85.0,149.5,-0.2,0.0,5.0,1.0","Horse,L Leg,88.0,118.5,-18.9,0.0,11.0,1.0","Horse,L Foot,82.5,136.0,-30.3,0.0,19.0,1.0","0","0","Horse,Neck,134.0,93.0,15.5,0.0,6.0,1.0","Horse,R Tail Small Swing,53.0,101.0,0.0,0.0,12.0,1.0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/2","Human,Head,102.5,54.0,1.0,0.0,5.0,1.0","1.0","Open","Human,Body,104.0,84.5,0.0,0.0,6.0,1.0","Human,Arm Up,98.0,78.0,47.9,0.0,4.0,1.0","Human,Arm Low,103.0,80.5,95.3,0.0,3.0,1.0","Human,Fist,110.0,79.0,5.5,0.0,1.0,1.0","Human,Arm Up,114.5,82.0,29.0,0.0,13.0,1.0","Human,Arm Low,118.5,89.0,31.8,0.0,12.0,1.0","Human,Fist,121.5,92.5,27.6,0.0,11.0,1.0","Human,Leg,99.5,96.0,34.6,0.0,7.0,1.0","Human,Foot,101.0,108.0,-12.1,0.0,8.0,1.0","Human,Leg,111.5,116.0,0.0,0.0,9.0,1.0","Human,Foot,125.0,119.5,0.0,0.0,10.0,1.0","Base Main,109.5,24.5,199.1,0.0,2.0,1.0","Base Sub,135.5,86.0,118.1,0.0,16.0,1.0","0","0","0","0","0","Horse,Head,150.0,77.5,-7.0,0.0,3.0,1.0","1.0","1.0","Horse,Body,101.5,108.0,-1.5,0.0,9.0,1.0","Horse,R Arm Up,127.5,133.0,21.1,0.0,5.0,1.0","Horse,R Arm Low,128.5,147.0,-14.3,0.0,8.0,1.0","Horse,R Hand,128.0,157.0,-22.0,0.0,7.0,1.0","Horse,L Arm Up,128.0,125.0,0.0,0.0,10.0,1.0","Horse,L Arm Low,125.0,136.0,-10.3,0.0,10.0,1.0","Horse,L Hand,125.5,147.0,0.0,0.0,11.0,1.0","Horse,R Leg,77.5,125.5,14.0,0.0,9.0,1.0","Horse,R Foot,78.5,149.5,-7.2,0.0,5.0,1.0","Horse,L Leg,88.0,118.5,-9.4,0.0,11.0,1.0","Horse,L Foot,85.5,137.0,-16.8,0.0,19.0,1.0","0","0","Horse,Neck,134.0,93.0,15.5,0.0,6.0,1.0","Horse,R Tail Small Swing,59.5,104.0,16.5,0.0,12.0,1.0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/3","Human,Head,102.5,54.0,-2.5,0.0,5.0,1.0","1.0","Open","Human,Body,104.0,84.5,0.0,0.0,6.0,1.0","Human,Arm Up,98.0,79.5,38.4,0.0,4.0,1.0","Human,Arm Low,103.0,83.5,88.8,0.0,3.0,1.0","Human,Fist,110.0,85.0,0.0,0.0,1.0,1.0","Human,Arm Up,114.5,82.0,29.0,0.0,13.0,1.0","Human,Arm Low,118.5,89.0,31.8,0.0,12.0,1.0","Human,Fist,121.5,92.5,27.6,0.0,11.0,1.0","Human,Leg,99.5,97.0,26.1,0.0,7.0,1.0","Human,Foot,102.0,109.0,-6.3,0.0,8.0,1.0","Human,Leg,110.0,117.5,0.0,0.0,9.0,1.0","Human,Foot,123.5,121.0,0.0,0.0,10.0,1.0","Base Main,116.5,37.5,169.4,0.0,2.0,1.0","Base Sub,135.5,86.0,118.1,0.0,16.0,1.0","0","0","0","0","0","Horse,Head,149.0,77.5,-7.0,0.0,3.0,1.0","1.0","1.0","Horse,Body,101.5,109.5,0.0,0.0,9.0,1.0","Horse,R Arm Up,120.0,135.5,0.0,0.0,9.0,1.0","Horse,R Arm Low,117.5,149.0,0.0,0.0,8.0,1.0","Horse,R Hand,120.5,159.0,0.0,0.0,7.0,1.0","Horse,L Arm Up,131.0,123.5,42.7,0.0,10.0,1.0","Horse,L Arm Low,137.0,133.0,11.7,0.0,10.0,1.0","Horse,L Hand,139.0,143.5,-36.2,0.0,11.0,1.0","Horse,R Leg,73.5,125.0,0.0,0.0,6.0,1.0","Horse,R Foot,72.5,149.5,0.0,0.0,6.0,1.0","Horse,L Leg,84.0,114.0,54.5,0.0,11.0,1.0","Horse,L Foot,94.0,135.0,-13.6,0.0,16.0,1.0","0","0","Horse,Neck,133.0,93.0,17.5,0.0,6.0,1.0","Horse,Tail Small Middle,57.5,111.0,0.0,0.0,12.0,1.0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/4","Human,Head,103.0,53.0,-4.0,0.0,5.0,1.0","1","1","Human,Body,104.0,83.5,0.0,0.0,6.0,1.0","Human,Arm Up,98.0,79.5,24.4,0.0,4.0,1.0","Human,Arm Low,103.0,83.5,98.8,0.0,3.0,1.0","Human,Fist,110.0,81.5,9.5,0.0,1.0,1.0","Human,Arm Up,114.5,82.0,29.0,0.0,13.0,1.0","Human,Arm Low,118.5,89.0,31.8,0.0,12.0,1.0","Human,Fist,121.5,92.5,27.6,0.0,11.0,1.0","Human,Leg,99.5,98.0,34.6,0.0,7.0,1.0","Human,Foot,102.5,109.0,-0.8,0.0,8.0,1.0","Human,Leg,110.0,117.5,0.0,0.0,9.0,1.0","Human,Foot,123.5,121.0,0.0,0.0,10.0,1.0","Base Main,122.0,53.5,125.9,0.0,2.0,1.0","Base Sub,135.5,86.0,118.1,0.0,16.0,1.0","0","0","0","0","0","Horse,Head,149.0,77.5,-1.0,0.0,3.0,1.0","1","1","Horse,Body,101.5,108.0,0.0,0.0,9.0,1.0","Horse,R Arm Up,117.0,134.0,-6.1,0.0,9.0,1.0","Horse,R Arm Low,113.5,149.0,0.0,0.0,8.0,1.0","Horse,R Hand,117.0,159.0,0.0,0.0,7.0,1.0","Horse,L Arm Up,137.0,127.0,26.9,0.0,10.0,1.0","Horse,L Arm Low,142.5,144.0,10.5,0.0,10.0,1.0","Horse,L Hand,146.0,154.0,-8.5,0.0,11.0,1.0","Horse,R Leg,69.5,123.0,-11.7,0.0,6.0,1.0","Horse,R Foot,63.0,148.5,-7.0,0.0,6.0,1.0","Horse,L Leg,93.0,118.5,30.2,0.0,11.0,1.0","Horse,L Foot,99.0,141.5,-6.3,0.0,13.0,1.0","0","0","Horse,Neck,134.0,93.0,15.5,0.0,6.0,1.0","Horse,L Tail Small Swing,61.5,101.0,0.0,0.0,12.0,1.0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
"Taillefer&Horse_1hand_WalkMove/5","Human,Head,103.0,52.0,-4.0,0.0,5.0,1.0","1","1","Human,Body,104.0,82.0,0.0,0.0,6.0,1.0","Human,Arm Up,98.5,77.0,29.5,0.0,4.0,1.0","Human,Arm Low,102.0,81.5,102.8,0.0,3.0,1.0","Human,Fist,110.0,79.5,108.0,0.0,1.0,1.0","Human,Arm Up,114.0,80.5,23.3,0.0,13.0,1.0","Human,Arm Low,117.5,87.5,21.0,0.0,12.0,1.0","Human,Fist,120.5,93.0,2.9,0.0,11.0,1.0","Human,Leg,99.5,96.0,34.6,0.0,7.0,1.0","Human,Foot,101.0,108.0,-12.1,0.0,8.0,1.0","Human,Leg,111.5,116.0,0.0,0.0,9.0,1.0","Human,Foot,125.0,119.5,0.0,0.0,10.0,1.0","Base Main,125.5,76.5,95.1,0.0,2.0,1.0","Base Sub,135.5,88.0,109.6,0.0,16.0,1.0","0","0","0","0","0","Horse,Head,149.0,77.5,1.0,0.0,3.0,1.0","1","1","Horse,Body,101.5,108.0,-2.0,0.0,9.0,1.0","Horse,R Arm Up,119.0,134.0,9.9,0.0,9.0,1.0","Horse,R Arm Low,119.0,149.0,5.0,0.0,8.0,1.0","Horse,R Hand,122.0,160.5,0.0,0.0,7.0,1.0","Horse,L Arm Up,134.0,125.0,12.9,0.0,10.0,1.0","Horse,L Arm Low,134.5,141.5,-14.0,0.0,10.0,1.0","Horse,L Hand,134.0,153.5,-20.5,0.0,11.0,1.0","Horse,R Leg,72.0,123.0,-5.7,0.0,6.0,1.0","Horse,R Foot,69.0,148.5,-4.5,0.0,6.0,1.0","Horse,L Leg,91.0,118.5,18.7,0.0,11.0,1.0","Horse,L Foot,92.5,141.5,-18.3,0.0,13.0,1.0","0","0","Horse,Neck,134.0,93.0,15.5,0.0,6.0,1.0","Horse,L Tail Small Swing,67.5,101.0,16.0,0.0,12.0,1.0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","","play_time_mod_1.4,p1_fix_main_weapon"
