"ID","Name","Tag"
0,"All Factions","All"
1,"Duchy of Normandy","European"
2,"Saxon England","European"
3,"New Kingdom","Middle Eastern"
4,"Canaan Alliance","Middle Eastern"
5,"Ottoman Empire","Anatolian"
6,"Kingdom of Hungary","European"
7,"Kingdom of Poland","European"
8,"Papal State","European"
9,"Holy Roman Empire","European"
10,"Kingdom of Croatia","European"
11,"Lands of the Bohemian Crown","European"
12,"Duchy of Brittany","European"
13,"Kingdom of France","European"
14,"Kingdom of Norway","European"
15,"European Mercenary","European"
16,"Sea Peoples","Anatolian"
17,"Libu","Middle Eastern"
18,"Hittite Empire ","Anatolian"
