"ID","p1_skin","p1_face","p1_hair","p1_eyebrow","p1_eye","p1_beard","p1_mouth","p1_head","p1_neck","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg_up","p1_r_leg_low","p1_l_leg_up","p1_l_leg_low","p1_r_foot","p1_l_foot","p1_special","p1_primary_main_weapon","p1_primary_sub_weapon","p1_secondary_main_weapon","p1_secondary_sub_weapon","p2_skin","p2_face","p2_hair","p2_eyebrow","p2_eye","p2_beard","p2_mouth","p2_head","p2_neck","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg_up","p2_r_leg_low","p2_l_leg_up","p2_l_leg_low","p2_r_foot","p2_l_foot","p2_special","p2_primary_main_weapon","p2_primary_sub_weapon","p2_secondary_main_weapon","p2_secondary_sub_weapon","p3_skin","p3_face","p3_hair","p3_eyebrow","p3_eye","p3_beard","p3_mouth","p3_head","p3_neck","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg_up","p3_r_leg_low","p3_l_leg_up","p3_l_leg_low","p3_r_foot","p3_l_foot","p3_special","p3_primary_main_weapon","p3_primary_sub_weapon","p3_secondary_main_weapon","p3_secondary_sub_weapon","p4_skin","p4_face","p4_hair","p4_eyebrow","p4_eye","p4_beard","p4_mouth","p4_head","p4_neck","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg_up","p4_r_leg_low","p4_l_leg_up","p4_l_leg_low","p4_r_foot","p4_l_foot","p4_special","p4_primary_main_weapon","p4_primary_sub_weapon","p4_secondary_main_weapon","p4_secondary_sub_weapon"
"Norman Heavy",,"Greek","Norman,Brown","Normal,Brown","Normal,Brown",,"Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Early","Common","Early","Early","Early","Common","Norman","Norman","Common","Norman",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norman Light",,"Greek","Short,Brown","Normal,Brown","Normal,Brown",,"Normal","European",,"European","European","European","European","European","European",,"European","European","European","European","European","European","European","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"High Medieval European Heavy",,"Greek","Short,Brown","Normal,Brown","Normal,Brown",,"Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Early","Common","Early","Early","Early","Common","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saxon Light",,"Greek","Short,Gold","Normal,Brown","Normal,Brown","Beard,Gold","Normal","European",,"European","European","European","European","European","European",,"European","European","European","European","European","European","European","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saxon Heavy",,"Greek","Short,Gold","Normal,Brown","Normal,Brown","Beard,Gold","Normal","Early","Common","Common","Common","Common","Common","Common","Common","Common","Common","Early","Common","Early","Early","Early","Common","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saxon Veteran",,"Greek","Short,Gold","Normal,Brown","Normal,Brown","Beard,White","Normal","Early","Common","Common","Common","Common","Common","Common","Common","Common","Common","Early","Common","Early","Early","Early","Common","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Monk",,"Greek","Monk,Brown","Normal,Black","Normal,Black",,"Normal","Christian Monk","Common","Christian Monk","Christian Monk","Christian Monk","Christian Monk","Christian Monk","Christian Monk",,"Christian Monk","Christian Monk","Christian Monk","Christian Monk","Early","Early","Christian Monk","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Old Egyptian Melee","Brown","Common","Short,Black","Normal,Black","Normal,Black",,"Normal","Egyptian",,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Khopesh","New Kingdom","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,,,,,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,
"Old Egyptian Range","Brown","Common","Short,Black","Normal,Black","Normal,Black",,"Normal","Egyptian",,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Composite","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,,,,,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,
"Old Egyptian Mercenary Archer","Black","Common","Short,Black","Normal,Black","Normal,Black",,"Normal","Egyptian",,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Composite","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,,,,,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,
