"ID","Name","Grade","Race","Trait","Skill","Cost","Upkeep","Melee Attack Scale","Defence Scale","Ranged Attack Scale","Ammunition Modifier","Charge Skill","Morale","Discipline","Mental","Primary Main Weapon","Primary Sub Weapon","Secondary Main Weapon","Secondary Sub Weapon","Armour","Mount","Sprite ID","Faction","Role","Troop Class","Tag"
"NOR+1","Norman Swordsman",1,1,,,0,0,50,50,0,0,19,100,50,100,"2,3","41,3",,,"5,3",,"Norman Heavy",1,1,"Melee Infantry","Medium Infantry"
"NOR+2","Norman Axeman",1,1,,,0,0,60,40,0,0,19,100,50,100,"13,3","41,3",,,"5,3",,"Norman Heavy",1,1,"Melee Infantry","Medium Infantry"
"NOR+3","Norman Spearman",1,1,,,0,0,45,55,0,0,19,100,50,100,"6,3","41,3",,,"5,3",,"Norman Heavy",1,2,"Melee Infantry","Medium Infantry"
"NOR+4","Norman Archer",1,1,,,0,0,15,25,60,0,17,100,50,100,"25,3",,"5,3",,"21,3",,"Norman Light",1,3,"Range Infantry","Range Infantry"
"NOR+5","Norman Crossbowman",1,1,,,0,0,15,25,60,0,17,100,50,100,"27,3",,"5,3",,"21,3",,"Norman Light",1,3,"Range Infantry","Range Infantry"
"NOR+6","Norman Conroi",2,1,11,35,0,0,37,35,28,0,19,100,60,120,"51,4","39,3","22,3",,"5,4","2,2,14","Norman Heavy",1,"1,4","Melee Cavalry","Heavy Cavalry"
"FR+1","French Swordsman",1,1,,,0,0,50,50,0,0,19,100,50,100,"2,3","41,3",,,"5,3",,"Norman Heavy",13,1,"Melee Infantry","Medium Infantry"
"FR+2","French Axeman",1,1,,,0,0,55,45,0,0,19,100,50,100,"13,3","41,3",,,"5,3",,"Norman Heavy",13,1,"Melee Infantry","Medium Infantry"
"FR+3","French Spearman",1,1,,,0,0,40,60,0,0,19,100,50,100,"6,3","41,3",,,"5,3",,"Norman Heavy",13,2,"Melee Infantry","Medium Infantry"
"FR+4","French Archer",1,1,,,0,0,20,25,55,0,17,100,50,100,"25,3",,"5,3",,"21,3",,"Norman Light",13,3,"Range Infantry","Range Infantry"
"FR+5","French Crossbowman",1,1,,,0,0,20,25,55,0,17,100,50,100,"27,3",,"5,3",,"21,3",,"Norman Light",13,3,"Range Infantry","Range Infantry"
"FR+6","French Knight",2,1,,,0,0,40,40,20,0,19,100,60,120,"51,4","39,3",,,"5,4","2,2,14","Norman Heavy",13,"1,4","Melee Cavalry","Heavy Cavalry"
"FR+7","French Gendarme",2,1,,,0,0,,,,,,,,,,,,,,"2,2,1","Medieval Knight",13,,,"Heavy Cavalry"
"BRT+1","Breton Swordsman",1,1,,,0,0,45,55,0,0,19,100,45,100,"2,3","41,3",,,"5,3",,"Norman Heavy",12,1,"Melee Infantry","Medium Infantry"
"BRT+2","Breton Axeman",1,1,,,0,0,55,45,0,0,19,100,45,100,"13,3","41,3",,,"5,3",,"Norman Heavy",12,1,"Melee Infantry","Medium Infantry"
"BRT+3","Breton Spearman",1,1,,,0,0,40,60,0,0,19,100,45,100,"6,3","41,3",,,"5,3",,"Norman Heavy",12,2,"Melee Infantry","Medium Infantry"
"BRT+4","Breton Archer",1,1,,,0,0,10,25,65,0,17,100,50,100,"25,3",,"5,3",,"21,3",,"Norman Light",12,3,"Range Infantry","Range Infantry"
"BRT+5","Breton Crossbowman",1,1,,,0,0,10,25,65,0,17,100,50,100,"27,3",,"5,3",,"21,3",,"Norman Light",12,3,"Range Infantry","Range Infantry"
"BRT+6","Breton Knight",2,1,11,35,0,0,50,10,50,0.1,19,100,55,120,"51,4","39,3","22,3",,"5,4","2,2,14","Norman Heavy",12,"1,3,4","Melee Cavalry","Heavy Cavalry"
"BRT+7","Red Monk",9,1,"6,25",69,0,0,70,30,0,0,11,135,45,130,"51,4","43,4","2,4",,"5,4","2,2,14","Templar",12,"1,3,4","Melee Cavalry","Heavy Cavalry"
"SAX+1","Saxon Fyrd",1,1,,,0,0,40,50,10,0,19,100,50,100,"6,3",,,,"21,3",,"Saxon Light",2,2,"Melee Infantry","Light Infantry"
"SAX+2","Saxon Axeman",1,1,,,0,0,60,40,0,0,19,100,50,100,"13,3","41,3",,,"5,3",,"Saxon Heavy",2,1,"Melee Infantry","Medium Infantry"
"SAX+3","Saxon Spearman",1,1,,,0,0,45,55,0,0,19,100,50,100,"6,3","41,3",,,"5,3",,"Saxon Heavy",2,2,"Melee Infantry","Medium Infantry"
"SAX+4","Saxon Archer",1,1,,,0,0,20,25,50,0,17,100,50,100,"25,3",,"5,3",,"21,3",,"Saxon Light",2,3,"Range Infantry","Range Infantry"
"SAX+5","Saxon Slinger",1,1,,,0,0,20,25,50,0,17,100,50,100,"20,3",,"5,3",,"21,3",,"Saxon Light",2,3,"Range Infantry","Range Infantry"
"SAX+6","Saxon Skirmisher",1,1,,47,0,0,35,30,30,0,19,100,50,100,"22,3",,"5,3","23,3","21,3",,"Saxon Light",2,3,"Range Infantry","Range Infantry"
"SAX+7","Saxon Mounted Huscarl",2,1,,,0,0,55,45,0,0,19,100,50,100,"2,4","41,4",,,"5,4","2,2,14","Saxon Heavy",2,"1,4","Melee Cavalry","Heavy Cavalry"
"SAX+8","Saxon Huscarl",2,1,34,,0,0,45,55,0,0,19,100,70,150,"14,4","41,4",,,"5,4",,"Saxon Heavy",2,"1,2,4","Melee Infantry","Heavy Infantry"
"SAX+9","Veteran Saxon Huscarl",3,1,34,4,0,0,45,55,0,0,19,100,80,170,"14,4","41,4",,,"5,4",,"Saxon Veteran",2,"1,2,4","Melee Infantry","Heavy Infantry"
"SAX+10","Saxon Huscarl Bodyguard",4,1,34,43,0,0,40,60,0,0,19,100,90,190,"14,5","41,5",,,"5,5",,"Saxon Veteran",2,"1,2,4","Melee Infantry","Heavy Infantry"
"CHR+1","Christian Warrior Monk",8,1,,69,0,0,35,15,20,0,19,100,50,100,"8,3",,,,"5,3",,"Christian Monk",2,5,"Melee Infantry","Light Infantry"
"NK+1","New Kingdom Archer",1,1,,,0,0,17,23,60,0,17,100,40,100,"32,3",,"5,3",,"15,2",,"Old Egyptian Range",3,3,"Range Infantry","Range Infantry"
"NK+2","Egyptian Slinger",1,1,,,0,0,17,23,60,0,17,100,50,100,"20,3",,"5,3",,"15,2",,"Old Egyptian Range",3,3,"Range Infantry","Range Infantry"
"NK+3","New Kingdom Spearman",1,1,,,0,0,50,50,0,0,19,100,50,100,"6,3","47,2",,,"30,3",,"Old Egyptian Melee",3,2,"Melee Infantry","Light Infantry"
"NK+4","New Kingdom Swordsman",2,1,,,0,0,55,45,0,0,19,100,60,100,"2,3","47,2",,,"30,3",,"Old Egyptian Melee",3,1,"Melee Infantry","Light Infantry"
