"ID","Name","Race","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Charisma","Melee Speciality","Range Speciality","Cavalry Speciality","Social Class","Primary Main Weapon","Primary Sub Weapon","Secondary Main Weapon","Secondary Sub Weapon","Armour","Mount","Charge Skill","Skill","Trait","Formation","Sprite ID","Faction","Tag"
"BBL-1","Gilgamesh",1,100,96,98,100,95,97,100,10,8,9,7,,,,,,,21,,,"Line,Diamond","None",0,"Leader"
"NOR-1","William of Normandy",1,78,74,65,70,81,83,92,7,4,7,5,"2,4",,"7,5",,"5,5","2,4,14",21,"L3,L61",,"Line,Wedge","William",1,"Leader"
"NOR-2","William FitzOsbern",1,65,52,63,71,68,71,72,7,7,7,4,"2,4",,,,"5,4","2,3,14",21,"L1",,"Line","Norman Leader",1,"Leader"
"NOR-3","Eustace II",1,67,58,61,69,70,75,75,7,3,8,4,"52,4",,"2,4",,"5,4","2,3,14",21,"L28",,"Line","Eustace",1,"Leader"
"NOR-4","William of Évreux",1,64,59,54,65,75,73,60,6,5,4,4,"2,4",,,,"5,4","2,3,14",21,"L19",,"Line","Norman Leader",1,"Leader"
"NOR-5","Robert of Beaumont",1,60,55,57,52,82,75,70,7,5,5,4,"2,4",,,,"5,4","2,3,14",21,"L28",,"Line","Norman Leader",1,"Leader"
"NOR-6","Geoffrey II",1,41,43,46,59,70,76,53,5,3,6,4,"2,4",,,,"5,4","2,3,14",21,"L18",,"Line","Norman Leader",1,"Leader"
"NOR-7","Walter Giffard",1,81,76,68,72,68,67,77,7,5,7,4,"2,4",,,,"5,4","2,3,14",21,"L29",,"Line","Norman Leader",1,"Leader"
"NOR-8","Hugh of Montfort",1,60,58,48,55,60,58,71,4,2,7,4,"2,4",,,,"5,4","2,3,14",21,"L19",,"Line","Norman Leader",1,"Leader"
"NOR-9","Raoul II of Tosny",1,68,62,60,70,71,72,63,6,3,6,4,"2,4",,,,"5,4","2,3,14",21,"L18",,"Line","Norman Leader",1,"Leader"
"NOR-10","Hugh of Grandmesnil",1,69,67,64,75,61,55,74,6,4,4,4,"2,4",,,,"5,4","2,3,14",21,"L16",,"Line","Norman Leader",1,"Leader"
