"ID","p1_skin","p1_face","p1_hair","p1_eyebrow","p1_eye","p1_beard","p1_mouth","p1_head","p1_neck","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg_low","p1_r_leg_up","p1_l_leg_up","p1_l_leg_low","p1_r_foot","p1_l_foot","p1_special","p1_primary_main_weapon","p1_primary_sub_weapon","p1_secondary_main_weapon","p1_secondary_sub_weapon","p2_skin","p2_face","p2_hair","p2_eyebrow","p2_eye","p2_beard","p2_mouth","p2_head","p2_neck","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg_up","p2_r_leg_low","p2_l_leg_up","p2_l_leg_low","p2_r_foot","p2_l_foot","p2_special","p2_primary_main_weapon","p2_primary_sub_weapon","p2_secondary_main_weapon","p2_secondary_sub_weapon","p3_skin","p3_face","p3_hair","p3_eyebrow","p3_eye","p3_beard","p3_mouth","p3_head","p3_neck","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg_up","p3_r_leg_low","p3_l_leg_up","p3_l_leg_low","p3_r_foot","p3_l_foot","p3_special","p3_primary_main_weapon","p3_primary_sub_weapon","p3_secondary_main_weapon","p3_secondary_sub_weapon","p4_skin","p4_face","p4_hair","p4_eyebrow","p4_eye","p4_beard","p4_mouth","p4_head","p4_neck","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg_up","p4_r_leg_low","p4_l_leg_up","p4_l_leg_low","p4_r_foot","p4_l_foot","p4_special","p4_primary_main_weapon","p4_primary_sub_weapon","p4_secondary_main_weapon","p4_secondary_sub_weapon"
"Gilgamesh","Brown","Hawk","Babylon,Black","Normal,Black","Normal,Black","Babylon,Black","Normal","Gilgamesh",,"Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh","Gilgamesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"William",,"Greek","Short,Brown","Normal,Brown","Normal,Black",,"Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Black",,"Normal,Black",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Odo",,"Greek","Short,Brown","Normal,Brown","Normal,Brown",,"Normal","Early","Common","Odo","Odo","Common","Odo","Odo","Common","Odo","Odo","Odo","Odo","Odo","Odo","Odo","Odo","Common","Common","Common","Common","Black",,"Normal,Black",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norman Leader",,"Greek","Norman,Brown","Normal,Brown","Normal,Brown",,"Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Common","Common","Common","Common","Common","Common","Common","Norman","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breton Leader",,"Greek","Short,Brown","Normal,Brown","Normal,Brown","Mustache,Brown","Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frank Leader",,"Greek","Short,Gold","Normal,Gold","Normal,Brown","Mustache,Gold","Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alan The Red",,"Greek","Short,Brown","Normal,Brown","Normal,Brown","Beard,Red","Normal","Alan The Red","Common","Alan The Red","Common","Alan The Red","Common","Common","Alan The Red","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norman Leader Brown Beard",,"Hawk_Old","Short,Brown","Normal,Brown","Normal,Brown","Beard,Brown","Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turstin",,"Greek","Short,Brown","Normal,Brown","Normal,Brown","Mustache,Brown","Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Common","Common","Common","Common","Common","Common","Papal Banner","Common","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eustace",,"Greek","Short,Brown","Normal,Brown","Normal,Brown","Mustache,Brown","Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Common","Common","Common","Common","Common","Common","Norman Banner","Common","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
