"Name","Area Type","Area Of Effect","Duration","Physical Damage","Fire Damage","Poison Damage","Armour Penetration","Impact","Upgrade","Flammable Level","Wind Dispersion","After Attack Effect","Damage Sprite","Damage Sprite Effect","Damage Impact Effect","Sound Effect","Sound Distance","Properties","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Sight Bonus","Hidden Bonus","Temperature Change","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Poison Resistance Bonus","Status"
"Small Explosion",0,20,0,50,50,0,500,20,,"0","FALSE","Minor Smoke",,,,,70,,,,,,,,,,,,,,,,,,,,,,,,
"Medium Explosion",0,60,0,80,80,0,1000,50,,"0","FALSE","Moderate Smoke",,,,,120,,,,,,,,,,,,,,,,,,,,,,,,
"Large Explosion",0,100,0,150,150,0,2000,100,,"0","FALSE","Thick Smoke",,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
"Huge Explosion",0,200,0,400,400,0,10000,250,,"0","FALSE","Dense Smoke",,,,,400,,,,,,,,,,,,,,,,,,,,,,,,
"Minor Fire",0,,10,0,20,0,250,5,"Moderate Fire","0","TRUE","Minor Smoke",,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
"Moderate Fire",0,,30,0,60,0,500,10,"Major Fire","0","TRUE","Moderate Smoke",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
"Major Fire",0,,100,0,80,0,1000,20,"Catastrophic Fire","0","TRUE","Thick Smoke",,,,,45,,,,,,,,,,,,,,,,,,,,,,,,
"Catastrophic Fire",0,,300,0,100,0,2000,45,,"0","TRUE","Dense Smoke",,,,,70,,,,,,,,,,,,,,,,,,,,,,,,
"Tar",0,,1000,0,0,0,0,0,,100,"FALSE",,,,,,0,,,,,40,,,40,,,,,-20,,,,,-50,,,,,,
"Minor Smoke",1,,10,1,0,,10000,0,"Moderate Smoke","0","TRUE",,,,,,,,,,110,90,90,,,90,,,,,-20,10,,,,,,,,,
"Moderate Smoke",1,,30,1,0,,10000,0,"Thick Smoke","0","TRUE",,,,,,,,,,130,80,80,95,90,80,,,,-2,-50,40,,,,,,,,,
"Thick Smoke",1,,100,1,0,,10000,0,"Dense Smoke","0","TRUE",,,,,,,,,,150,70,65,90,80,60,,,,-6,-80,70,,,,,,,,,
"Dense Smoke",1,,300,1,0,,10000,0,,"0","TRUE",,,,,,,,,,200,60,40,90,65,40,,,,-10,-150,100,,,,,,,,,
"Minor Poison Smoke",1,,10,1,0,,10000,0,"Moderate Poison Smoke","0","TRUE",,,,,,,,,,110,90,90,,,90,,,-5,-5,-20,10,,,,,,,,,
"Moderate Poison Smoke",1,,30,1,0,,10000,0,"Thick Poison Smoke","0","TRUE",,,,,,,,,,130,80,80,95,90,80,,,-10,-15,-50,40,,,,,,,,,
"Thick Poison Smoke",1,,100,1,0,,10000,0,"Dense Poison Smoke","0","TRUE",,,,,,,,,,150,70,65,90,80,60,,,-20,-25,-80,70,,,,,,,,,
"Dense Poison Smoke",1,,300,1,0,,10000,0,,"0","TRUE",,,,,,,,,,200,60,40,90,65,40,,,-35,-30,-150,100,,,,,,,,,
"Minor Sleeping Smoke",1,,10,1,0,,10000,0,"Moderate Sleeping Smoke","0","TRUE",,,,,,,,,,110,90,90,,,90,,,,-20,-20,10,,,,,,,,,10
"Moderate Sleeping Smoke",1,,30,1,0,0,10000,0,"Thick Sleeping Smoke","0","TRUE",,,,,,,,,,130,80,80,95,90,80,,,,-30,-50,40,,,,,,,,,10
"Thick Sleeping Smoke",1,,100,1,0,0,10000,0,"Dense Sleeping Smoke","0","TRUE",,,,,,,,,,150,70,65,90,80,60,,,,-40,-80,70,,,,,,,,,10
"Dense Sleeping Smoke",1,,300,1,0,0,10000,0,,"0","TRUE",,,,,,,,,,200,60,40,90,65,40,,,,-60,-150,100,,,,,,,,,10
"Dust Cloud",1,,60,0,0,0,0,0,,"0","TRUE",,,,,,,,,,130,90,70,90,90,90,,,,-2,-50,50,,,,,,,,,
