"ID","Name","Buff Range","Buff Modifier","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Bonus","Siege Effect","Sight Bonus","Hidden Bonus","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Earth Resistance Bonus","Poison Resistance Bonus","Magic Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Supply Effect","Upkeep Effect","Mental Bonus","Status","Enemy Status","Special Effect","Cost","Element","Type"
1,"Bonus Morale",1,,,,,,,,,0,0,0,10,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
2,"Heroic",1,,,,,,,,,0,0,0,50,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
3,"Varied Training",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,24,,,"Buff"
4,"Zealous",1,,,,,,,,,0,0,0,30,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
5,"Poor Morale",1,,,,,,,,,0,0,0,-20,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff"
6,"Charge Expert",1,,,,,,,,125,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
7,"Charge Defense Expert",1,,,,,,,,,35,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
8,"Weapon Expert",1,,120,115,,,115,115,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
9,"Arc Shot",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,25,,,"Buff"
10,"Agile Aims",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,29,,,"Buff"
11,"Can Shoot While Moving",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,28,,,"Buff"
12,"Concentrated Aims",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
13,"Anti-Infantry",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,26,,,"Buff"
14,"Anti-Cavalry",1,,,,,,,,,20,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,27,,,"Buff"
15,"Anti-Structure",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
16,"Defiant Defense",1,,110,130,130,,,,,0,0,0,25,10,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff"
17,"Battle Master",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,34,,,"Buff"
18,"Absolute Defense",1,,,150,150,,,,,50,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
19,"Patriotic",1,,,,,,,,,0,0,0,30,0,0,,,,0,0,0,0,0,0,0,0,0,,50,0,,0,,,,"Buff"
20,"Siege Expert",1,,,,,,,,,0,0,0,0,0,0,150,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
21,"Famed",2,,,,,,,,,0,0,0,10,10,0,,,,0,0,0,0,0,0,0,0,0,,,0,3,0,,,,"Area Buff"
