"Name","Area Type","Area Of Effect","Duration","Physical Damage","Fire Damage","Poison Damage","Armour Penetration","Impact","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Sight Bonus","Hidden Bonus","Temperature Change","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Poison Resistance Bonus","Status","Upgrade","Flammable Level","Wind Dispersion","Damage Sprite","Damage Sprite Effect","After Reach Effect","End Effect","Sound Effect","Sound Distance","Properties"
"Explosion Small",0,20,0,50,50,0,500,20,,,,,,,,,,,,,,,,,,,,,,,,,"0","FALSE",,,,"Minor Smoke",,70,
"Explosion Medium",0,60,0,80,80,0,1000,50,,,,,,,,,,,,,,,,,,,,,,,,,"0","FALSE",,,,"Moderate Smoke",,120,
"Explosion Large",0,100,0,150,150,0,2000,100,,,,,,,,,,,,,,,,,,,,,,,,,"0","FALSE",,,,"Thick Smoke",,200,
"Explosion Huge",0,200,0,400,400,0,10000,250,,,,,,,,,,,,,,,,,,,,,,,,,"0","FALSE",,,,"Dense Smoke",,400,
"Fire Minor",0,,10,0,20,0,250,5,,,,,,,,,,,,,,,,,,,,,,,,"Fire Moderate","0","TRUE",,,,"Minor Smoke",,20,
"Fire Moderate",0,,30,0,60,0,500,10,,,,,,,,,,,,,,,,,,,,,,,,"Fire Major","0","TRUE",,,,"Moderate Smoke",,30,
"Fire Major",0,,100,0,80,0,1000,20,,,,,,,,,,,,,,,,,,,,,,,,"Fire Catastrophic","0","TRUE",,,,"Thick Smoke",,45,
"Fire Catastrophic",0,,300,0,100,0,2000,45,,,,,,,,,,,,,,,,,,,,,,,,,"0","TRUE",,,,"Dense Smoke",,70,
"Tar",0,,1000,0,0,0,0,0,,,,40,,,40,,,,,-20,,,,,-50,,,,,,,,100,"FALSE",,,,,,0,
"Smoke Minor",1,,10,0,0,0,10000,0,,,110,90,90,,,90,,,,,-20,10,,,,,,,,,,"Smoke Moderate","0","TRUE",,,,,,,
"Smoke Moderate",1,,30,0,0,0,10000,0,,,130,80,80,95,90,80,,,,-2,-50,40,,,,,,,,,,"Smoke Thick","0","TRUE",,,,,,,
"Smoke Thick",1,,100,0,0,0,10000,0,,,150,70,65,90,80,60,,,,-6,-80,70,,,,,,,,,,"Smoke Dense","0","TRUE",,,,,,,
"Smoke Dense",1,,300,0,0,1,10000,0,,,200,60,40,90,65,40,,,,-10,-150,100,,,,,,,,,,,"0","TRUE",,,,,,,
"Poison Smoke Minor",1,,10,0,0,2,10000,0,,,110,90,90,,,90,,,-5,-5,-20,10,,,,,,,,,,"Poison Smoke Moderate","0","TRUE",,,,,,,
"Poison Smoke Moderate",1,,30,0,0,2,10000,0,,,130,80,80,95,90,80,,,-10,-15,-50,40,,,,,,,,,,"Poison Smoke Thick","0","TRUE",,,,,,,
"Poison Smoke Thick",1,,100,0,0,3,10000,0,,,150,70,65,90,80,60,,,-20,-25,-80,70,,,,,,,,,,"Poison Smoke Dense","0","TRUE",,,,,,,
"Poison Smoke Dense",1,,300,0,0,4,10000,0,,,200,60,40,90,65,40,,,-35,-30,-150,100,,,,,,,,,,,"0","TRUE",,,,,,,
"Sleeping Smoke Minor",1,,10,0,0,0,10000,0,,,110,90,90,,,90,,,,-20,-20,10,,,,,,,,,10,"Sleeping Smoke Moderate","0","TRUE",,,,,,,
"Sleeping Smoke Moderate",1,,30,0,0,0,10000,0,,,130,80,80,95,90,80,,,,-30,-50,40,,,,,,,,,10,"Sleeping Smoke Thick","0","TRUE",,,,,,,
"Sleeping Smoke Thick",1,,100,0,0,0,10000,0,,,150,70,65,90,80,60,,,,-40,-80,70,,,,,,,,,10,"Sleeping Smoke Dense","0","TRUE",,,,,,,
"Sleeping Smoke Dense",1,,300,0,0,0,10000,0,,,200,60,40,90,65,40,,,,-60,-150,100,,,,,,,,,10,,"0","TRUE",,,,,,,
"Dust Cloud",1,,60,0,0,0,0,0,,,130,90,70,90,90,90,,,,-2,-50,50,,,,,,,,,,,"0","TRUE",,,,,,,
"Gun Smoke Small",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE",,,,"Smoke Minor",,,
"Gun Smoke Medium",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE",,,,"Smoke Moderate",,,
"Gun Smoke Large",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE",,,,"Smoke Thick",,,
"Gun Smoke Huge",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE",,,,"Smoke Dense",,,
