"ID","Name","Strength Bonus Scale","Dexterity Bonus Scale","Damage Balance","Physical Damage","Fire Damage","Poison Damage","Armour Penetration","Impact","Defence","Charge","Weight","Skill","Trait","Cooldown","Ammunition","Magazine","Shot Number","Range","Cost","Hand","Damage Stat Scaling","Damage Sprite","Travel Speed","Damage Sprite Effect","After Reach Effect","After Attack Effect","Sound Effect","Sound Distance","Bullet Sound Distance","Common","Attack","Replace Sprite","Properties","Type"
1,"Unarmed",5,5,80,1,0,0,10,11,0,0,0,,,0.5,0,0,0,3,0,1,"TRUE","Crush Small (team)",0,,,,,3,,"1hand","Punch",,,"Melee"
2,"Sword",4,6,65,10,0,0,17,8,5,5,5,,,1,0,0,0,10,,1,"TRUE","Slash Medium (team)",0,,,,"swing_flat",7,,"1hand","Slash",,,"Melee"
3,"Greatsword",6,4,50,25,0,0,45,13,3,12,10,24,14,2,0,0,0,17,,2,"TRUE","Slash Big (team)",0,,,,"swing_flat_large",11,,"2hand","Slash",,"hold,power","Melee"
4,"Shortsword",3,7,70,7,0,0,11,5,2,2,2,63,,0.8,0,0,0,9,,1,"TRUE","Slash Small (team)",0,,,,"swing_flat_small",6,,"1hand","Pierce",,,"Melee"
5,"Dagger",2,8,75,5,0,0,60,4,2,1,1,63,,0.5,0,0,0,6,,1,"TRUE","Pierce Small (team)",0,,,,"pierce_small",5,,"1hand","Pierce",,"parry","Melee"
6,"Spear",3,7,65,6,0,0,13,8,4,10,5,,14,1.2,0,0,0,16,,1,"TRUE","Pierce Medium (team)",0,,,,"pierce",7,,"1pole","Pierce",,"hold,chargeblock","Melee"
7,"Club",7,3,40,7,0,0,35,13,5,3,7,,,1.5,0,0,0,10,,1,"TRUE","Crush Medium (team)",0,,,,"swing_bulk",8,,"1hand","Smash",,,"Melee"
8,"Mace",7,3,45,5,0,0,50,16,5,3,9,,,1.5,0,0,0,10,,1,"TRUE","Crush Medium (team)",0,,,,"swing_bulk",8,,"1hand","Smash",,,"Melee"
9,"Great Mace",8,2,35,18,0,0,62,30,4,4,15,66,,3,0,0,0,16,,2,"TRUE","Crush Big (team)",0,,,,"swing_bulk_large",12,,"2pole","Smash",,"hold,power","Melee"
10,"Flail",4,6,45,8,0,0,50,14,2,1,7,,,2.2,0,0,0,12,,1,"TRUE","Crush Medium (team)",0,,,,,8,,"1hand","Smash",,,"Melee"
11,"Hammer",7,3,35,7,0,0,60,15,5,3,11,,,1.5,0,0,0,10,,1,"TRUE","Crush Medium (team)",0,,,,"swing_bulk",10,,"1hand","Smash",,,"Melee"
12,"War Hammer",8,2,25,20,0,0,70,25,4,3,18,66,,3,0,0,0,16,,2,"TRUE","Crush Big (team)",0,,,,"swing_bulk_large",15,,"2pole","Smash",,"hold,power","Melee"
13,"Handaxe",6,4,30,14,0,0,30,9,4,4,7,,,1.3,0,0,0,10,,1,"TRUE","Slash Medium (team)",0,,,,"swing_flat",7,,"1hand","Slash",,,"Melee"
14,"Greataxe",7,3,15,31,0,0,55,14,3,8,12,,13,2.5,0,0,0,16,,2,"TRUE","Slash Big (team)",0,,,,"swing_flat_large",11,,"2pole","Slash",,"hold,power","Melee"
15,"Halberd",5,5,25,24,0,0,60,13,2,20,17,,14,2.6,0,0,0,22,,2,"TRUE","Slash Big (team)",0,,,,,12,,"2pole","Slash",,"hold,chargeblock","Melee"
