"Name","Leader ID","Troop"
"William’s Conrois","L2","6:10/100"
"Raoul’s Conrois","L12","6:5/50"
"Turstin’s Conrois","L17","6:5/50"
"Geoffrey’s Conrois","L18","6:5/50"
"Hugh’s Norman Infantry","L13","1:5/50,3:5/100"
"William d’E.’s Norman Infantries","L6","1:5/50,2:5/100"
"Engenulf’s Norman Infantries","L24","1:5/50,3:5/100"
"Richard’s Norman Infantries","L25","1:5/50,2:5/100"
"Robert B.’s Norman Archers","L7","5:5/50,4:5/50"
"Walter’s Norman Archers","L10","5:5/50,4:5/50"
"Robert M.’s Frankish Cavalries","L19","12:5/50"
"Gilbert’s Frankish Cavalries","L22","12:5/50"
"William M.’s Frankish Infantries","L15","7:2/50,11:5/100"
"Geoffrey II’s Frankish Infantries","L8","7:2/50,10:5/100"
"Eustace II’s Frankish Infantries","L5","12:2/10,9:5/50,8:5/50"
"Hugh’s Frankish Infantries","L11","12:2/10,9:5/50,8:5/50"
"William F.’s Frankish Infantries","L4","12:2/10,9:5/50,8:5/50"
"Odo’s Breton Cavalries","L16","6:2/20, 18:3/30"
"Wadard’s Breton Infantries","L20","1:5/50,15:5/100"
"Vital’s Breton Infantries","L21","1:5/50,14:5/100"
"Alan’s Breton Cavalries","L3","6:2/20, 18:3/30"
"Aimery IV’s Breton Infantries","L9","1:5/50,14:5/100"
"William W.’s Breton Archers","L14","13:5/50,16:5/100"
"Humphrey I’s Breton Archers","L23","13:5/50,17:5/100"
"Taillefer’s Band","L41","3:5/20"
"Norman Noble’s Spearmen","C3","3:10/50"
"Breton Noble’s Spearmen","C4","15:10/50"
"Frankish Noble’s Spearmen","C5","9:10/50"
"Norman Noble’s Swordsmen","C3","1:10/50"
"Breton Noble’s Swordsmen","C4","13:10/50"
"Frankish Noble’s Swordsmen","C5","7:10/50"
"Norman Noble’s Archers","C3","4:10/50"
"Breton Noble’s Archers","C4","10:10/50"
"Frankish Noble’s Archers","C5","16:10/50"
"Norman Noble’s Crossbowmen","C3","5:10/50"
"Breton Noble’s Crossbowmen","C4","17:10/50"
"Frankish Noble’s Crossbowmen","C5","11:10/50"
