"Name","Common","Attack","Properties"
"Unarmed","1hand","Punch",
"Sword","1hand","Slash",
"Greatsword","2hand","Slash","hold,power"
"Shortsword","1hand","Pierce",
"Dagger","1hand","Pierce","parry"
"Spear","1pole","Pierce","hold,holdfront"
"Club","1hand","Smash",
"Mace","1hand","Smash",
"Great Mace","2pole","Smash","hold,power"
"Flail","1hand","Smash",
"Hammer","1hand","Smash",
"War Hammer","2pole","Smash","hold,power"
"Handaxe","1hand","Slash",
"Greataxe","2pole","Slash","hold,power"
"Halberd","2pole","Slash","hold,holdfront"
"Pike","2pole","Pierce","hold,holdfront"
"Glaive","2pole","Slash","hold,power"
"Whip","1hand","Slash",
"Quarterstaff","2pole","Slash","hold,power"
"Sling","1hand","Shoot","cancelable,repeat,timing_2_1"
"Blowgun","1hand","Shoot","cancelable"
"Javelin","1pole","Shoot","cancelable,hold,timing_2_2"
"Throwing Axe","1hand","Shoot","cancelable,hold,timing_2_2"
"Longbow","1hand","Shoot","cancelable,hold,timing_2_2"
"Shortbow","1hand","Shoot","cancelable,hold,timing_2_3"
"Greatbow","1hand","Shoot","cancelable,hold,timing_2_1"
"Light Crossbow","2pole","Shoot","cancelable"
"Heavy Crossbow","2pole","Shoot","cancelable"
"Repeater Crossbow","2pole","Shoot","cancelable"
"Arbalest","2pole","Shoot","cancelable"
"Stone","1hand","Shoot","cancelable,hold,timing_2_2"
"Composite Bow","1hand","Shoot","cancelable,hold,timing_2_3"
"Matchlock Musket","2pole","Shoot","cancelable"
"Arquebus","2pole","Shoot","cancelable"
"Blunderbuss","2pole","Shoot","cancelable"
"Flintlock Musket","2pole","Shoot","cancelable"
"Flintlock Pistol","2pole","Shoot","cancelable"
"Matchlock Pistol","2pole","Shoot","cancelable"
"Kite Shield","shield","Bash","hold,block"
"Buckler","shield","Bash","parry"
"Round Shield","shield","Bash","hold,block"
"Tower Shield","shield","Bash","hold,block"
"Heater Shield","shield","Bash","hold,block"
"Pavise Shield","shield","Bash","hold,block"
"Spiked Shield","shield","Bash","hold,block"
"Aspis Shield","shield","Bash","hold,block"
"Oval Shield","shield","Bash","hold,block"
"Parry Dagger","shield","Slash","parry"
"Parry Club","shield","Smash","parry"
"Barrier Shield","shield","Bash","hold,block"
"Egyptian Shield","shield","Bash","hold,block"
"Long Egyptian Shield","shield","Bash","hold,block"
"Tribal Shield","shield","Bash","hold,block"
