"ID","Troop ID","POS","Leader","Faction","How Many","Angle","Start Health","Start Stamina","Team"
1,"L102","760,450",,1,,90,100,100,1
2,2,"760,451",1,1,20,90,100,100,1
3,1,"760,459",1,1,20,90,100,100,1
4,5,"760,478",1,1,20,90,100,100,1
7,"L26","300,200",,2,,270,100,100,2
8,49,"300,200","7",2,20,270,100,90,2
9,"L27","850,600",7,2,,270,100,90,2
10,26,"850,600",9,2,20,270,100,90,2
11,"L28","600,500",7,2,,270,100,90,2
12,19,"600,501",11,2,100,270,100,90,2
13,"L2","600,600",1,1,,90,100,100,1
14,6,"600,601",13,1,60,90,100,100,1
