"ID","Name","Description","Tag","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10"
1,"Birth of Mother Earth",,,,,,,,,,,,
2,"Dawn of World Conquest",,,,,,,,,,,,
3,"Welcome to The Stone Age","Invention of Stone Tool",,,,,,,,,,,
4,"Tribal “Warfare” ",,,,,,,,,,,,
5,,,,,,,,,,,,,
6,"Ingredient of Society","Agriculture",,,,,,,,,,,
7,,,,,,,,,,,,,
8,"Cradle of Civilisation",,,,,,,,,,,,
9,,,,,,,,,,,,,
10,"The New Era of Metallurgy","Bronze age",,,,,,,,,,,
11,"The First God King",,,,,,,,,,,,
12,,,,,,,,,,,,,
13,"The First Eastern Dragon",,,,,,,,,,,,
14,"Greatness of the Great Ancestor",,,,,,,,,,,,
15,,,,,,,,,,,,,
16,"Battle of Megiddo","The first ever major battle recorded in history.",,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,"Sea Peoples Invasion",,,,,,,,,,,,
20,"End of Bronze Age",,,,,,,,,,,,
21,"Spring and Autumn period",,,,,,,,,,,,
22,"Mastering The Iron",,,,,,,,,,,,
23,,,,,,,,,,,,,
24,"Conquest of The Old World",,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,"Birth of God’s Last Son",,,,,,,,,,,,
28,,,,,,,,,,,,,
29,"Humanity’s Sins",,,,,,,,,,,,
30,,,,,,,,,,,,,
31,"Rise of the Middle Kingdom",,,,,,,,,,,,
32,,,,,,,,,,,,,
33,"Spark of Warfare","Discovery of Gunpowder",,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,"Blue Sky Already Dead, The Yellow Sky Arises",,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,"Pax Romana",,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,"Ruin of Rome",,,,,,,,,,,,
43,"Entering Dark Age",,,,,,,,,,,,
44,,,,,,,,,,,,,
