"ID","Name","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10","Description"
1,"Welcome",,,,,,,,,,,"Welcome to the Lore Book. Here you will find all information about the game concept including the historical/reality context of every concept in the game. The other aspects of the game are shown in more detailed in other sections shown as the bookmarks above."
2,"Main Menu",,,,,,,,,,,
3,"Historical Battle",,,,,,,,,,,
4,"Game Option",,,,,,,,,,,
5,"Custom Battle",,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,"Game Control",,,,,,,,,,,
12,"Game Camera",,,,,,,,,,,
13,"Unit Control",,,,,,,,,,,
14,"Battle UI Overview",,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,"Unit",,,,,,,,,,,
19,"Battalion",,,,,,,,,,,
20,"Squad",,,,,,,,,,,
21,"Unit Statistic",,,,,,,,,,,
22,"Troop Number",,,,,,,,,,,
23,"Stamina",,,,,,,,,,,
24,"Grade",,,,,,,,,,,
25,"Discipline",,,,,,,,,,,
26,"Morale",,,,,,,,,,,
27,"Combat Statistic",,,,,,,,,,,
28,"Skill",,,,,,,,,,,
29,"Trait",,,,,,,,,,,
30,"Status Effect",,,,,,,,,,,
31,"Equipment",,,,,,,,,,,
32,"Leader",,,,,,,,,,,
33,"Role",,,,,,,,,,,
34,"Authority",,,,,,,,,,,
35,"Social Class",,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,"Battle Map",,,,,,,,,,,
39,"Terrain",,,,,,,,,,,
40,,,,,,,,,,,,
41,"Weather",,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,"Command",,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
52,"Custom Development",,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
