"ID","Name","Tag"
1,"Welcome",
2,"Main Menu",
3,"Historical Battle",
4,"Custom Battle",
5,"Game Option",
6,,
7,"History Timeline",
8,,
9,,
10,,
11,"Game Control",
12,"Game Camera",
13,"Unit Control",
14,"Battle UI Overview",
15,,
16,,
17,,
18,,
19,"Units",
20,"Subunit",
21,"Troop Statistic",
22,"Troop Number",
23,"Stamina",
24,"Grade",
25,"Discipline",
26,"Morale",
27,"Combat Statistic",
28,"Skill",
29,"Trait",
30,"Status Effect",
31,"Equipment",
32,"Leader",
33,"Role",
34,"Commander",
35,"Strategist",
36,"General",
37,"Sub-General",
38,"Special",
39,"Authority",
40,"Command",
41,"Social Class",
42,"Battle Map",
43,"Terrain",
44,"Terrain Feature",
45,"Weather",
46,,
47,,
48,,
49,"Command",
50,,
51,,
52,"Custom Development",
53,,
54,,
55,,
56,,
57,,
