"ID","Name","Health","Authority","Melee Command","Range Command","Cavalry Command","Combat","Social Class","Description"
1,"None",100,0,0,0,0,0,0,"No leader"
2,"William the Bastard",100,92,8,4,7,5,5,"William the Bastard, William the Duke of Normandy, William the Conqueror, was the first Norman to rule over England after wrestling the control from the Anglo-Saxon king, Harold Godwinson, in the invasion of England in 1066. From the still young House of Normandy, which ruled over the Normandy region since 911, William was one of the prime contenders whom King Edward the Confessor appoint as his heir. The throne of England is always in his destiny and nothing will stop his rightful conquest.  "
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
