"ID","Name","Colour"
0,"Grassland","(140,173,130)"
1,"Draught","(246,206,95)"
2,"Bushland","(145,186,20)"
3,"Forest","(111,117,88)"
4,"Inland Water","(143,248,237)"
5,"Road","(215,207,134)"
6,"Building","(147,140,136)"
7,"Farm","(255,255,136)"
8,"Muddy Ground","(140,173,130)"
9,"Savanna","(212,182,132)"
10,"Draught","(246,206,95)"
11,"Tropical Shrubland","(247,223,94)"
12,"Jungle","(35,100,80)"
13,"Inland Water","(143,248,237)"
14,"Road","(215,207,134)"
15,"Building","(147,140,136)"
16,"Farm","(82,196,28)"
17,"Muddy Ground","(247,223,94)"
18,"Volcanic Soil","(106,99,72)"
19,"Scorched Land","(187,65,34)"
20,"Volcanic Field","(244,228,179)"
21,"Volcanic Forest","(111,117,88)"
22,"Inland Water","(143,248,237)"
23,"Road","(215,207,134)"
24,"Building","(147,140,136)"
25,"Fertile Farm","(255,255,136)"
26,"Muddy Ground","(106,99,72)"
27,"Desert Plain","(228,210,126)"
28,"Desert Sand","(240,229,176)"
29,"Desert Shrubland","(228,228,126)"
30,"Desert Forest","(228,210,126)"
31,"Desert Water","(143,248,237)"
32,"Sand Road","(217,188,55)"
33,"Desert Dwelling","(200,200,100)"
34,"Desert Farm","(255,255,136)"
35,"Quicksand","(240,229,176)"
36,"Snow","(211,211,211)"
37,"Tundra","(100,100,90)"
38,"Arctic Shrubland","(100,100,90)"
39,"Arctic Forest","(200,200,200)"
40,"Frozen Water","(2,146,193)"
41,"Snow Road","(180,180,180)"
42,"Warm Shelter","(180,180,180)"
43,"Arctic Farm","(100,100,90)"
44,"Ice Ground","(177,207,228)"
45,"Lively Water","(35,255,194)"
46,"Empty Water","(35,255,255)"
47,"Marsh","(24,230,128)"
48,"Swamp","(23,168,147)"
49,"Inland Water","(143,248,237)"
50,"Bridge","(215,207,134)"
51,"Swamp Building","(23,168,147)"
52,"Swamp Farm","(29,160,71)"
53,"Muddy Ground","(24,230,128)"
54,"Deep Water","(63,135,188)"
55,"Ocean","(44,94,131)"
56,"Coral Reef","(44,94,131)"
57,"Underwater Forest","(44,94,131)"
58,"Fresh Water","(35,255,194)"
59,"Bridge","(215,207,134)"
60,"Sunken City","(44,94,131)"
61,"Fishery","(44,94,131)"
62,"Beach","(240,229,176)"
