"ID","Leader ID","POS","Leader","Faction","Troop","Angle","Start Health","Start Stamina","Team"
1,"L2","829,585",,1,"6:10/200",270,100,100,1
2,"L12","829,605",1,1,"6:5/100",270,100,100,1
3,"L17","829,585",1,1,"6:5/100",270,100,100,1
4,"L18","860,585",1,1,"6:5/100",270,100,100,1
5,"L13","859,584",1,1,"1:5/100,3:5/400",270,100,100,1
6,"L6","889,605",1,1,"1:5/100,2:5/400",270,100,100,1
7,"L24","890,600",1,1,"1:5/100,3:5/400",270,100,100,1
8,"L25","845,600",1,1,"1:5/100,2:5/400",270,100,100,1
9,"L7","950,650",1,1,"6:5/100,12:5/200",270,100,100,1
10,"L10","950,660",9,1,"1:5/100,4:5/400",270,100,100,1
11,"L19","950,630",9,1,"1:5/100,12:5/400",270,100,100,1
12,"L22","930,635",9,1,"1:5/100,12:5/400",270,100,100,1
13,"L15","950,600",9,1,"7:5/100,11:5/400",270,100,100,1
14,"L8","950,650",9,1,"7:5/100,10:5/400",270,100,100,1
15,"L5","900,600",9,1,"12:2/2,9:5/200,8:5/200",270,100,100,1
16,"L11","900,650",9,1,"12:2/2,9:5/200,8:5/200",270,100,100,1
17,"L4","900,625",9,1,"12:2/2,9:5/200,8:5/200",270,100,100,1
18,"L16","920,630",1,1,"6:5/100,18:5/200",270,100,100,1
19,"L20","920,600",18,1,"1:5/100,15:5/200",270,100,100,1
20,"L21","920,650",18,1,"1:5/100,14:5/200",270,100,100,1
21,"L3","930,630",18,1,"1:5/100,15:5/200",270,100,100,1
22,"L9","930,590",18,1,"1:5/100,14:5/200",270,100,100,1
23,"L14","930,610",18,1,"13:5/100,16:5/200",270,100,100,1
24,"L23","950,620",18,1,"13:5/100,17:5/200",270,100,100,1
25,"C3","880,600",1,1,"3:10/300",270,100,100,1
26,"C4","950,640",9,1,"15:10/300",270,100,100,1
27,"C5","950,650",18,1,"9:10/300",270,100,100,1
28,"L26","556,300",,2,"27:5/20,26:10/50,28:2/2",180,100,90,2
29,"C1","521,300",28,2,"26:10/100",180,100,90,2
30,"C1","585,300",28,2,"26:10/100",180,100,90,2
31,"L27","500,300",28,2,"27:5/10,26:5/50,28:1/1",180,100,90,2
32,"L28","600,300",28,2,"27:5/10,26:5/50,28:1/1",180,100,90,2
33,"L29","556,270",28,2,"19:10/400,22:10/200",180,100,90,2
34,"C2","521,270",31,2,"19:5/400,23:5/200",180,100,90,2
35,"C2","485,270",31,2,"19:5/400,22:5/200",180,100,90,2
36,"L31","500,270",31,2,"19:5/400,24:5/200",180,100,90,2
37,"L35","470,270",31,2,"19:10/50,24:10/50",180,100,90,2
38,"C2","600,270",32,2,"19:5/400,20:5/200",180,100,90,2
39,"C2","620,270",32,2,"19:5/400,20:5/200",180,100,90,2
40,"C1","622,300",33,2,"19:5/400,20:5/200",180,100,90,2
41,"L32","540,270",32,2,"19:5/100,20:5/200",180,100,90,2
42,"C2","550,270",33,2,"19:5/100:21:5/200",180,100,90,2
43,"L33","560,300",28,2,"29:11/0, 19:5/200",180,100,90,2
44,"C1","490,300",33,2,"26:5/50,21:5/200",180,100,90,2
45,"L34","600,290",32,2,"19:5/400,21:5/200",180,100,90,2
46,"C2","580,270",33,2,"19:5/400,20:5/200",180,100,90,2
47,"C2","520,270",33,2,"19:5/400,20:5/200",180,100,90,2
