"ID","Leader ID","Troop","POS","Leader","Angle","Start Health","Start Stamina","Team"
1,"NOR-1","NOR+5:100/500","760,800",,90,100,100,1
2,"NOR-2","NOR+6:100/500","600,700",1,90,100,100,1
3,"NOR-3","NOR+4:100/500","800,700",,90,100,100,1
4,"NOR-4","NOR+2:100/500","800,800",3,90,100,100,1
5,"NOR-5","NOR+3:50/500","600,700",3,90,100,100,1
6,"NOR-6","NOR+1:50/500","500,700",,90,100,100,1
7,"SAX-1","SAX+8:100/500","500,300",,270,100,100,2
8,"SAX-2","SAX+1:100/500","450,300",7,270,100,100,2
9,"SAX-3","SAX+5:100/500","550,300",,270,100,100,2
10,"SAX-4","SAX+6:100/500","400,300",9,270,100,100,2
11,"SAX-5","SAX+7:50/500","650,300",9,270,100,100,2
12,"SAX-6","SAX+3:50/500","600,300",,270,100,100,2
