"ID","Name","Type","Range","Area of Effect","Duration","Cooldown","Restriction","Condition","Discipline Requirement","Stamina Cost","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Range Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Effect","Physical Damage Effect","Fire Damage Extra","Water Damage Extra","Air Damage Extra","Earth Damage Extra","Poison Damage Extra","Magic Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Status","Enemy Status","Element","Spell","Action","Ruleset"
"L1","Inspire Loyalty",0,0,4,60,300,,,25,,,,,,,,,,0,0,0,30,15,,,,,,,,,,-10,0,0,0,0,0,,"BuffUnit",0
"L2","Battle Chant",0,0,4,30,250,,,10,,120,,,,,,,120,0,0,0,10,0,,,,,,,,,,-20,0,4,0,0,0,,"Shout",0
"L3","Rally",0,0,4,60,300,,,20,,,,,,,,,,0,0,0,50,0,,,,,,,,,,-30,0,0,,0,0,,"BuffUnit",0
"L4","Entrap",1,100,4,20,195,,,40,,80,,,30,,,,70,0,0,0,,0,,,,,,,,,,,0,20,,,0,,"DebuffUnit",0
"L5","Lure",1,100,4,15,195,,,30,,,,,,,,,,0,0,0,,0,,,,,,,,,,,0,15,,,0,,"DebuffUnit",0
"L6","Prayer",0,0,4,120,750,,,46,,,,,,,,,,0,0,0,35,0,,,,,,,,,,,0,0,,,0,,"Prayer",0
"L7","Misinformation",1,100,4,30,600,,,60,,,,,,,,,,0,0,0,-30,-20,,,,,,,,,,,0,2,,,0,,"DebuffUnit",0
"L8","Incite Panic",1,70,4,15,450,,,55,,,,,,,,,,0,0,0,-10,0,,,,,,,,,,,0,0,,11,0,,"DebuffUnit",0
"L9","Order Disruption",1,60,1,25,450,,,55,,,,,,,,,,0,0,0,-40,-30,,,,,,,,,,,0,0,,,0,,"DebuffUnit",0
"L10","Glorious Presence",0,0,1,120,600,,,20,,,,,,,,,,0,0,0,,,,,,,,,,,,-100,0,0,,,,,"BuffSelf",0
"L11","Terrifying Presence",0,0,1,120,600,,,10,,,,,,,,,,0,0,0,,,,,,,,,,,,-100,0,10,,,0,,"BuffSelf",0
"L12","Majestic Presence",0,0,1,60,600,,,30,,,,,,,,,,0,0,0,,15,,,,,,,,,,-100,0,0,,,0,,"BuffSelf",0
"L13","Godly Presence",0,0,1,60,600,,,0,,,,,,,,,,0,0,0,,40,,,,,,,,,,-200,0,0,22,,0,,"BuffSelf",2
"L14","Forced March",0,0,4,30,30,,,57,0,50,60,70,200,40,,,,-20,0,-1,-20,0,,,,,,,,,,-50,0,0,0,,0,,"BuffUnit",0
"L15","Death March",0,0,4,30,30,,,40,0,50,40,60,300,30,,,,-30,-10,-1,-40,0,,,,,,,,,,-70,0,0,0,,0,,"BuffUnit",0
"L16","Suppress Fear",0,30,4,60,300,,,0,,,,,,,,,,0,0,0,,0,,,,,,,,,,,0,0,1,,0,,"BuffUnit",0
"L17","Steady Advance",0,0,4,100,250,,,45,0,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffUnit",0
"L18","Determination",0,0,1,60,300,,,26,,,110,,110,,,,,5,0,0,10,10,,,,,,,,,,,0,0,,,0,,"BuffSelf",0
"L19","Encourage",0,30,4,60,300,,,24,,105,105,105,105,105,105,105,105,0,0,0,15,0,,,,,,,,,,,0,0,,,0,,"BuffUnit",0
"L20","Ensnare",1,45,4,15,300,,,38,,,,,10,80,,,50,0,0,0,,0,,,,,,,,,,,0,0,,,0,,"DebuffUnit",0
"L21","Make Haste",0,0,4,80,700,,,31,,,,,145,,,,,0,0,0,,0,,,,,,,,,,,0,0,,,0,,"BuffUnit",0
"L22","Demoralise",1,100,4,45,600,,,34,,,,,,,,,,,0,0,-60,,,,,,,,,,,,0,0,,,0,,"DebuffUnit",0
"L23","Defiance",0,0,1,,,,,15,,125,140,150,,,,,,50,0,0,,0,,,,,,,,,,,0,0,,,0,,"BuffSelf",0
"L24","Show Of Force",0,0,4,,,,,67,0,,,,,,,,,30,0,0,,0,,,,,,,,,,,0,1,,,0,,,0
"L25","Tactical Withdrawal",0,0,4,10,60,,,58,5,60,120,120,150,,,,,10,0,0,0,10,,,,,,,,,,0,0,0,0,,0,,"BuffUnit",0
"L26","Defense Focus",0,0,4,30,100,,,33,0,60,140,140,60,60,60,60,60,50,0,0,,,,,,,,,,,,,,,,,,,"BuffUnit",0
"L27","Magic Focus",0,0,4,30,100,,,55,0,60,60,60,60,,,,60,-50,0,0,,,,,,,,,,,,,,,,,,,"BuffUnit",2
"L28","Offense Focus",0,0,4,30,100,,,44,0,140,50,50,120,,,,140,-50,0,0,,,,,,,,,,,,,,,,,,,"BuffUnit",0
"L29","Range Focus",0,0,4,30,100,,,44,0,50,50,50,60,140,140,140,60,-50,0,0,,,,,,,,,,,,,,,,,,,"BuffUnit",0
"L30","Ambush Focus",0,0,4,30,,,,66,,,,,20,,,,,70,0,0,,,120,,,,,,,,-30,,,,,,,,"BuffUnit",0
"L31","Breakout",0,,,,,,,32,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,"BuffUnit",0
"L32","Swift Retreat",0,0,4,15,80,,,70,10,20,,,170,,,,10,,0,0,,,,,,,,,,,,,,,,,,,"BuffUnit",0
"L33","Hit And Run",0,0,4,,,,,61,,80,60,,145,110,,115,150,,0,0,,,,,,,,,,,,-40,,,,,,,"BuffUnit",0
"L34","Faith In Command",0,,4,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffUnit",
"L35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L36","Final Glory",0,,1,60,60000,,,30,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,"BuffUnit",
"L37","Provoke",1,50,4,,,,,23,,125,70,70,110,80,,80,140,-15,0,0,20,-20,,,,,,,,,,,,,,,,,"DebuffUnit",
"L38","Intimidate",1,30,4,60,,,,16,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,"DebuffUnit",
"L39","Sabotage",1,90,4,30,,,,67,,60,70,80,80,70,70,80,70,-10,0,0,-15,-15,,,,,,,,,,,,,,,,,"DebuffUnit",
"L40","Great Taunt",1,100,,60,,,,33,,160,20,20,130,10,10,10,130,-40,0,0,30,-40,,,,,,,,,,,,,,,,,"DebuffUnit",
"L41","Combat Aid",0,30,4,1,1000,,,41,,,,,,,,,,,20,5,20,,,,,,,,,,,-15,,,,,,,"BuffUnit",
"L42","Emergency Treatment",0,15,4,1,1000,,,39,,,,,,,,,,,30,10,10,,,,,,,,,,,,,,,,,,"BuffUnit",
"L43","Unity",0,0,4,60,600,,,50,,,,,,,,,,,0,0,15,30,,,,,,,,,,,,,,,,,,
"L44","Fire Trap",1,60,30,,800,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L45","Smoke Trap",1,60,45,,800,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L46","On The Defensive",0,0,4,,120,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffUnit",0
"L47","Diversion",1,50,4,30,400,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"L48","Emperor's Decree",0,0,5,300,6000,,,50,,130,130,130,130,130,,130,130,25,,,50,40,,,,,,,,,,,,,,,,,"BuffAll",0
"L49","King's Command",0,0,5,300,6000,,,50,,120,120,120,120,120,,120,120,15,,,40,30,,,,,,,,,,,,,,,,,"BuffAll",0
"L50","Lord's Order",0,0,5,300,6000,,,50,,110,110,110,110,110,,110,110,5,,,30,20,,,,,,,,,,,,,,,,,"BuffAll",0
"L51","Honourable Chivalry",0,0,5,300,6000,,,50,,105,105,105,105,,,,110,10,,,20,15,,,,,,,,,,,,,,,,,"BuffUnit",0
"L52","Heroic Valour",0,0,5,300,6000,,,50,,120,125,125,115,115,,115,150,15,,,50,20,,,,,,,,,,,,,,,,,"BuffAll",0
"L53","Marathon Sprint",0,0,1,1000,10000,,,70,,50,50,50,200,50,50,50,50,,,1,25,10,,,,,,,,,,,,,,,,,"BuffSelf",
"L54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L55","Holy Ordinance",0,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
