"ID","Leader ID","POS","Leader","Faction","Troop","Angle","Start Health","Start Stamina","Team"
1,"NK-1","570,885",,3,"NK+5:5/200,NK+8:10/100",0,100,100,1
2,"CNK-1","550,905","1",3,"NK+10:5/50,NK+11:10/100",0,100,100,1
3,"CNK-1","590,905","1",3,"NK+11:10/100,NK+3:10/500",0,100,100,1
4,"CNK-1","330,905",,3,"NK+5:20/100",0,100,100,1
5,"CNK-1","250,905",,3,"NK+5:20/100",0,100,100,1
6,"CNK-2","570,930","2",3,"NK+6:10/500,NK+4:10/500",0,100,100,1
7,"CNK-2","530,930","2",3,"NK+9:10/100,NK+4:10/500",0,100,100,1
8,"CNK-2","620,930","3",3,"NK+7:10/200",0,100,100,1
9,"CNK-2","550,950","3",3,"NK+3:10/500,NK+4:10/500",0,100,100,1
10,"CNK-2","300,935","4",3,"NK+2:10/500,NK+1:10/500",0,100,100,1
11,"CNK-2","330,935","4",3,"NK+6:10/500,NK+3:10/500",0,100,100,1
12,"CNK-2","360,935","4",3,"NK+3:10/500,NK+4:10/500",0,100,100,1
13,"CNK-2","300,905","5",3,"NK+2:10/500,NK+1:10/500",0,100,100,1
14,"CNK-2","300,905","5",3,"NK+3:10/500,NK+1:10/500",0,100,100,1
15,"CNA-1","600,200",,4,"CNA+7:5/100,CNA+8:5/50,CNA+9:2/10",180,100,100,2
16,"CNA-2","300,200",,4,"CNA+7:7/100,CNA+8:3/50,CNA+9:2/10",180,100,100,2
17,"CCNA-2","400,150","15",4,"CNA+7:5/50,CNA+8:5/50",180,100,100,2
18,"CCNA-1","500,150","15",4,"CNA+5:10/100",180,100,100,2
19,"CCNA-1","450,150","15",4,"CNA+5:10/100",180,100,100,2
20,"CCNA-3","600,150","15",4,"CNA+3:10/500,CNA+4:10/500",180,100,100,2
21,"CCNA-3","550,150","15",4,"CNA+3:10/500,CNA+4:10/500",180,100,100,2
22,"CCNA-3","650,150","15",4,"CNA+6:20/500",180,100,100,2
23,"CCNA-3","600,100","15",4,"CNA+6:20/500",180,100,100,2
24,"CCNA-3","450,100","15",4,"CNA+1:10/700",180,100,100,2
25,"CCNA-3","650,100","15",4,"CNA+2:10/700",180,100,100,2
26,"CCNA-3","350,200","16",4,"CNA+5:10/100",180,100,100,2
27,"CCNA-3","250,200","16",4,"CNA+5:10/100",180,100,100,2
28,"CCNA-3","200,200","16",4,"CNA+3:10/500,CNA+4:10/500",180,100,100,2
29,"CCNA-3","400,200","16",4,"CNA+3:10/500,CNA+4:10/500",180,100,100,2
30,"CCNA-3","200,150","16",4,"CNA+6:20/500",180,100,100,2
31,"CCNA-3","400,150","16",4,"CNA+6:20/500",180,100,100,2
32,"CCNA-3","150,150","16",4,"CNA+1:10/700",180,100,100,2
33,"CCNA-3","300,150","16",4,"CNA+2:10/700",180,100,100,2
