"ID","Name","Replace","Type","Range","Area of Effect","Duration","Cooldown","Restriction","Condition","Discipline Requirement","Stamina Cost","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Range Effect","Reload Effect","Charge Effect","Authority Bonus","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Effect","Physical Damage Effect","Fire Damage Extra","Water Damage Extra","Air Damage Extra","Earth Damage Extra","Poison Damage Extra","Magic Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Status","Enemy Status","Element","Spell"
"C1","Establish Control","L75",0,0,4,,,,,30,,,,,,,,,,50,,,,-20,70,,,,,,,,,,,,,,,,
"C2","Battle Choir","L2",0,0,4,30,250,,,10,,120,,,,,,,120,,0,0,0,10,0,,,,,,,,,,-20,0,4,0,0,0,
"C3","Rally Signal","L3",0,0,5,60,300,,,20,,,,,,,,,,,0,0,0,50,0,,,,,,,,,,-30,0,0,,0,0,
"C4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C6","Mass","L6",0,0,5,140,900,,,44,,,,,,,,,,,0,0,0,40,0,,,,,,,,,,,0,0,,,0,
"C7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C15","Priority Restoration","L41,L42",0,25,4,1,200,,,35,,,,,,,,,,,,25,15,15,,,,,,,,,,,,,,,,,
"C16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
