"ID","Name","Description"
"L1","Inspire Loyalty","True Loyalty comes from respect. Inspire your followers so they understand that you are worthy of it."
"L2","Battle Chant",
"L3","Rally","A well-timed rally from a capable leader can turn the tide of battle as much as a well-thought plan."
"L4","Entrap",
"L5","Lure","Just a piece of bait. Even the mightiest can fall to the weakest in the right circumstance."
"L6","Prayer",
"L7","Misinformation","The right plan and action can only be implemented with the right information. One wrong placement of a piece can render the whole operation crumble."
"L8","Incite Panic",
"L9","Order Disruption","Any organisation cannot exist without order. A small disruption in the chain of command is enough to open a window to a total collapse."
"L10","Glorious Presence",
"L11","Terrifying Presence",
"L12","Majestic Presence","Appearance is everything. No one respects those who look inferior to themselves. A majestic appearance befitting of a great leader will surely bring awe to all who follow you."
"L13","Godly Presence",
"L14","Forced March","Location is a deciding factor in most battles. A forced march may ensure that you can secure an advantageous position before the enemy."
"L15","Death March","Deaths are preferable to defeat. The commander orders, and the troops obey such is the will of an army. One final march."
"L16","Suppress Fear","Soldiers quivering in fear is no better than unarmed civilians. What use is their weapon if they are not going to wield it against their enemies?"
"L17","Steady Advance",
"L18","Determination","Only willpower brings a dream to reality. Determination begets success or so the saying goes."
"L19","Encourage","A simple encouragement can go a long way to make the weak become the strong."
"L20","Ensnare",
"L21","Make Haste","Speed is half the battle. Securing the location, reinforcing allies or flanking enemies. All require speed to be effectively accomplished."
"L22","Demoralise","Morale is everything in battle. A battle can only go on when the troops are willing to fight. Now just take that out of the equation and a fight will turn into a massacre."
"L23","Defiance",
"L24","Show Of Force","A simple demonstration of true power. They only need to see to know defeat. The ultimate feat of victory to win a war without waging a single battle ."
"L25","Tactical Withdrawal","A quick and efficient retreat is a tactic every good leader must know. Why waste your troops on a losing battle when a winning one is possible later on? "
"L26","Defense Focus","The best defence is a good offence. Receive, gauge, and then retaliate. Let the enemy makes the first move allows you to select the best countermeasure. "
"L27","Magic Focus",
"L28","Offense Focus",
"L29","Range Focus","The ultimate point of warfare is to win with minimal loss. Superior firing range and power can help accomplish that."
"L30","Ambush Focus","The enemy one should fight with is the enemy unprepared for battle. No one can really efficiently plan against an unseen enemy. "
"L31","Breakout",
"L32","Swift Retreat","Running away and conserving your troops to save the day. This is the way to win the war."
"L33","Hit And Run",
"L34","Faith In Command",
"L35",,
"L36","Final Glory",
"L37","Provoke",
"L38","Intimidate",
"L39","Sabotage",
"L40","Great Taunt",
