"Name","Leader ID","Troop"
"Thutmose III’s Royal Chariots","NK-1","34:2/50,37:3/50"
"Imy-rA mSa’s Egyptian Elites","CNK-1","39:2/10,40:5/50"
"Imy-rA mSa’s Egyptian Spearmen","CNK-1","32:5/100,40:2/20"
"Imy-rA mSa’s Egyptian Swordsmen","CNK-1","33:5/100,40:2/20"
"Imy-rA mSa’s Egyptian Archers","CNK-1","31:5/100,30:5/100"
"Imy-rA mSa’s Chariots","CNK-1","34:5/50"
"Ur’s African Spearmen","CNK-2","35:10/100,33:2/10"
"Ur’s Promachoi Mercenaries","CNK-2","38:5/50,33:2/10"
"Ur’s Pitati Mercenaries","CNK-2","36:5/100"
"Ur’s Egyptian Infantries","CNK-2","32:5/80,33:5/80"
"Ur’s Egyptian Archers","CNK-2","31:5/80,30:5/80"
