"Name","side"
"Unarmed","center"
"Sword","7,4"
"Greatsword","6,12"
"Shortsword","6,5"
"Dagger","7,4"
"Spear","4,9"
"Club","7,4"
"Mace",
"Great Mace",
"Flail",
"Hammer","13,7"
"War Hammer","16,11"
"Handaxe","13,7"
"Greataxe","16,11"
"Halberd","16,12"
"Pike","5,12"
"Glaive",
"Whip",
"Quarterstaff",
"Sling","14,5"
"Blowgun",
"Javelin","1,9"
"Throwing Axe","13,7"
"Longbow","32,36"
"Shortbow","28,34"
"Greatbow",
"Light Crossbow","2,14"
"Heavy Crossbow",
"Repeater Crossbow",
"Arbalest",
"Stone","center"
"Composite Bow","28,34"
"Matchlock Musket","2,17"
"Arquebus","2,17"
"Blunderbuss",
"Flintlock Musket",
"Flintlock Pistol",
"Matchlock Pistol","2,13"
"Kite Shield","16,36"
"Buckler","center"
"Round Shield","center"
"Tower Shield","center"
"Heater Shield","center"
"Pavise Shield","center"
"Spiked Shield","center"
"Aspis Shield","center"
"Oval Shield","center"
"Parry Dagger",
"Parry Club",
"Barrier Shield","center"
