"Name","Position"
"Unarmed","center"
"Sword","6,36"
"Greatsword","6,68"
"Shortsword","6,28.5"
"Dagger","6,21.5"
"Spear","3,53"
"Club",
"Mace",
"Great Mace",
"Flail",
"Hammer",
"War Hammer",
"Handaxe","2,34"
"Greataxe","18,80"
"Halberd",
"Pike","5.5,110"
"Glaive",
"Whip",
"Quarterstaff",
"Sling",
"Blowgun",
"Javelin",
"Throwing Axe",
"Longbow",
"Shortbow","19.5,58"
"Greatbow","19.5,74"
"Light Crossbow",
"Heavy Crossbow",
"Repeater Crossbow",
"Arbalest",
"Stone",
"Composite Bow",
"Matchlock Musket",
"Arquebus",
"Blunderbuss",
"Flintlock Musket",
"Flintlock Pistol",
"Matchlock Pistol",
"Kite Shield","center"
"Buckler","center"
"Round Shield","center"
"Tower Shield","center"
"Heater Shield","center"
"Pavise Shield","center"
"Spiked Shield","center"
"Aspis Shield","center"
"Oval Shield","center"
"Parry Dagger",
"Parry Club",
"Barrier Shield","center"
