"Name","Leader ID","Troop"
"Thutmose III’s Royal Chariots","NK-1","NK+5:2/50,NK+8:3/50"
"Imy-rA mSa’s Egyptian Elites","CNK-1","NK+10:2/10,NK+11:5/50"
"Imy-rA mSa’s Egyptian Spearmen","CNK-1","NK+3:5/100,NK+11:2/20"
"Imy-rA mSa’s Egyptian Swordsmen","CNK-1","NK+4:5/100,NK+11:2/20"
"Imy-rA mSa’s Egyptian Archers","CNK-1","NK+2:5/100,NK+1:5/100"
"Imy-rA mSa’s Chariots","CNK-1","NK+5:5/50"
"Ur’s African Spearmen","CNK-2","NK+6:10/100,NK+4:2/10"
"Ur’s Promachoi Mercenaries","CNK-2","NK+9:5/50,NK+4:2/10"
"Ur’s Pitati Mercenaries","CNK-2","NK+7:5/100"
"Ur’s Egyptian Infantries","CNK-2","NK+3:5/80,NK+4:5/80"
"Ur’s Egyptian Archers","CNK-2","NK+2:5/80,NK+1:5/80"
