1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","100,100","5,2,1,1","10,1,0,0",0,180
2,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","200,100","3,1,1,1","0,0,0,0",0,180
3,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","300,100","3,1,1,1","0,0,0,0",0,180
4,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","400,100","3,1,1,1","0,0,0,0",0,180
5,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","500,100","3,1,1,1","0,0,0,0",0,180
6,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","600,100","3,1,1,1","0,0,0,0",0,180
7,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","700,100","3,1,1,1","0,0,0,0",0,180
8,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","800,100","3,1,1,1","0,0,0,0",0,180
9,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","900,100","4,1,1,1","0,0,0,0",0,180
10,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","100,200","4,1,1,1","0,0,0,0",0,180
11,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1","200,200","4,1,1,1","0,0,0,0",0,180
