"ID","Name","Description"
1,"Bonus Morale","More morale is always preferable. These troops are less likely to flee or surrender in a losing fight."
2,"Heroic","Heroes do not fear failure or death, but that does not mean they welcome it."
3,"Varied Training","The lack of standardised training makes the troops' fighting ability wildly diverse."
4,"Zealous","Being zealous for one's belief can make soldiers less susceptible to fear."
5,"Poor Morale","Either from poor training or by its nature, these soldiers have poorer morale making them unfit for prolonged or serious engagements."
6,"Black Boar's Guidance",
7,"Great Wings' Protection",
8,"Tough Painting","Orc Berserkers usually wear no armour at all and paint their naked body into battle. What is little known is that the paint materials used are so tough when they are hardened that they can actually stop a sword or arrow."
9,"Impregnable Shield","One of the most basic equipment to keep one alive in a chaotic battle. Having one is almost always better than having none but having one that is of superb quality is the best of all."
10,"Protective Fur","Some beastmen or creatures have furs thick enough to protect against some attack to a degree. Additionally, it can help against cold too."
11,"Charge Expert","A charge is one of the most powerful tactics in battles in the past that can decide the battle. Being well-versed in charging is never a disadvantage."
12,"Charge Defense Expert","Why settle for just defending when you can turn the enemies' charge into their own demise."
13,"Weapon Expert","Decades of perfection the weapon make these soldiers a pinnacle of all warriors. "
14,"Evasive","These troops can dodge melee and range attacks when fighting in loose formation."
15,"Divine Connection",
16,"Arc Shot","Arc shot allows archers to shoot past the obstacle to hit the target they aiming for. *This trait can be obtained from certain weapons."
17,"Agile Aims","These troops can shoot while moving and at moving enemy without penalty. A feat only the greatest archer can achieve. This property also helps improve accuracy against moving targets."
18,"Can Shoot While Moving","These troops can shoot while moving but with some accuracy penalty. Requires a lot of archery training, but the result is undoubtedly beneficial."
19,"Concentrated Aims","The accuracy of these troops are not affected by morale (they still cannot shoot when in a broken state)."
20,"Concentrated Chant","These troops’ magic casting is not affected by morale (they still cannot cast magic when in a broken state)."
21,"Anti-Infantry","These troops are specialised in combat against enemy infantries *This trait can be obtained from certain weapons."
22,"Anti-Flyer","What goes up must come down. These troops are specialised in combat against flyer enemies."
23,"Anti-Cavalry","These troops are specialised in combat against enemy cavalries. Bring an end to the age of cavalry one step at a time. *This trait can be obtained from certain weapons."
24,"Anti-Mage","These troops are specialised in combat against enemy mages. Not even the wisest wizards can survive this hunt."
25,"Anti-Machine","These troops are specialised in combat against enemy machines. Neither Iron nor wood can not stop their attacks."
26,"Anti-Large","The bigger they are, the harder they fall. These troops are specialised in combat against large enemies."
27,"Anti-All","The destroyer of the world. No man, beast, nor machine can withstand this true might."
28,"Anti-Structure","Tear down the wall! No structure can withstand such strong force."
29,"Ignore Charge Defense","A rush of death and ruin. The world shall tremble upon this sight. These troops’ charge ignores charge defence entirely. "
30,"Ignore Defense","Deadly to those unfortunate to face them in combat. These troops’ attacks ignore defence entirely."
31,"Cannibal","Taboo most foul. But one death can sustain another life."
32,"Defiant Defense","Only the strongest force can take down these troops. They will struggle to the end, and for every one man killed, they will take down 10 enemies with them."
33,"Backstaber","These troops deal bonus damage to enemies with rear attacks."
34,"Battle Master","These troops can fully attack enemies in all directions and suffer no defence penalty from being flanked."
35,"Absolute Defense","The best defence is a good offence. It may be important to kill the enemy to win the battle, but it is more important to survive to win a war."
36,"Great Saint","The best of the best in the realm. These troops help nearby allies to be at maximum morale and cannot be decreased."
37,"Battle Saint","Greatest in battle and greatest in combat. These saintly troops will surely lead their allies to victory."
38,"No Hunger","These troops cannot get hungry, which means they do not need a food supply to maintain at all."
39,"Patriotic","It is the duty of every citizen to fight for the country they live in. These troops fight much better in friendly territory and require less upkeep."
40,"Siege Expert","No wall is safe from these soldiers! They can fight much better in siege combat. All defense +15% during siege, siege progression speed +50%."
41,"Unadvancable","These troops cannot gain experience from normal means."
42,"Hunger Instinct","Hunger is one of the most important factors for aggressivity in most animals. If these troops are in the hunger stage, they will fight much harder than usual to obtain foods, which in this case is the enemy in front of them."
43,"Famed","These troops have been fighting through many battles and wars, gaining them the fame they deserve. Increase some morale for allies nearby while reducing for enemies."
44,"Armistice Bringer",
45,"Shield Expert","Survive to fight another day by improving your defence is never a bad idea."
46,"Crumble","Nothing last forever, even for inanimate material creatures. Time has rendered these troops much less powerful compared to their former glory."
47,"Superb Flanker","These troops fight better against enemies from flanking positions."
48,"Bandit Honour","The way of bandit usually is not appropriate to the code of honour. It must be extremely difficult and remarkable for one to uphold whatever honour vow they swear to."
49,"Indomitable",
50,"Endearing Performance",
51,"True Hero","Being true heroes, these troops have a manifestly inspiring aura for nearby allies."
52,"Legendary Might","The might of the legends cannot be subdued. Beware the enemy for the death to come."
53,"Innocence Grace",
54,"Magical Weapon","These troops’ weapons have magic property, which deals additional magic damage and can deal damage to Incorporeal enemies."
55,"Oblivious To Unexpected","These soldiers are so oblivious to unexpected events that they have no idea or plan to defend against them, making them receive a defence penalty from rear attacks."
56,"Causes Fear","Only the brave can resist fear, and those are the ones that die young."
57,"Causes Terror","Terror is in the mind until it manifests into reality in front of you. Fleeing is always an option."
58,"Inspires Hope","Instilling hope in your brother in arms is one of the greatest achievements one can perform in an army."
59,"Inspires Bravery","Bravery is a rare luxury in a place like a battlefield. To share such rarity with others is a noble deed indeed."
60,"Heart Of Steel",
61,"Hope And Despair","A bringer of hope yet also a herald of calamity. Can it be the result of insanity?"
62,"Healing Mucus",
63,"Ancestral Bond",
64,"True Chosen",
65,"The War Of Love",
66,"Final Flame",
67,"Glorious Appearance","These troops’ appearances are so dashing and inspiring that nearby allies will be in awe while leaving enemies in fear."
68,"Holy Defense","The blood and sins of the devil can veil one's mind. The lost sheep will then follow the true teaching."
69,"Vile Veil","There are none without sin and their sins will make them blind."
70,"Xenophobic Bunch","These troops loathe fighting together with soldiers or creatures from other races than themselves. "
71,"Eyes Of Satiens","Discern the path, exact the truth. These troops suffer no range penalty and can shoot even further than usual."
72,"Farsight","Farsight reduces accuracy penalty from long-range shooting and also make these troops see enemies’ projectiles earlier."
73,"No Range Penalty","Assured accuracy to eradicate the enemy from any location."
74,"Long Range Accuracy","Death from afar, the end of the chivalric era is near."
75,"Entertainer","Entertainment may look like it has no place in this hell. But it sure improves the soldiers’ morale."
76,"Virtue Of Honour",
77,"Royal Banner",
78,"Missile Resistance","Piecing damage from missiles can do little damage to these troops. Not even a hail of arrows can stop their advance."
79,"Pain Resistance","Ultimate soldiers. Pain and suffering is not even a concept to these monsters of war."
80,"Poison Resistance","Underhand tactics will not work well on these troops. Try crushing them with raw might instead."
81,"Cold Resistance","Cold resistance allows these troops to resist the negative effect of cold terrain and weather."
82,"Heat Resistance","Heat resistance allows these troops to resist the negative effect of hot terrain and weather."
83,"Fire Resistance",
84,"Water Resistance",
85,"Air Resistance",
86,"Earth Resistance",
87,"Fatigue Resistance","Fatigue is the natural consequence of any physical activity. It just comes much later for some than the others."
88,"Magic Resistance","Unscientific matters are of minor concern for these troops. All mages loath them for their antithesis."
89,"Swamp Crosser","Bonus to combat and movement for these troops in swamp terrain and also use less supply as well."
90,"Sylvan","Bonus to combat and movement for these troops in forest terrain and also use less supply as well."
91,"Blight Habitat","Bonus to combat and movement for these troops in blight terrain and also use less supply as well."
92,"Aquatic","Bonus to combat and movement for these troops in water terrain and also use less supply as well."
