"ID","Name","Buff Range","Buff Modifier","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Bonus","Siege Effect","Sight Bonus","Hidden Bonus","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Earth Resistance Bonus","Poison Resistance Bonus","Magic Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Supply Effect","Upkeep Effect","Mental Bonus","Status","Enemy Status","Special Effect","Cost","Element","Type","Ruleset"
1,"Bonus Morale",1,,,,,,,,,0,0,0,10,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
2,"Heroic",1,,,,,,,,,0,0,0,50,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
3,"Varied Training",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,24,,,"Buff",0
4,"Zealous",1,,,,,,,,,0,0,0,30,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
5,"Poor Morale",1,,,,,,,,,0,0,0,-20,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",0
6,"Black Boar's Guidance",1,,,,,,130,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
7,"Great Wings' Protection",1,,,115,115,,,,,10,0,0,0,0,0,,,,10,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
8,"Tough Painting",1,,,,,,,,,0,0,0,0,0,0,,,,10,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
9,"Impregnable Shield",1,,,125,125,,,,,0,0,0,0,0,0,,,,5,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
10,"Protective Fur",1,,,,,,,,,0,0,0,0,0,0,,,,7,0,0,0,0,0,0,-40,50,,,0,0,0,,,,"Buff",2
11,"Charge Expert",1,,,,,,,,125,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
12,"Charge Defense Expert",1,,,,,,,,,35,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
13,"Weapon Expert",1,,120,115,,,115,115,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
