"ID","Class","Description"
0,"Melee Infantry","Melee infantry is the barebone of ancient warfare that can be used for all types of role. Most of the time, such unit is the deciding factor in not only battle but the war itself. Never underestimate even the lowest melee infantry and you will live long enough to be the master of the battlefield.  "
1,"Range Infantry","Range infantry may not yet be the dominant force in the past compare to the present time, it can still tip the scale of victory during the skirmish phase of the battle or in siege warfare. Typically weak in melee combat, it is not advisable to put them in the frontline unless the enemy is incapable of pulling a significant melee charge. "
2,"Flying Cavalry","While it is true that range cavalry is the tool of conquerors, flying cavalry is the force that can turn over the principle of warfare. When air superiority come into existence, the force that achieves such domination can almost effortlessly conquer its opponent."
3,"Range Cavalry","The greatest tool of the conquerors of the known world. Fast and vicious, range cavalry is an unmatched force in the flat plain. As long as they do not fight in unsuitable terrain or situation or engage in unfavourable melee combat, it is almost impossible to destroy them. "
4,"Light Cavalry","Light cavalry has many roles, either scouting, skirmishing, harassing or pursuing fleeing enemies. They are less suited for direct melee combat however, so use their superb mobility to avoid losing them in a pointless fight."
5,"Heavy Cavalry","Heavy or shock cavalry is the domination force in the old battlefield. Their charge can pierce through even shield wall. The only few downsides are that they are slower than lighter cavalry and much more difficult to employ in the field in large number."
6,"Chariot","Chariot used to be master of the battlefield before the invention of cavalry. Although less used now, their presence can still instil fear into the enemy while crushing through enemy squads. Chariot unit usually also carry range weapon with a good amount of ammunition, which make it a decent skirmish unit as well."
7,"Mage","Mage is one of the most fearsome existence in the battlefield known to men. A group of court mages can render an entire squad into ash or obliterate entire battalion with magic. Protect them at all cost if they are your allies, otherwise kill them as quickly as possible."
8,"Siege Machine","Siege unit exists in many forms depending on its use. Some siege machines are more effective against infantry units such as scorpion or hwacha, while some others are more suitable for damaging structure or siege warfare likes trebuchet."
9,"War Beast","War beast is something one should not want to face on the battlefield. The face of terror cast down upon those who dare to look at it. Use them well and even the finest army will submit to you before long."
10,"Titan","This unit is gigantic enough to be classified as a titan. No matter what type of weapon it uses or what role it has, it can cause massive damage more than other class. Only equally massive forces can match against the titan."
