"ID","Row 1","Row 2","Row 3","Row 4","Row 5","POS","Leader","Unit Position","Faction","Angle","Start Health","Start Stamina","Team"
1,"6,6,h,6,6","6,6,6,6,6","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","829,585",2,0,1,270,100,100,1
2,"6,6,h,6,6","6,6,6,6,6","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0","859,584",12,1,1,270,100,100,1
3,"6,6,h,6,6","6,6,6,6,6","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,17,,1,270,100,100,1
4,"6,6,h,6,6","6,6,6,6,6","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,18,,1,270,100,100,1
5,"6,6,h,6,6","6,6,6,6,6","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,13,,1,270,100,100,1
6,"6,6,h,6,6","6,6,6,6,6","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,6,,1,270,100,100,1
7,"6,6,h,6,6","6,6,6,6,6","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,24,,1,270,100,100,1
8,"6,6,h,6,6","6,6,6,6,6","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,25,,1,270,100,100,1
9,"5,5,5,5,5","4,1,h,1,4","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,7,,1,270,100,100,1
10,"5,5,5,5,5","4,1,h,1,4","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10,,1,270,100,100,1
11,"5,5,5,5,5","4,1,h,1,4","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10002,,1,270,100,100,1
12,"5,5,5,5,5","4,1,h,1,4","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,19,,1,270,100,100,1
13,"5,5,5,5,5","4,1,h,1,4","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,22,,1,270,100,100,1
14,"5,5,5,5,5","4,1,h,1,4","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10002,,1,270,100,100,1
15,"12,12,h,12,12","12,12,12,12,12","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,15,,1,270,100,100,1
16,"12,12,h,12,12","12,12,12,12,12","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,8,,1,270,100,100,1
17,"12,12,h,12,12","12,12,12,12,12","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10002,,1,270,100,100,1
18,"9,9,9,9,9","8,7,h,7,8","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,5,,1,270,100,100,1
19,"9,9,9,9,9","8,7,h,7,8","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,11,,1,270,100,100,1
20,"9,9,9,9,9","8,7,h,7,8","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10002,,1,270,100,100,1
21,"9,9,9,9,9","8,7,h,7,8","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,4,,1,270,100,100,1
22,"9,9,9,9,9","8,7,h,7,8","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10003,,1,270,100,100,1
23,"11,11,11,11,11","10,10,h,10,10","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,15,,1,270,100,100,1
24,"11,11,11,11,11","10,10,h,10,10","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,8,,1,270,100,100,1
25,"11,11,11,11,11","10,10,h,10,10","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,16,,1,270,100,100,1
26,"18,18,h,18,18","18,18,18,18,18","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,20,,1,270,100,100,1
27,"18,18,h,18,18","18,18,18,18,18","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,21,,1,270,100,100,1
28,"18,18,h,18,18","18,18,18,18,18","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10002,,1,270,100,100,1
29,"15,15,15,15,15","14,13,h,13,14","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,3,,1,270,100,100,1
30,"15,15,15,15,15","14,13,h,13,14","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10003,,1,270,100,100,1
31,"15,15,15,15,15","14,13,h,13,14","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,9,,1,270,100,100,1
32,"15,15,15,15,15","14,13,h,13,14","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10002,,1,270,100,100,1
33,"17,17,17,17,17","16,16,h,16,16","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,14,,1,270,100,100,1
34,"17,17,17,17,17","16,16,h,16,16","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,23,,1,270,100,100,1
35,"17,17,17,17,17","16,16,h,16,16","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10002,,1,270,100,100,1
36,"26,26,26,26,26","27,28,h,28,27","22,24,h,24,22","0,0,0,0,0","0,0,0,0,0",,26,,2,180,100,90,2
37,"26,26,26,26,26","22,23,h,23,22","22,23,h,23,22","0,0,0,0,0","0,0,0,0,0",,10000,,2,180,100,90,2
38,"26,26,26,26,26","22,23,h,23,22","22,23,h,23,22","0,0,0,0,0","0,0,0,0,0",,10000,,2,180,100,90,2
