"ID","Name","Colour"
0,"Grassland","(140,173,130)"
1,"Draught","(246,206,95)"
2,"Bushland","(145,186,20)"
3,"Forest","(111,117,88)"
4,"Inland Water","(143,248,237)"
5,"Road","(215,207,134)"
6,"Building","(147,140,136)"
7,"Farm","(255,255,136)"
8,"Pandemonium","(255,255,255)"
9,"Mana Flux","(160,193,226)"
10,"Creeping Rot","(220,75,104)"
11,"Muddy Ground","(140,173,130)"
12,"Savanna","(212,182,132)"
13,"Draught","(246,206,95)"
14,"Tropical Shrubland","(247,223,94)"
15,"Jungle","(35,100,80)"
16,"Inland Water","(143,248,237)"
17,"Road","(215,207,134)"
18,"Building","(147,140,136)"
19,"Farm","(82,196,28)"
20,"Pandemonium","(255,255,255)"
21,"Heat Mana","(255,30,30)"
22,"Creeping Rot","(220,75,104)"
23,"Muddy Ground","(247,223,94)"
24,"Volcanic Soil","(106,99,72)"
25,"Scorched Land","(187,65,34)"
26,"Volcanic Field","(244,228,179)"
27,"Volcanic Forest","(111,117,88)"
28,"Inland Water","(143,248,237)"
29,"Road","(215,207,134)"
30,"Building","(147,140,136)"
31,"Fertile Farm","(255,255,136)"
32,"Pandemonium","(255,255,255)"
33,"Fire Mana","(220,1,6)"
34,"Creeping Rot","(220,75,104)"
35,"Muddy Ground","(106,99,72)"
36,"Desert Plain","(228,210,126)"
37,"Desert Sand","(240,229,176)"
38,"Desert Shrubland","(228,228,126)"
39,"Desert Forest","(228,210,126)"
40,"Desert Water","(143,248,237)"
41,"Sand Road","(217,188,55)"
42,"Desert Dwelling","(200,200,100)"
43,"Desert Farm","(255,255,136)"
44,"Pandemonium","(255,255,255)"
45,"Earth Mana","(143,88,33)"
46,"Creeping Rot","(220,75,104)"
47,"Quicksand","(240,229,176)"
48,"Snow","(211,211,211)"
49,"Tundra","(100,100,90)"
50,"Arctic Shrubland","(100,100,90)"
51,"Arctic Forest","(200,200,200)"
52,"Frozen Water","(2,146,193)"
53,"Snow Road","(180,180,180)"
54,"Warm Shelter","(180,180,180)"
55,"Arctic Farm","(100,100,90)"
56,"Pandemonium","(255,255,255)"
57,"Ice Mana","(190,253,253)"
58,"Preserving Rot","(172,157,253)"
59,"Ice Ground","(177,207,228)"
60,"Blight Land","(180,125,99)"
61,"Poisoned Land","(170,101,177)"
62,"Forbidden Field","(124,154,139)"
63,"Blight Forest","(123,66,130)"
64,"Poisoned Water","(61,241,191)"
65,"Blight Path","(163,123,80)"
66,"Blight Shelter","(155,154,128)"
67,"Exotic Farm","(151,174,152)"
68,"Pandemonium","(255,255,255)"
69,"Poisoned Mana","(133,81,140)"
70,"Creeping Rot","(220,75,104)"
71,"Poison Mud","(180,125,99)"
72,"Void","(90,90,90)"
73,"Void","(90,90,90)"
74,"Void","(90,90,90)"
75,"Void","(90,90,90)"
76,"Void","(90,90,90)"
77,"Void","(90,90,90)"
78,"Void","(90,90,90)"
79,"Void","(90,90,90)"
80,"Pandemonium","(255,255,255)"
81,"Leyline","(81,62,159)"
82,"Creeping Rot","(220,75,104)"
83,"Void","(90,90,90)"
84,"Underworld Prairie","(169,106,75)"
85,"Infernal Land","(158,50,30)"
86,"Demonic Wild","(173,176,55)"
87,"Demonic Forest","(201,116,31)"
88,"Boiling Water","(0,150,232)"
89,"Otherworld Pathway","(94,19,19)"
90,"Demonic Dwelling","(139,5,5)"
91,"Crimson Farm","(224,10,10)"
92,"Pandemonium","(255,255,255)"
93,"Unstable Mana","(44,22,23)"
94,"Creeping Rot","(220,75,104)"
95,"Underworld Pull","(169,106,75)"
96,"Fresh Land","(249,119,100)"
97,"Death Land","(122,20,5)"
98,"Undead Field","(120,139,92)"
99,"Dark Forest","(80,82,10)"
100,"Silence Water","(10,91,108)"
101,"End Path","(72,41,11)"
102,"Rest Refuge","(117,122,109)"
103,"Fresh Farm","(204,57,32)"
104,"Pandemonium","(255,255,255)"
105,"Life Mana","(233,233,233)"
106,"Rotten Land","(220,75,104)"
107,"Rotten Swamp","(220,75,104)"
108,"Lively Water","(35,255,194)"
109,"Empty Water","(35,255,255)"
110,"Marsh","(24,230,128)"
111,"Swamp","(23,168,147)"
112,"Inland Water","(143,248,237)"
113,"Bridge","(215,207,134)"
114,"Swamp Building","(23,168,147)"
115,"Swamp Farm","(29,160,71)"
116,"Pandemonium","(255,255,255)"
117,"Cold Mana","(132,189,253)"
118,"Creeping Rot","(220,75,104)"
119,"Muddy Ground","(24,230,128)"
120,"Deep Water","(63,135,188)"
121,"Ocean","(44,94,131)"
122,"Coral Reef","(44,94,131)"
123,"Underwater Forest","(44,94,131)"
124,"Fresh Water","(35,255,194)"
125,"Bridge","(215,207,134)"
126,"Sunken City","(44,94,131)"
127,"Fishery","(44,94,131)"
128,"Pandemonium","(255,255,255)"
129,"Water Mana","(187,244,244)"
130,"Creeping Rot","(220,75,104)"
131,"Beach","(240,229,176)"
