"ID","Name","Infantry Speed/Charge Effect","Infantry Combat Effect","Infantry Defense Effect","Cavalry Speed/Charge Effect","Cavalry Combat Effect","Cavalry Defense Effect","Range Defense Bonus","Hide Bonus","Discipline Bonus","Day Temperature","Night Temperature","Dust","Status","Type"
0,"Grassland",100,100,100,100,100,100,0,5,0,0,-15,10,,"Plain"
1,"Draught",100,100,100,100,100,100,0,0,0,0,-15,20,,"Barren"
2,"Bushland",90,100,120,80,85,85,15,30,-10,0,-15,5,,"Plant Field"
3,"Forest",70,110,130,50,70,80,40,60,-40,0,-20,1,,"Forest"
4,"Inland Water",30,50,70,40,60,80,0,0,-80,-20,-40,0,1,"Inland Water"
5,"Road",120,100,100,150,100,100,0,0,5,0,-15,10,,"Road"
6,"Building",50,110,130,30,60,60,40,30,0,10,-5,5,,"Urban Building"
7,"Farm",90,110,120,80,85,85,15,40,-25,0,-20,5,,"Farm"
8,"Pandemonium",100,100,100,100,100,100,0,0,0,0,0,0,,"Pandemonium"
9,"Mana Flux",100,100,100,100,100,100,0,10,0,0,0,0,,"Mana"
10,"Creeping Rot",80,100,100,70,100,100,0,10,-30,0,-25,5,3,"Rot"
11,"Muddy Ground",20,80,90,30,90,90,0,20,-35,-10,-35,0,,"Wet Ground"
12,"Savanna",100,100,100,100,100,100,0,5,0,30,10,40,,"Plain"
13,"Draught",100,100,100,100,100,100,0,0,0,40,20,30,,"Barren"
14,"Tropical Shrubland",90,110,120,80,85,85,15,30,-5,25,5,20,,"Plant Field"
15,"Jungle",70,110,130,50,70,80,40,60,-40,30,-20,5,,"Forest"
16,"Inland Water",30,50,70,40,60,80,0,0,-80,10,-30,0,1,"Inland Water"
17,"Road",120,100,100,150,100,100,0,0,5,30,15,30,,"Road"
18,"Building",50,110,130,30,60,60,40,30,0,15,0,10,,"Urban Building"
19,"Farm",90,110,150,80,85,70,15,40,-25,30,-5,5,,"Farm"
20,"Pandemonium",100,100,100,100,100,100,0,0,0,0,0,0,,"Pandemonium"
21,"Heat Mana",100,100,100,100,100,,0,10,0,50,40,0,,"Mana"
22,"Creeping Rot",80,100,100,70,100,100,0,10,-30,30,0,5,3,"Rot"
23,"Muddy Ground",20,80,90,30,90,90,0,20,-35,10,-15,0,,"Wet Ground"
24,"Volcanic Soil",100,100,100,100,100,,0,5,0,0,-10,25,,"Plain"
25,"Scorched Land",80,100,100,90,100,,0,0,0,30,20,20,,"Barren"
26,"Volcanic Field",85,100,120,80,85,85,15,30,-10,0,-10,10,,"Plant Field"
