"charid","name","portrait","authority","melee_command","range_command","cavalry_command","combat","social","trait","ability","mana","description"
0,"None",0,0,0,0,0,,0,,0,,
1,"Remance of House Malabel",1,91,5,2,9,,5,"8, 13, 18",1,,"Cavalry general of House Malabel. Joined military at age 17 and become general at age 26. He is expert in heavy cavalry tactic and won various battles against enemies of Mocnan Kingdom throughout his military career. As he grows older, he wishes that his name will be remembered alongside other greatest heroes."
2,"Amunsa",2,31,6,1,1,,2,,2,,
3,"Jonas Elbadai",3,86,4,8,3,,8,14,3,,"The world is not only made of black and white. It existed in many shades of colour, maybe even the colours we can never see. So does a person and his or her characteristics. But must so-called characteristic be constant? What would happen if a person can change his personality in the matter of friction of a second? Not simply faking it but completely alters it at the very core to become a completely new identity. Can such a thing even be called person anymore or it becomes something incomprehensible entirely? "
4,"Vars Karsunlaamt",4,77,8,1,2,,8,"1, 6, 8",4,,"Peerless warrior who always seek a new challenge. His growth and lust in fighting know no bounds. His single-mindedness is very troublesome for many people involved in his life. Now a king of Masendor, the hero of Meskemdar, the first of house Karsunlaamt. His rule will certainly bring change to the history of the whole world."
5,"Vasla",5,6,1,5,0,,1,,5,,
6,"Orsanoas",6,41,7,0,1,,4,"8,9",6,,
7,"Fenryu",7,68,4,8,2,,4,,7,,
8,"Saltun Gadid",8,80,3,4,3,,8,21,8,,
9,"Raasohd",9,84,7,7,7,,5,,9,,
10,"Gaf Ra Naf Ma Ko Nunoada",10,93,6,5,8,,4,,10,,
11,"Abubaba",11,38,4,2,8,,2,,11,,
12,"Veno",12,100,4,3,3,,8,26,12,,
13,"Lesenyre",13,37,8,1,4,,3,,13,,
14,"Little Boy",14,21,1,1,0,,3,,14,,
15,"Aquanturas",15,91,2,8,9,,5,,15,,
16,"Bigboy",16,15,3,0,0,,3,15,16,,
17,"Rodhinbar Leafleft Rora",17,67,5,9,2,,3,,17,,
18,"Savalorse",18,50,4,7,1,,4,,18,,
19,"Ladun Ladanlasia Makan Og Gumdmoiq",19,74,8,5,3,,8,,19,,
20,"Venswa",20,85,2,6,2,,8,,20,,
21,"Dohejah",21,14,3,7,1,,2,,21,,
22,"Venvilov of House Tarlsov",22,95,6,6,3,,8,,22,,
23,"Garun",23,,,,,,8,,23,,
24,"Saqir the Pitiful",24,86,8,9,8,,8,,24,,"There is no other king in history more pitiful than Saqir the Pitiful. Despite his talent and ingenious rulership, he just simply cannot overcome his extraordinarily bad luck. His country will fall to ruin no matter what he accomplishes as he can only delay the inevitable and he himself aware of such fact. Can the course of history be changed by unseen external being or the card of fate cannot be turned over."
25,"Solwal",25,,,,,,4,,25,,
26,"Zy",26,30,4,4,4,,3,,26,,
27,"Old Man Hona The Sacred Flame",27,42,1,1,1,,2,26,27,,
28,"Bahmarn The Eternal",28,68,4,1,1,,2,27,28,,
