"charid","name","health","authority","melee_command","range_command","cavalry_command","combat","social","trait","ability","mana","race","description"
0,"None",0,0,0,0,0,0,0,,0,0,1,
1,"Remance of House Malabel",120,91,5,2,9,7,5,"8, 13, 18",1,0,1,"Cavalry general of House Malabel. Joined military at age 17 and become general at age 26. He is expert in heavy cavalry tactic and won various battles against enemies of Mocnan Kingdom throughout his military career. As he grows older, he wishes that his name will be remembered alongside other greatest heroes."
2,"Amunsa",140,31,6,1,1,8,2,,2,0,1,
3,"Jonas Elbadai",100,86,4,8,3,4,8,14,3,,1,"The world is not only made of black and white. It existed in many shades of colour, maybe even the colours we can never see. So does a person and his or her characteristics. But must so-called characteristic be constant? What would happen if a person can change his personality in the matter of friction of a second? Not simply faking it but completely alters it at the very core to become a completely new identity. Can such a thing even be called person anymore or it becomes something incomprehensible entirely? "
4,"Vars Karsunlaamt",999999,77,8,1,2,10,8,"1, 6, 8",4,0,1,"Peerless warrior who always seek a new challenge. His growth and lust in fighting know no bounds. His single-mindedness is very troublesome for many people involved in his life. Now a king of Masendor, the hero of Meskemdar, the first of house Karsunlaamt. His rule will certainly bring change to the history of the whole world."
5,"Vasla",100,6,1,5,0,5,1,,5,0,1,
6,"Orsanoas",200,41,7,0,1,10,4,"8,9",6,0,1,
7,"Fenryu",100,68,4,8,2,4,4,,7,,1,
8,"Saltun Gadid",70,80,3,4,3,1,8,21,8,,1,
9,"Raasohd",100,84,7,7,7,5,5,,9,0,1,
10,"Gaf Ra Naf Ma Ko Nunoada",100,93,6,5,8,3,4,,10,0,1,
11,"Abubaba",120,38,4,2,8,7,2,,11,,1,
12,"Veno",60,100,4,3,3,2,8,26,12,,1,
13,"Lesenyre",150,37,8,1,4,9,3,,13,,1,
14,"Little Boy",999999,21,1,1,0,0,3,,14,,1,
15,"Aquanturas",100,91,2,8,9,4,5,,15,0,1,
16,"Bigboy",200,15,3,0,0,8,3,15,16,0,1,
17,"Rodhinbar Leafleft Rora",110,67,5,9,2,7,3,,17,,1,
18,"Savalorse",100,50,4,7,1,3,4,,18,,1,
19,"Ladun Ladanlasia Makan Og Gumdmoiq",145,74,8,5,3,8,8,,19,,1,
20,"Venswa",90,85,2,6,2,3,8,,20,,1,
21,"Dohejah",100,14,3,7,1,8,2,,21,,1,
22,"Venvilov of House Tarlsov",100,95,6,6,3,2,8,,22,,1,
23,"Garun",130,79,7,5,2,7,8,,23,,1,
24,"Saqir the Pitiful",100,86,8,9,8,4,8,,24,,1,"There is no other king in history more pitiful than Saqir the Pitiful. Despite his talent and ingenious rulership, he just simply cannot overcome his extraordinarily bad luck. His country will fall to ruin no matter what he accomplishes as he can only delay the inevitable and he himself aware of such fact. Can the course of history be changed by unseen external being or the card of fate cannot be turned over."
25,"Solwal",150,,,,,7,4,,25,,1,
26,"Zy",100,30,4,4,4,5,3,,26,,1,
27,"Old Man Hona The Sacred Flame",5000,42,1,1,1,10,2,26,27,,1,
28,"Bahmarn The Eternal",5000,68,4,1,1,10,2,27,28,,1,
29,"Elmaliern",50,22,1,1,1,1,3,,29,,1,
30,"Tulia",110,70,5,9,4,4,4,,30,,1,
31,"Adaqua",110,64,3,8,1,5,2,,31,,1,
32,"Feydiavy",130,44,5,1,1,8,3,,32,,1,
33,"Miyilya Cui An",100,75,6,7,2,3,2,,33,,1,
34,"Parna Roldorn",120,88,6,4,8,7,4,,34,,1,
35,"Vraesier",1000,27,7,1,1,10,2,,35,,1,"There is a tale of abomination entity that resides in the Forest of Skangra. This mysterious creature has one eye and wears the skin of female clad in tattered armour swings its monstrously huge great sword at whoever crosses its path. Rumour is that this creature once was seen talking to another similar female creature or even travel together. Nobody knows where they came from or why they stalk the forest but the first sighting was around 20 years ago by the hunter whose arm got chopped off."
36,"Nraesier",1000,53,5,4,1,9,2,,36,,1,
37,"Niavesia The Royal Knight",130,85,9,5,4,8,4,8,37,,1,"Captain of the elite royal guard unit, Milingrels. The Protector of Tower Throne. She is born into a soldier family and discovers talent in fighting at a young age. After proving herself in the Trial of Giasarost at age 20, she becomes the personal bodyguard to the royal family of Werlermar House. "
38,"Eona Suermphael",40,41,2,2,1,1,3,,38,,1,
39,"Ralaviel",150,,,,,7,4,,39,,1,
40,"Aunnial The Holy Maiden",2500,90,8,2,1,10,7,"13,21,26",40,,1,"Out of 10 Holy Maidens that show the most aptitude to ""Holy"" magic in Valle, Aunnial is the only one that passed the Night of Suffering Ritual at age 9, which make her the fourth Holy Maiden in history that pass it. Her ability to channel to the magic is far above even some of the most powerful wizard. Although lacking in the combat and leading proficiency, her role as the Holy Maiden and the belief that she will protect the country from all evils make her authority reaching to the point of worshipping."
41,"Liwa of House Tarlsov",80,95,6,8,1,1,8,,41,,1,"The Empire of Flowers is at risk of invasion from all side, with the fall of Masendor and the rise of the commoner king is the foretold of the end of an era. To safeguard her empire, empress Liwa Tarlsorv strengthens her resolve to unite humanity together against the threat of corruption despite her husband more liberal rulership. Only when united against the common threat can the human race survive in this harsh and unforgiving world.  "
42,"Pao La Sin",140,71,6,8,3,5,8,,42,,1,
43,"Sasinola",30,10,1,2,0,0,3,,43,,1,
44,"Ab",40,,,,,1,2,,44,0,1,
45,"Unsi Ed and Ana Bi",300,4,3,9,1,8,0,,45,,1,
46,"Cenelalenie",60,39,1,1,1,1,2,,46,,1,
47,"Sonagsha",500,17,0,2,0,4,2,,47,,1,
48,"Mounniley Leitanonde",180,86,8,4,2,8,7,,48,,1,"I am Mounniley Leitanonde and I am called a hero by some, even a villain by some others. This is not the story of my journey but rather the story of this world. I am a mere character in it and I will act accordingly. My hero companions will accompany me through this road of a godless dream until this world is no more."
49,"Porcehwik",,,,,,,,,,,1,
50,"Lekinsie",100,,,,,,5,,,,1,
51,"Odtamile",,,,,,,,,,,1,
52,"Enshomair",,,,,,,4,,,,1,
53,"Kirnharl",110,64,7,7,3,7,1,,,,1,
54,"Amgarn",130,35,10,0,1,9,2,,,,1,
55,"Gonse The Small Face",,,,,,,,,,,1,
56,"Da Kedeus",,,,,,,2,,,,1,
57,"Raenid The Hero",50,5,0,0,0,1,2,,,,1,
58,"Maslilna",,,,,,,,,,,1,
59,"Laggail",,,,,,,,,,,1,
60,"Arlarges",100,,6,9,2,8,1,,,,1,
61,"Sinanliae",,,,,,,,,,,1,
62,"Del Ghern",,,,,,,,,,,1,
63,"Nadvalin",,,,,,,,,,,1,
64,"Duhon",,,,,,,,,,,1,
65,"Badunoh",,,,,,,,,,,1,
66,"Mavilros",,,,,,,,,,,1,
67,"Havill",,,,,,,,,,,1,
68,"Nemhus",,,,,,,,,,,1,
69,"Luentose",,,,,,,,,,,1,
70,"Herlernish",,,,,,,,,,,1,
71,"Vurus",,,,,,,,,,,1,
72,"Adupelel",,,,,,,,,,,1,
73,"Unique Bek",,,,,,,2,,,,1,
74,"Op Pajulu",,,,,,,4,,,,1,
75,"Taladamun",,,,,,,,,,,1,
76,"Ladarnsuds",,,,,,,,,,,1,
77,"Mohge",,,,,,,4,,,,1,
78,"Mengkja",,,,,,,,,,,1,
