"ID","Troop ID","POS","Leader","Faction","How Many","Angle","Start Health","Start Stamina","Team"
1,"L102","760,450",,1,,90,100,100,1
2,2,"760,451",1,1,20,90,100,100,1
3,1,"760,459",1,1,20,90,100,100,1
4,5,"760,478",1,1,20,90,100,100,1
5,"L2","600,600",1,1,,90,100,100,1
6,6,"600,601",5,1,60,90,100,100,1
7,"L26","900,200",,2,,270,100,100,2
8,49,"900,201","7",2,20,270,100,90,2
9,"L27","850,600",7,2,,270,100,90,2
10,26,"850,600",9,2,20,270,100,90,2
11,"L28","100,100",7,2,,270,100,90,2
12,19,"100,101",11,2,100,270,100,90,2
13,"L29","100,500",,2,,270,100,90,2
14,20,"100,501",13,2,100,270,100,90,2
15,"L7","300,300",,1,,90,100,100,1
16,4,"300,301",15,1,150,90,100,100,1
17,"L30","800,700",,2,,270,100,90,2
18,22,"800,701",17,2,100,270,100,90,2
