"Key Name","Localisation"
"main_menu_preset_map","Campaign"
"main_menu_custom_map","Custom Battle"
"main_menu_editor","Editor"
"main_menu_unit_editor","Unit Editor"
"main_menu_troop_editor","Troop Editor"
"main_menu_lorebook","Encyclopedia"
"game_option","Option"
"game_quit","Quit"
"select_button","Select"
"back_button","Back"
"default_button","Default"
"option_menu_keybind","Keybind"
"option_menu_default","Default"
"save_button","Save"
"delete_button","Delete"
"start_button","Start"
"confirm_button","Confirm"
"cancel_button","Cancel"
"close_button","Close"
"authority","Authority"
"option_full_screen","Full Screen"
"option_master_volume","Master Volume"
"option_music_volume","Music Volume"
"option_voice_volume","Voice Volume"
"option_effect_volume","Effect Volume"
"option_display_resolution","Display Resolution"
"keybind_main_weapon_attack","Main Weapon Attack"
"keybind_sub_weapon_attack","Sub Weapon Attack"
"keybind_move_left","Move Left"
"keybind_move_right","Move Right"
"keybind_move_up","Move Up"
"keybind_move_down","Move Down"
"keybind_menu","Menu/Cancel"
"keybind_order_menu","Order Menu"
"keybind_run_input","Run Input"
"keybind_skill1","Skill 1"
"keybind_skill2","Skill 2"
"keybind_skill3","Skill 3"
"keybind_skill4","Skill 4"
"keybind_swap_weapon_set1","Swap Weapon Set 1"
"keybind_swap_weapon_set2","Swap Weapon Set 2"
"keybind_toggle_run","Toggle Run"
"keybind_auto_move","Auto Move"
"strength","Strength"
"dexterity","Dexterity"
"constitution","Constitution"
"intelligence","Intelligence"
"wisdom","Wisdom"
"size","Size"
"name","Name"
"grade","Grade"
"race","Race"
"trait","Trait"
"skill","Skill"
"cost","Cost"
"upkeep","Upkeep"
"melee_atk","Melee Attack"
"melee_def","Melee Defence"
"ranged_atk","Ranged Attack"
"ranged_def","Ranged Defence"
"morale","Morale"
"discipline","Discipline"
"mental","Mental"
"resistance","Resistance"
,
,
"ammunition","Ammunition"
"weapon","Weapon"
"armour","Armour"
"mount","Mount"
,
"modifier","Modifier"
"bonus","Bonus"
