"Key Name","Localisation"
"main_menu_preset_map","Campaña"
"main_menu_custom_map","Batalla Personalizada"
"main_menu_editor","Editor"
"main_menu_unit_editor","Editor de Unidades"
"main_menu_troop_editor","Troop Editor"
"main_menu_lorebook","Enciclopedia"
"game_option","Opción"
"game_quit","Salida"
"select_button","Select"
"back_button","Back"
"default_button","Default"
"option_menu_keybind","Keybind"
"option_menu_default","Default"
"save_button","Save"
"delete_button","Delete"
"start_button","Start"
"confirm_button","Confirm"
"cancel_button","Cancel"
"close_button","Close"
"authority","Authority"
"option_full_screen","Full Screen"
"option_master_volume","Master Volume"
"option_music_volume","Music Volume"
"option_voice_volume","Voice Volume"
"option_effect_volume","Effect Volume"
"option_display_resolution","Display Resolution"
"keybind_main_weapon_attack","Main Weapon Attack"
"keybind_sub_weapon_attack","Sub Weapon Attack"
"keybind_move_left","Move Left"
"keybind_move_right","Move Right"
"keybind_move_up","Move Up"
"keybind_move_down","Move Down"
"keybind_menu","Menu/Cancel"
"keybind_order_menu","Order Menu"
"keybind_run_input","Run Input"
"keybind_skill1","Skill 1"
"keybind_skill2","Skill 2"
"keybind_skill3","Skill 3"
"keybind_skill4","Skill 4"
"keybind_swap_weapon_set1","Swap Weapon Set 1"
"keybind_swap_weapon_set2","Swap Weapon Set 2"
"keybind_toggle_run","Toggle Run"
"keybind_auto_move","Auto Move"
"Strength","Strength"
"Agility","Agility"
"Dexterity","Dexterity"
"Constitution","Constitution"
"Intelligence","Intelligence"
"Wisdom","Wisdom"
"Charisma","Charisma"
"Size","Size"
"Name","Name"
"Grade","Grade"
"Race","Race"
"Trait","Trait"
"Skill","Skill"
"Cost","Cost"
"Upkeep","Upkeep"
"Melee Attack","Melee Attack"
"Melee Defence","Melee Defence"
"Ranged Attack","Ranged Attack"
"Ranged Defence","Ranged Defence"
"Morale","Morale"
"Discipline","Discipline"
"Mental","Mental"
"Resistance","Resistance"
"Formation","Formation"
"Melee Speciality","Melee Speciality"
"Range Speciality","Range Speciality"
"Cavalry Speciality","Cavalry Speciality"
"Ammunition","Ammunition"
"Weapon","Weapon"
"Armour","Armour"
"Mount","Mount"
,
"Modifier","Modifier"
"Bonus","Bonus"
"Tag","Tag"
"Date","Date"
"Where","Where"
"Notable Persons","Notable Persons"
"Result","Result"
"Importance","Importance"
"Strengths","Strengths"
"Weaknesses","Weaknesses"
"Favoured Troop","Favoured Troop"
"Type","Type"
"Melee Attack Scale","Melee Attack Scale"
"Defence Scale","Defence Scale"
"Ranged Attack Scale","Ranged Attack Scale"
"Ammunition Modifier","Ammunition Modifier"
"Charge Skill","Charge Skill"
"Troop Class","Troop Class"
"Faction","Faction"
"Role","Role"
"Strength Bonus Scale","Strength Bonus Scale"
"Dexterity Bonus Scale","Dexterity Bonus Scale"
"Damage Balance","Damage Balance"
"Physical Damage","Physical Damage"
"Fire Damage","Fire Damage"
"Water Damage","Water Damage"
"Air Damage","Air Damage"
"Earth Damage","Earth Damage"
"Poison Damage","Poison Damage"
"Magic Damage","Magic Damage"
"Armour Penetration","Armour Penetration"
"Impact","Impact"
"Defence","Defence"
"Charge","Charge"
"Weight","Weight"
"Cooldown","Cooldown"
"Magazine","Magazine"
"Range","Range"
"Shot Number","Shot Number"
"Hand","Hand"
"Damage Stat Scaling","Damage Stat Scaling"
"Status Conflict","Status Conflict"
"Enemy Status","Enemy Status"
"Status","Status"
"Duration","Duration"
"Morale Bonus","Morale Bonus"
"Special Effect","Special Effect"
"Troop Type","Troop Type"
"Area Of Effect","Area Of Effect"
"Receiver","Receiver"
"Discipline Requirement","Discipline Requirement"
"Stamina Cost","Stamina Cost"
"Mana Cost","Mana Cost"
"Melee Attack Modifier","Melee Attack Modifier"
"Melee Defence Modifier","Melee Defence Modifier"
"Ranged Defence Modifier","Ranged Defence Modifier"
"Speed Modifier","Speed Modifier"
"Accuracy Modifier","Accuracy Modifier"
"Range Modifier","Range Modifier"
"Melee Speed Modifier","Melee Speed Modifier"
"Reload Modifier","Reload Modifier"
"Charge Modifier","Charge Modifier"
"Charge Defence Bonus","Charge Defence Bonus"
"HP Regeneration Bonus","Health Regeneration Bonus"
"Stamina Regeneration Bonus","Stamina Regeneration Bonus"
"Morale Bonus","Morale Bonus"
"Discipline Bonus","Discipline Bonus"
"Critical Modifier","Critical Modifier"
"Damage Modifier","Damage Modifier"
"Fire Damage Extra","Fire Damage Extra"
"Water Damage Extra","Water Damage Extra"
"Air Damage Extra","Air Damage Extra"
"Earth Damage Extra","Earth Damage Extra"
"Poison Damage Extra","Poison Damage Extra"
"Magic Damage Extra","Magic Damage Extra"
"Sight Bonus","Sight Bonus"
"Hidden Bonus","Hidden Bonus"
"Stamina Damage Bonus","Stamina Damage Bonus"
"Morale Damage Bonus","Morale Damage Bonus"
"Weapon Impact Modifier","Weapon Impact Modifier"
"Primary Main Weapon","Primary Main Weapon"
"Primary Sub Weapon","Primary Sub Weapon"
"Secondary Main Weapon","Secondary Main Weapon"
"Secondary Sub Weapon","Secondary Sub Weapon"
"1st_main_weapon","1st Main Weapon"
"1st_sub_weapon","1st Sub Weapon"
"2nd_main_weapon","2nd Main Weapon"
"2nd_sub_weapon","2nd Sub Weapon"
"Social Class","Social Class"
"Authority","Authority"
"Command","Command"
"Melee","Melee"
"Ranged","Ranged"
"cavalry_short","Cav"
"Cavalry","Cavalry"
"Melee Attack Bonus","Melee Attack Bonus"
"Melee Defence Bonus","Melee Defence Bonus"
"Ranged Defence Bonus","Ranged Defence Bonus"
"Speed Bonus","Speed Bonus"
"Accuracy Bonus","Accuracy Bonus"
"Range Bonus","Range Bonus"
"Reload Bonus","Reload Bonus"
"Charge Bonus","Charge Bonus"
"Hide Bonus","Hide Bonus"
"Temperature","Temperature"
"Element","Element"
"Wind Strength","Wind Strength"
"Spell","Spell"
"Day Temperature","Day Temperature"
"Night Temperature","Night Temperature"
"Dust","Dust"
"Twilight Temperature","Twilight Temperature"
"Infantry Speed Modifier","Infantry Speed Modifier"
"Infantry Melee Modifier","Infantry Melee Modifier"
"Cavalry Speed Modifier","Cavalry Speed Modifier"
"Cavalry Melee Modifier","Cavalry Melee Modifier"
"Range Defence Bonus","Range Defence Bonus"
,
,
"854 x 480","854 x 480"
"960 x 540","960 x 540"
"1024 x 576","1024 x 576"
"1280 x 720","1280 x 720"
"1360 x 768","1360 x 768"
"1600 x 900","1600 x 900"
"1920 x 1080","1920 x 1080"
,
,
,
,
,
,
,
,
"2560 x 1440","2560 x 1440"
"3200 x 1800","3200 x 1800"
